0610005C13Rik	7164
1700018A23Rik	14
1700018L02Rik	157
1700066M21Rik	1829
1700086O06Rik	176
1700108J01Rik	0
2010103J01Rik	0
2300009A05Rik	489
2310061I04Rik	1350
2610028H24Rik	0
2610203C22Rik	44
3110009E18Rik	28
3200001D21Rik	0
4930451E10Rik	4
4930473H19Rik	0
4930500F10Rik	0
4930506C21Rik	25
4930507D05Rik	1
4930556N13Rik	2
4932702P03Rik	13
4933411K16Rik	0
5730409K12Rik	0
6230400D17Rik	10
6430562O15Rik	2
9330162012Rik	136
9430091E24Rik	157
9630013K17Rik	0
9630015K15Rik	51
A230108P19Rik	12
A430057M04Rik	3
A930013F10Rik	0
AA467197	0
AW495222	8
Aadat	2607
Aamp	4902
Aars2	606
Aass	11785
Abat	6584
Abca9	252
Abcb10	1466
Abcb6	1653
Abcb7	1703
Abcb8	1009
Abcd1	792
Abcd2	490
Abcd3	17243
Abhd10	342
Abhd11	1993
Abhd11os	13
Abi1	2511
Acaa1a	9252
Acaa1b	47517
Acaa2	28895
Acaca	2630
Acacb	1308
Acad10	539
Acad11	6079
Acad12	60
Acad8	2579
Acad9	1564
Acadl	8045
Acadm	13267
Acads	2553
Acadsb	5558
Acadvl	12046
Acat1	11817
Ackr4	39
Acly	6213
Aco2	4279
Acod1	54
Acot10	7
Acot11	200
Acot13	2810
Acot2	158
Acot7	756
Acot9	132
Acoxl	1
Acp6	1970
Acsf2	6161
Acsf3	927
Acsl1	33295
Acsl6	11
Acsm1	12870
Acsm2	8
Acsm3	5020
Acsm4	0
Acsm5	5228
Acss1	10
Acss3	1948
Adck1	444
Adck2	399
Adck5	1674
Adcy10	0
Adhfe1	4652
Afg1l	411
Afg3l1	1347
Afg3l2	1952
Agk	153
Agmat	7007
Agpat4	33
Agpat5	559
Agxt	9251
Agxt2	12768
Ahcyl1	4452
Aifm1	3719
Aifm2	779
Aifm3	342
Ak2	8687
Ak3	19902
Ak4	1891
Akap1	4694
Akap10	570
Akr1b10	80
Akr1b7	34
Akr7a5	4428
Alas1	13880
Alas2	3391
Aldh18a1	76
Aldh1a7	12620
Aldh1b1	1635
Aldh1l1	46367
Aldh1l2	12
Aldh2	59752
Aldh3a2	7366
Aldh4a1	11048
Aldh5a1	2432
Aldh6a1	17778
Aldh7a1	14224
Aldh9a1	10143
Alkbh1	420
Alkbh2	328
Alkbh7	593
Amacr	5058
Amt	2169
Angel2	757
Ankrd12	205
Ankrd42	27
Antkmt	1665
Apex1	825
Apex2	592
Apoa2	361390
Apoo	1281
Apool	1213
Arf5	2681
Arg2	19
Arhgap44	17
Arl2	231
Armc10	230
Armcx1	90
Armcx2	96
Armcx3	269
Armcx6	9
Arvcf	488
Atad1	2048
Atad3a	2359
Atp23	171
Atp5f1a	23069
Atp5f1b	24057
Atp5f1c	13153
Atp5f1d	9829
Atp5f1e	9202
Atp5if1	751
Atp5mc1	4594
Atp5mc2	281
Atp5mc3	22451
Atp5me	2609
Atp5mf	14234
Atp5mg	1277
Atp5mj	4864
Atp5mk	2977
Atp5pb	13492
Atp5pd	8970
Atp5pf	16006
Atp5po	7797
Atpaf1	142
Atpaf2	914
Atpsckmt	993
Auh	1802
Aup1	5600
Aurkaip1	3211
Azi2	2115
B3gnt4	0
BC048644	78
Bad	362
Bak1	439
Bax	1018
Bbc3	264
Bbof1	330
Bcap31	5773
Bcat2	1752
Bckdha	5906
Bckdhb	4514
Bckdk	472
Bcl2	38
Bcl2a1d	43
Bcl2l1	972
Bcl2l10	0
Bcl2l11	105
Bcl2l13	966
Bcl2l2	688
Bco2	1612
Bcs1l	668
Bdh1	5700
Bid	549
Bik	350
Bloc1s1	3398
Bmp8a	0
Bnip3	6185
Bnip3l	2178
Bok	446
Bola1	646
Bola3	2091
Bphl	6406
Bud23	1091
Bud31	1846
C030006K11Rik	149
C1qbp	4253
C330018D20Rik	421
C430014B12Rik	82
Cacna1d	111
Camk1	441
Car5a	1556
Car5b	116
Cars2	764
Casp3	579
Casp8	1925
Casp9	568
Cat	150555
Cbr2	0
Cbr3	29
Cbr4	986
Ccdc127	988
Ccdc142	179
Ccdc159	246
Ccdc51	427
Ccdc78	0
Ccdc90b	283
Ccnc	851
Cd63-ps	0
Cdc123	1565
Cdc37l1	2331
Cdc42bpa	784
Cdh12	24
Cdk5	992
Cdk5rap1	487
Cebpz	1330
Cebpzos	1071
Cela2a	3
Cenpq	95
Cenpu	22
Cep89	227
Cfap157	0
Chad	3
Chchd1	944
Chchd10	15300
Chchd2	10332
Chchd3	4438
Chchd4	427
Chchd5	504
Chchd6	47
Chchd7	809
Chdh	4963
Chpt1	10458
Ciapin1	1343
Cisd1	5620
Cisd3	2433
Ckmt1	0
Ckmt2	0
Cldn20	8
Cldnd2	3
Clpb	1418
Clpp	2133
Clpx	7931
Clybl	1883
Cmc1	1056
Cmc2	331
Cmpk2	419
Coa3	1539
Coa4	370
Coa5	3089
Coa6	841
Coa7	869
Coa8	882
Coasy	3172
Comt	27615
Comtd1	188
Cops3	1326
Coq10a	1493
Coq10b	1004
Coq2	1489
Coq3	1013
Coq4	183
Coq5	1265
Coq6	525
Coq7	891
Coq8a	14580
Coq8b	345
Coq9	2335
Cox10	333
Cox11	527
Cox14	992
Cox15	573
Cox16	0
Cox17	2378
Cox18	502
Cox19	1905
Cox20	2252
Cox20b	0
Cox4i1	28245
Cox4i2	13
Cox5a	5882
Cox5b	5984
Cox6a1	15031
Cox6a2	1
Cox6b1	14558
Cox6b2	14
Cox6c	16613
Cox7a1	109
Cox7a2	9054
Cox7a2l	2660
Cox7b	13040
Cox7c	1256
Cox8a	9662
Cox8b	0
Cox8c	0
Cpeb3	648
Cpox	4011
Cps1	73775
Cpsf1	1750
Cpt1a	5246
Cpt1b	0
Cpt1c	18
Cpt2	3522
Crat	1092
Crbn	820
Crls1	1738
Crot	27835
Cry1	715
Cryz	2048
Cryzl2	700
Cs	6274
Csl	0
Cstad	4
Cyb5b	14812
Cyb5r3	20942
Cyb5rl	330
Cyc1	6982
Cycs	4921
Cyct	0
Cyp11a1	1
Cyp11b1	0
Cyp11b2	0
Cyp24a1	5
Cyp27a1	16611
Cyp27b1	0
D030055H07Rik	46
D17Ertd648e	0
D2hgdh	1058
Dap3	1916
Dars2	485
Dbi	38158
Dbp	213
Dbt	4474
Dcakd	1319
Dcun1d3	460
Dcxr	4472
Ddx28	399
Decr1	7348
Dedd	1170
Dele1	1093
Dglucy	1643
Dguok	747
Dhodh	337
Dhrs1	2345
Dhrs2	0
Dhrs4	3493
Dhrs7b	1079
Dhtkd1	2630
Dhx30	831
Diablo	927
Dlat	2129
Dld	3833
Dlec1	80
Dlst	5224
Dmac1	973
Dmac2	1472
Dmac2l	358
Dmgdh	15460
Dmpk	1733
Dna2	558
Dnah17	2
Dnai7	14
Dnaja3	2597
Dnajb7	0
Dnajc11	1819
Dnajc15	1017
Dnajc19	1899
Dnajc28	238
Dnajc30	708
Dnajc4	385
Dnase1	30
Dnlz	734
Dnm1l	2486
Dolpp1	508
Dus2	396
Dut	471
E130215H24Rik	0
E130311K13Rik	319
Ears2	557
Ech1	10468
Echdc1	4016
Echdc2	14013
Echdc3	4393
Echs1	6207
Eci1	6248
Eci2	5101
Ecsit	1924
Efhd1	6
Ehhadh	8303
Eid3	0
Elac2	685
Endog	1487
Eng	1912
Entpd7	145
Ephx2	35845
Eral1	850
Eri2	312
Eri3	1562
Etfa	15934
Etfb	19422
Etfbkmt	2857
Etfdh	5319
Etfrf1	2072
Ethe1	3993
Exd2	605
Exog	112
F8	422
Fabp1	291883
Fahd1	3302
Fahd2a	1080
Fam136a	1840
Fam151a	1
Fam162a	2498
Fam185a	239
Fam210a	2319
Fam210b	1897
Fanci	9
Fars2	1118
Fasn	11464
Fastk	1654
Fastkd1	903
Fastkd2	475
Fastkd3	272
Fastkd5	0
Fbxl4	942
Fbxo15	2
Fdps	8772
Fdx1	5118
Fdx2	8
Fdxr	1530
Fech	4212
Fgf2	24
Fh1	7525
Fhit	335
Fhitos	0
Fis1	2473
Fkbp10	29
Fkbp8	9656
Flad1	1621
Flrt1	75
Fmc1	1058
Foxred1	1911
Fpgs	5698
Frs3	183
Fth1	64717
Ftmt	0
Fundc1	372
Fundc2	288
Fxn	932
Fxr1	2085
Gabpa	1069
Gadd45gip1	1159
Galr3	0
Garem2	0
Gars1	1764
Gatb	1416
Gatc	634
Gatd3a	2169
Gatm	460
Gba1	997
Gcat	2636
Gcc1	786
Gcdh	26165
Gcfc2	382
Gcsh	3927
Gdap1	0
Gfer	1672
Gfm1	1691
Gfm2	1475
Gga3	664
Ggnbp1	1224
Ghitm	9155
Gldc	4394
Glis2	63
Glod4	1995
Glrx2	919
Glrx5	2292
Gls	278
Gls2	12165
Glud1	34801
Glyat	11004
Glyctk	6364
Gm10059	146
Gm10322	3
Gm10615	86
Gm10634	0
Gm11513	0
Gm11586	125
Gm11725	3
Gm12224	0
Gm12275	8
Gm12289	0
Gm12854	16
Gm13199	7
Gm13267	2
Gm13535	0
Gm13562	48
Gm13641	0
Gm14425	0
Gm14441	0
Gm15038	0
Gm15466	0
Gm15559	4
Gm15610	152
Gm15715	0
Gm15743	0
Gm15744	0
Gm15756	150
Gm15764	9
Gm15793	0
Gm15801	0
Gm15910	0
Gm15950	0
Gm15953	0
Gm16074	0
Gm16107	0
Gm16128	0
Gm16218	0
Gm16279	7
Gm16845	88
Gm16984	23
Gm17025	31
Gm17059	0
Gm17324	1
Gm17586	149
Gm17803	0
Gm17812	0
Gm17825	0
Gm17833	0
Gm17883	0
Gm17890	0
Gm17971	0
Gm18040	0
Gm18081	0
Gm18132	0
Gm18186	0
Gm18258	0
Gm18371	0
Gm18760	0
Gm18792	0
Gm18800	0
Gm18818	0
Gm18982	0
Gm19007	0
Gm19053	0
Gm19181	0
Gm19192	0
Gm20517	828
Gm22053	0
Gm22200	0
Gm22422	0
Gm22881	0
Gm22935	0
Gm23126	0
Gm23182	0
Gm23264	0
Gm23547	0
Gm23608	0
Gm23613	0
Gm23803	0
Gm23946	0
Gm24041	0
Gm24119	0
Gm2420	20
Gm24313	0
Gm24355	0
Gm24607	0
Gm24727	0
Gm24873	0
Gm25020	0
Gm25134	0
