"symbol"	"baseMean"	"FoldChange"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"description"
"0610005C13Rik"	6908.32316685011	0.954992163237164	-0.0664392005926617	0.154485817808163	-0.430066665893981	0.667147147301381	0.995320691985826	"RIKEN cDNA 0610005C13 gene"
"1700018A23Rik"	32.2510242342948	0.612993079259943	-0.706057309019791	0.592226354798329	-1.19220852516809	0.233179491484995	0.995320691985826	"RIKEN cDNA 1700018A23 gene"
"1700018L02Rik"	94.4907033699268	0.610862737703421	-0.711079855402355	0.551809124229088	-1.28863373978417	0.19752544791865	0.995320691985826	"RIKEN cDNA 1700018L02 gene"
"1700066M21Rik"	1249.23869368071	0.922057383759152	-0.117071556067248	0.200267623988917	-0.584575548136162	0.558833153060986	0.995320691985826	"RIKEN cDNA 1700066M21 gene"
"1700086O06Rik"	147.976670941024	0.984639297054591	-0.0223327760596138	0.332126925638323	-0.0672416908586735	0.946389295704114	0.995320691985826	"RIKEN cDNA 1700086O06 gene"
"2300009A05Rik"	367.927173482305	0.928951518649283	-0.10632478959201	0.247542679578277	-0.429521041677132	0.66754408436974	0.995320691985826	"RIKEN cDNA 2300009A05 gene"
"2310061I04Rik"	1122.59306189297	0.88131490661677	-0.182270487730147	0.176657680990048	-1.03177222019808	0.302178835899548	0.995320691985826	"RIKEN cDNA 2310061I04 gene"
"2610203C22Rik"	45.4142637973642	0.988656789182348	-0.016458316551838	0.465166332939923	-0.0353815729694341	0.971775478151714	0.995320691985826	"RIKEN cDNA 2610203C22 gene"
"3110009E18Rik"	47.2742006345	1.18351968707182	0.243083704555544	0.462250506997233	0.525870065853707	0.598978488474426	0.995320691985826	"RIKEN cDNA 3110009E18 gene"
"4930506C21Rik"	22.281852101796	0.756447889598293	-0.402687393816866	0.667234778927935	-0.603516792790501	0.546164947582708	0.995320691985826	"RIKEN cDNA 4930506C21 gene"
"4930556N13Rik"	5.38428708975927	2.0037229673041	1.00268305677439	1.71423583883316	0.584915467323849	0.558604557828502	0.995320691985826	"RIKEN cDNA 4930556N13 gene"
"4932702P03Rik"	12.3500654807453	2.20112643462914	1.13824201727561	0.956702559206633	1.18975538041784	0.234142551565102	0.995320691985826	"RIKEN cDNA 4932702P03 gene"
"6230400D17Rik"	13.0770400925897	0.642211906951959	-0.638878681238665	0.884112461631061	-0.722621509100806	0.469912449952139	0.995320691985826	"RIKEN cDNA 6230400D17 gene"
"9330162012Rik"	152.929134117667	0.957779186558294	-0.0622350100916834	0.305802919688846	-0.203513459436579	0.838733726696845	0.995320691985826	"cDNA RIKEN 9330162012 gene"
"9430091E24Rik"	120.628488847645	0.754723159480415	-0.405980549373101	0.495036362427167	-0.820102481729979	0.412157687588159	0.995320691985826	"RIKEN cDNA 9430091E24 gene"
"9630015K15Rik"	44.3539959507087	1.14282642652595	0.192606302409959	0.48252456504784	0.399163724215497	0.689772570540957	0.995320691985826	"RIKEN cDNA 9630015K15 gene"
"A230108P19Rik"	15.1409653029357	0.529590295340002	-0.917051409662802	0.896304679703149	-1.02314696155165	0.306238365743575	0.995320691985826	"RIKEN cDNA A230108P19 gene"
"A430057M04Rik"	3.07356494440376	1.44363568544362	0.529706710980245	1.59578210779303	0.331941753447047	0.73993324148044	0.995320691985826	"RIKEN cDNA A430057M04 gene"
"AA467197"	3.67654476803945	1.15911098290853	0.213018708558508	2.98782143164657	0.0712956625527367	0.943162447228253	0.995320691985826	"expressed sequence AA467197"
"AW495222"	19.6811530398572	1.40434113253239	0.489893427403949	0.924105315147968	0.530127269450351	0.596023693345258	0.995320691985826	"expressed sequence AW495222"
"Aadat"	2324.25515831149	1.12387364502399	0.168479845216975	0.224390494547082	0.750833254131558	0.452753013572703	0.995320691985826	"aminoadipate aminotransferase"
"Aamp"	5658.69003582816	1.06532480893291	0.0912933635903391	0.174989889238721	0.521706505372988	0.60187469455424	0.995320691985826	"angio-associated migratory protein"
"Aars2"	749.199861123039	0.867574024897256	-0.204941235414401	0.212337164275269	-0.965168938343359	0.334460202122568	0.995320691985826	"alanyl-tRNA synthetase 2, mitochondrial"
"Aass"	10173.904661938	0.989576896005648	-0.015116277280416	0.220057131275065	-0.0686925126799057	0.945234378143036	0.995320691985826	"aminoadipate-semialdehyde synthase"
"Abat"	5936.22448587955	1.41473061013513	0.500527364419377	0.294384586763241	1.7002499007257	0.0890839296355659	0.995320691985826	"4-aminobutyrate aminotransferase"
"Abca9"	234.556276760747	0.88302511823221	-0.179473618017433	0.418762765024652	-0.428580649969839	0.668228429797498	0.995320691985826	"ATP-binding cassette, sub-family A member 9"
"Abcb10"	1107.73199198702	0.933999114930244	-0.0985069120684353	0.192630214824673	-0.511378301467886	0.60908618578211	0.995320691985826	"ATP-binding cassette, sub-family B member 10"
"Abcb6"	1628.46927119326	1.04541401569879	0.064074406522167	0.186920131571586	0.342790292214341	0.731756229665165	0.995320691985826	"ATP-binding cassette, sub-family B member 6"
"Abcb7"	1693.67685723883	0.979063567545226	-0.0305255623259924	0.14827001479359	-0.205878190330579	0.83688606209852	0.995320691985826	"ATP-binding cassette, sub-family B member 7"
"Abcb8"	1128.73995042782	1.10228663033199	0.140499420269813	0.181711500456788	0.773200484925961	0.439403739214137	0.995320691985826	"ATP-binding cassette, sub-family B member 8"
"Abcd1"	855.504679868864	1.0056394885477	0.00811320643570359	0.255363044760101	0.0317712629222662	0.97465446392839	0.995320691985826	"ATP-binding cassette, sub-family D member 1"
"Abcd2"	1735.42154660382	1.1315448957635	0.178293826858804	0.361573128825701	0.493105855066879	0.621937793995365	0.995320691985826	"ATP-binding cassette, sub-family D member 2"
"Abcd3"	14047.36283449	1.18732210645429	0.247711374191734	0.238006965486766	1.04077363317969	0.297980619911152	0.995320691985826	"ATP-binding cassette, sub-family D member 3"
"Abhd10"	392.078840374527	1.02611496213569	0.0371923742313156	0.200421397974443	0.18557087520195	0.852781295033273	0.995320691985826	"abhydrolase domain containing 10"
"Abhd11"	2538.15581689078	0.812092340437951	-0.300284313883736	0.195286919685171	-1.53765707589548	0.124132484071792	0.995320691985826	"abhydrolase domain containing 11"
"Abhd11os"	25.400228444674	1.58262825022082	0.66232241495249	0.761780033546262	0.869440502226379	0.384606237921132	0.995320691985826	"abhydrolase domain containing 11, opposite strand"
"Abi1"	3517.52645338997	0.883792043305417	-0.178221152178379	0.264723970696564	-0.673233903637167	0.500798495157938	0.995320691985826	"abl interactor 1"
"Acaa1a"	8235.49918129508	1.01061890599447	0.0152390743118555	0.214210753145971	0.0711405664190494	0.943285882608029	0.995320691985826	"acetyl-Coenzyme A acyltransferase 1A"
"Acaa1b"	36360.2956827695	0.964477277613749	-0.0521808450630745	0.318797369093112	-0.16368028761189	0.869982836448674	0.995320691985826	"acetyl-Coenzyme A acyltransferase 1B"
"Acaa2"	26688.646986285	1.10490604742969	0.143923699327164	0.206522989322785	0.696889483340853	0.485871959775932	0.995320691985826	"acetyl-CoA acyltransferase 2"
"Acaca"	4268.37126500192	0.882326184441024	-0.180615995022637	0.239373937411981	-0.754534921284196	0.450528084512858	0.995320691985826	"acetyl-Coenzyme A carboxylase alpha"
"Acacb"	3668.45489057772	1.10051681370627	0.138181186906304	0.443730390177324	0.311407985491109	0.755490483962517	0.995320691985826	"acetyl-Coenzyme A carboxylase beta"
"Acad10"	904.054671052764	0.996537168573415	-0.00500447957062162	0.218896795553705	-0.0228622788102615	0.981760129673794	0.995320691985826	"acyl-Coenzyme A dehydrogenase family, member 10"
"Acad11"	5739.08569864813	1.10335061712586	0.141891316051337	0.261992101311865	0.54158623615311	0.588103575706407	0.995320691985826	"acyl-Coenzyme A dehydrogenase family, member 11"
