"symbol"	"baseMean"	"FoldChange"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"description"
"0610005C13Rik"	6908.32316685011	0.984484312070471	-0.0225598781749187	0.114511129139497	0.787419081547161	0.917906210647983	"RIKEN cDNA 0610005C13 gene"
"1700018A23Rik"	32.2510242342948	1.00532845402666	0.00766692586092947	0.161823217367178	0.893137069053148	0.96756515814091	"RIKEN cDNA 1700018A23 gene"
"1700018L02Rik"	94.4907033699268	1.00379643014282	0.00546672048241309	0.161120053676351	0.907630137883203	0.97252133550206	"RIKEN cDNA 1700018L02 gene"
"1700066M21Rik"	1249.23869368071	1.61410958163026	0.69073852626624	0.213920086593337	7.47835467906872e-05	0.00342517602387218	"RIKEN cDNA 1700066M21 gene"
"1700086O06Rik"	147.976670941024	0.965428594691705	-0.0507585367924603	0.158554702477237	0.4682261995324	0.757858142066967	"RIKEN cDNA 1700086O06 gene"
"2300009A05Rik"	367.927173482305	1.01363419743831	0.019537103271716	0.140377110153682	0.80227282739887	0.923166821447494	"RIKEN cDNA 2300009A05 gene"
"2310061I04Rik"	1122.59306189297	1.07387062682618	0.102820196974338	0.137891127904878	0.263781431095471	0.622866858471976	"RIKEN cDNA 2310061I04 gene"
"2610203C22Rik"	45.4142637973642	1.05576138696963	0.0782838074859126	0.182353939836846	0.176361304199859	0.510579193315224	"RIKEN cDNA 2610203C22 gene"
"3110009E18Rik"	47.2742006345	1.02415581504358	0.0344352236286867	0.162635723826766	0.520332164559931	0.79204984558567	"RIKEN cDNA 3110009E18 gene"
"4930506C21Rik"	22.281852101796	0.995714084917393	-0.00619655689948269	0.163049162873662	0.867118966142197	0.953901417594996	"RIKEN cDNA 4930506C21 gene"
"4930556N13Rik"	5.38428708975927	1.00986071572579	0.0141563240774544	0.168394425828003	0.376617594215005	0.706223283465585	"RIKEN cDNA 4930556N13 gene"
"4932702P03Rik"	12.3500654807453	0.996588165198107	-0.0049306532273257	0.165710913894234	0.858084871439779	0.950199658685087	"RIKEN cDNA 4932702P03 gene"
"6230400D17Rik"	13.0770400925897	1.01077794540356	0.0154660909584068	0.166359912213078	0.638476189554819	0.856873832135708	"RIKEN cDNA 6230400D17 gene"
"9330162012Rik"	152.929134117667	1.11964223532053	0.163037814619217	0.22732573580127	0.0840253252175886	0.369257470880393	"cDNA RIKEN 9330162012 gene"
"9430091E24Rik"	120.628488847645	0.941258268426975	-0.0873374617788132	0.190653143502111	0.121397872772387	0.432387630051169	"RIKEN cDNA 9430091E24 gene"
"9630015K15Rik"	44.3539959507087	0.97584564866515	-0.0352751228322142	0.16339151352636	0.501906046154587	0.779973533794255	"RIKEN cDNA 9630015K15 gene"
"A230108P19Rik"	15.1409653029357	1.01512153288841	0.0216524608087059	0.167764173904564	0.44060339982778	0.754759211717437	"RIKEN cDNA A230108P19 gene"
"A430057M04Rik"	3.07356494440376	1.01611115588149	0.0230582320975607	0.170224063819016	0.0697398523817477	NA	"RIKEN cDNA A430057M04 gene"
"AA467197"	3.67654476803945	1.00411131210765	0.00591921004983276	0.168124912865729	0.648595214292037	NA	"expressed sequence AA467197"
"AW495222"	19.6811530398572	0.982584859213611	-0.0253460863151544	0.168742544217428	0.364960835606246	0.698905169602897	"expressed sequence AW495222"
"Aadat"	2324.25515831149	1.02955254323807	0.0420174598241066	0.138609944294452	0.611273367110011	0.845162667886065	"aminoadipate aminotransferase"
"Aamp"	5658.69003582816	0.993517637029282	-0.00938251631143084	0.121367608276375	0.90881872122813	0.97252133550206	"angio-associated migratory protein"
"Aars2"	749.199861123039	0.94700982596383	-0.0785487000324068	0.144401874901779	0.327919745286532	0.679283258736378	"alanyl-tRNA synthetase 2, mitochondrial"
"Aass"	10173.904661938	1.36834775798384	0.45243492975603	0.248151014612665	0.0048445266874708	0.0704279578651669	"aminoadipate-semialdehyde synthase"
"Abat"	5936.22448587955	1.043028675442	0.0607788216633218	0.156965449929889	0.423728523265751	0.741706674562043	"4-aminobutyrate aminotransferase"
"Abca9"	234.556276760747	0.865856850731735	-0.207799566251979	0.353762537108657	0.0218764690347485	0.170913264630525	"ATP-binding cassette, sub-family A member 9"
"Abcb10"	1107.73199198702	1.56540872472036	0.646539390793889	0.205138891581883	0.000110617825794009	0.00417804918888576	"ATP-binding cassette, sub-family B member 10"
"Abcb6"	1628.46927119326	1.0449591382529	0.063446528724822	0.132166648607611	0.466284666102787	0.757858142066967	"ATP-binding cassette, sub-family B member 6"
"Abcb7"	1693.67685723883	1.04355065973865	0.0615006386191456	0.116012166851413	0.474389511876807	0.761806492963331	"ATP-binding cassette, sub-family B member 7"
"Abcb8"	1128.73995042782	0.959485337103223	-0.059667335626794	0.129328003367423	0.486329587999109	0.769926935567677	"ATP-binding cassette, sub-family B member 8"
"Abcd1"	855.504679868864	0.978280477439204	-0.0316799432082914	0.143127285352251	0.684108110685337	0.87179260468617	"ATP-binding cassette, sub-family D member 1"
"Abcd2"	1735.42154660382	0.415063089655851	-1.26859745188366	0.392556668766639	4.83974131781355e-05	0.00272638760903497	"ATP-binding cassette, sub-family D member 2"
"Abcd3"	14047.36283449	1.08627777328359	0.119393063452825	0.170365750276149	0.192877229688614	0.545543963470725	"ATP-binding cassette, sub-family D member 3"
"Abhd10"	392.078840374527	0.927832919278772	-0.108063061334111	0.151461319416613	0.239607508483046	0.599906206424218	"abhydrolase domain containing 10"
"Abhd11"	2538.15581689078	0.97137904377803	-0.0418937324331109	0.130708926108455	0.614206703050251	0.84584263588993	"abhydrolase domain containing 11"
"Abhd11os"	25.400228444674	1.0072425891217	0.0104111907665325	0.164756254202773	0.763418789877316	0.90608960047863	"abhydrolase domain containing 11, opposite strand"
"Abi1"	3517.52645338997	0.586554505681278	-0.769662917712219	0.292409416050061	0.000398230984651358	0.0128192450297294	"abl interactor 1"
"Acaa1a"	8235.49918129508	1.14478108365781	0.195071738307069	0.196638903960059	0.0731024532164842	0.345575233387016	"acetyl-Coenzyme A acyltransferase 1A"
"Acaa1b"	36360.2956827695	1.53163164301245	0.615069371219726	0.396776298361467	0.00463493953508274	0.0693029059073015	"acetyl-Coenzyme A acyltransferase 1B"
"Acaa2"	26688.646986285	1.09444200640658	0.130195509305234	0.161619378094112	0.171559242307599	0.504234990434507	"acetyl-CoA acyltransferase 2"
