"SC_L_G10a"	"SC_L_G10b"	"SC_L_G10c"	"SC_L_G10d"	"SC_L_G11a"	"SC_L_G11b_merged"	"SC_L_G11c_merged"	"SC_L_G11d_merged"	"SC_L_G12a"	"SC_L_G12b"	"SC_L_G12c"	"SC_L_G12d"	"SC_L_G13a"	"SC_L_G13b"	"SC_L_G13c_merged"	"SC_L_G14a"	"SC_L_G14b_merged"	"SC_L_G14c_merged"	"SC_L_G14d"	"SC_L_G1a"	"SC_L_G1b"	"SC_L_G1c"	"SC_L_G1d"	"SC_L_G2a"	"SC_L_G2b"	"SC_L_G2c"	"SC_L_G2d"	"SC_L_G3a"	"SC_L_G3b"	"SC_L_G3c"	"SC_L_G3d"	"SC_L_G4a"	"SC_L_G4b"	"SC_L_G4c"	"SC_L_G4d"	"SC_L_G5a_merged"	"SC_L_G5b"	"SC_L_G5c"	"SC_L_G5d"	"SC_L_G6a"	"SC_L_G6b"	"SC_L_G6c_merged"	"SC_L_G6d"	"SC_L_G7a_merged"	"SC_L_G7b"	"SC_L_G7c"	"SC_L_G7d"	"SC_L_G8a"	"SC_L_G8b"	"SC_L_G8c"	"SC_L_G8d"	"SC_L_G9a"	"SC_L_G9b_merged"	"SC_L_G9c"	"SC_L_G9d_merged"
"0610005C13Rik"	8411.2632032068	8011.98648820837	7174.32620512593	6816.54072980811	6196.40918661181	7316.22443225679	6050.29362597684	5971.10811461778	6599.61823340797	7369.07715982506	6578.76627968677	8005.22250582572	6675.1733062753	8137.51564045226	6792.62315896355	8127.5478434094	9771.76891800331	8658.57357244998	7319.74187703223	9070.68878087694	5354.13798311593	5774.74354860731	8828.21664746946	6062.83504126836	7185.4920934732	7155.4673555745	6162.81029379891	6620.46553997826	5675.83795038102	5799.4257851159	5714.0434213085	6907.23624996512	6676.52372782309	4426.37217874016	6496.24377361603	6669.71674439147	7159.6902664319	5639.89552887668	6671.22713501645	8121.7844445961	6997.12942891504	6632.75061837682	6462.05510539611	6613.52321374756	5946.53630375116	6988.75861487135	4953.29368139551	8947.93492674327	8535.4725437203	6609.93037052738	5451.53043661205	7125.0974398286	6419.77756791871	6247.90526285757	7869.44369052551
"1700018A23Rik"	18.5433492134189	49.208741278793	21.9425195899374	28.550955936369	10.7423957529913	32.8327199652511	23.9879482968245	13.568497582316	36.6255823556706	18.5931299238648	32.6930029517304	12.2059456457582	6.55633965011693	65.7420771712907	63.7674827168006	9.86752065165042	46.0589455326378	41.9911424464111	7.03821334330022	0	47.3613068625141	87.3530299666682	90.5721026550293	44.6124727098481	28.3513497769657	78.6091687893401	44.455769608011	41.4657608130273	21.6826016323695	32.8967664483057	49.2014830497959	18.0903806546706	37.6933694344354	39.4438729250916	42.5054118230057	13.0340639895981	35.4714489124974	21.0837216032773	10.5040315281924	15.3341366320164	16.9444813292709	27.1500229978585	17.8018046980609	44.7403816381244	37.4713246537744	43.8523082968921	36.7281634616452	43.5352007463993	25.4136246168264	46.0011724212344	11.0578710681786	25.0537144688184	11.5138209006997	21.1450590120253	25.1586227566134
"1700018L02Rik"	123.313272269236	200.852005219563	55.2951493666422	92.7906067931994	86.9157474560207	126.953183865638	105.72466101193	62.0274175191588	151.957203390548	40.2851148350403	99.0130946538119	138.959996582478	31.96215579432	109.247863534645	42.9737383526265	24.6688016291261	150.297611738081	155.367227051721	124.341769064971	0	17.3273073887247	34.2329441761267	102.534455835882	36.8052899856247	100.804799206989	62.3452028329249	226.414268468707	96.28490222686	55.0404502975532	50.7158482744713	85.8941144767623	27.1355709820058	106.912102395853	55.7986495037882	85.7192471763947	146.167717597636	57.6411044828083	96.0480650815967	257.932329747837	98.4923391364133	107.315048418716	69.6850590278367	58.745955503601	49.2144198019369	118.116132060811	82.0200581108537	121.035993225876	129.638153333722	178.771704201123	63.5254285817047	175.082958579495	68.8977147892506	67.4380938469554	99.2898423173364	85.0187941430383
"1700066M21Rik"	1501.08411882626	1224.19297181324	1175.24134923705	1111.70284677237	1157.24899702679	787.985279166027	1020.82046640931	1380.11003980128	1187.60398957536	1314.94746628221	1414.20589911199	1249.70105034647	1026.88669769956	1028.6701486802	1553.98582881595	988.396651940317	1030.26588691427	1536.87581353865	1147.22877495794	1292.65985407005	1583.71589532944	1116.70224795227	991.166406413528	428.279738014542	766.746503968162	398.467165932172	614.109933654849	1475.89996114165	1285.94506604283	1436.49213490935	1210.02291364837	1078.02222901241	751.12605272984	497.377617128595	789.183812847138	1702.80735978392	1817.91175676549	2232.5318542137	2240.86005934772	896.457218487115	1353.67578619398	1473.34124801712	1312.88309648199	1549.80681994463	1999.01371087744	1858.85062391826	1454.10138068604	1290.57683990437	1502.03284804277	1429.32214308836	1237.56007038032	1105.94253869498	1435.11553369436	1118.84942685369	1143.41602735229
"1700086O06Rik"	212.321348493646	156.664564071259	165.885448099927	102.604997896326	115.236608986634	88.6483439061781	148.369902428507	99.8253750698963	197.154730552865	144.61323274117	183.08081652969	184.967022478028	96.7060098392247	108.281068282126	140.011212052106	223.66380143741	642.401082428895	342.227810938251	246.337467015508	100.890525195711	63.5334604253238	89.7139226684701	88.8631950577646	69.7069886091377	80.6438393655914	126.723401410402	37.2187838578696	165.863043252109	118.420362761402	56.1986426825223	95.0672723335039	97.0302235114148	233.6988904935	56.760695184888	129.641506060167	163.856804440661	106.414346737492	108.932561616933	166.897389836836	111.467377825043	144.028091298803	159.28013492077	226.973009900277	116.324992259124	130.335042273998	157.543477955501	128.548572115758	130.605602239198	195.422009984561	158.813571454262	165.868066022679	164.638695080807	153.791750602203	117.67685015388	122.322958920086
"2300009A05Rik"	510.86927082969	536.274853936234	380.922140081313	353.318079712567	420.906597230842	350.215679629345	350.934799157247	354.71929393769	454.313074752255	481.35547469561	495.06547326906	449.742151101398	358.140053387637	352.880267169428	202.392445144628	189.127479156633	89.693736037242	300.23666849184	354.256738279444	384.64512730865	280.70237969734	174.706059933336	235.829248422529	243.137976268672	301.784367625924	289.363060974553	129.231888395381	380.219942370301	301.888530419913	349.528143513248	257.682343430287	380.720283777839	198.746857017932	278.993247518941	376.1728946336	455.261235065247	451.152490855826	467.355828872647	447.004897255301	407.534169720129	353.951387766993	406.345344201282	529.603689767312	400.873819477595	404.038631049394	502.677385847707	439.068499564213	525.324755673218	461.826902519569	439.201670021786	400.847826221475	477.810125941037	333.900806120291	371.417558298184	412.080889979012
"2310061I04Rik"	936.439135277653	844.582681948263	675.829603370072	672.731899250696	955.096640584137	607.405319357146	707.200253491567	761.77422140717	833.037181664083	900.733849645004	760.345840077386	785.875115807662	871.173631009287	1147.58596474003	1513.78458971188	1575.51413071352	2843.53384788337	2118.45313642144	1747.82298025289	2128.15951584704	1510.94120429679	1451.94901160813	1519.21885396832	1105.27401138649	974.656402332577	939.921699231161	1043.15980312751	1381.0206779254	1050.77223295329	1347.39672577852	1312.59549695557	1087.06741933975	878.598174817204	1472.89193776379	1005.96141314447	1256.85617042553	1145.06271020656	1120.95119857424	1083.08236201807	842.197965789211	993.134877910046	992.785840955025	964.857814634901	1293.89183697456	1311.4963628821	956.629984698868	1030.05803890159	1317.66540925768	1206.70900335758	861.974349893131	915.03883089178	740.87412786363	704.810322278546	701.464348964145	834.572244546968
"2610203C22Rik"	43.5768706515344	43.1831811222061	57.9282517174347	40.149781785519	41.9930015798752	56.9100479397686	63.0794195953533	39.7363143482111	63.8999521949998	40.2851148350403	61.6496627089773	47.8848636872052	59.0070568510524	7.73436202015184	91.4924752023661	105.253553617604	106.662821233477	56.688042302655	103.22712903507	63.0565782473197	34.6546147774494	50.7591930887396	44.4315975288823	26.2098277170358	22.0510498265289	29.1396056719105	2.06771021432609	57.6303794350549	19.1807629824807	52.0865468764841	42.5300955176202	23.8464108629748	4.11200393830205	52.9125124604888	30.4622118064874	40.9642011101654	39.9053800265596	31.625582404916	42.0161261127698	35.976243636654	30.1235223631483	47.0600398629547	50.7351433894736	49.2144198019369	40.7297007106244	51.9731061296499	42.5712803759978	39.6654051244971	34.1769434502148	44.905906411205	46.9959520397591	49.2126534208933	32.0742153662349	29.41921253847	32.966471198321
"3110009E18Rik"	76.0277317750174	29.1235407568367	40.3742360454848	37.4731296664844	30.2740243947937	66.759863929344	55.0834368297451	29.0753519621057	59.2243459368291	44.416921484788	42.033860937939	26.2897290831715	45.8943775508185	51.240148383506	52.6774857225744	60.8497106851776	167.266696934316	98.6791847490662	44.5753511742347	0	18.4824612146397	57.8418711941452	83.7364722659705	41.8241931654826	83.7939893408098	64.3781985774768	71.3360023942501	49.8994748766939	40.8633646148501	49.3451496724586	34.1908611024005	19.7349607141861	18.5040177223592	74.0775174446843	30.4622118064874	26.0681279791961	46.5562766976528	35.1395360054622	36.1805530415518	37.1557926083475	53.6575242093579	41.630035263383	48.9549629196675	40.266343474312	75.7572433217613	44.6643880801678	26.7113916084692	25.153671542364	34.1769434502148	38.3343103510287	55.2893553408931	34.8962451529971	28.7845522517493	35.8546652812604	39.039242208538
"4930506C21Rik"	21.3248515954317	31.1320608090323	11.4101101867674	17.8443474602307	15.6253029134419	17.5107839814673	13.3266379426803	12.5993191835791	12.4682833551219	11.3624682868062	16.8135443751756	17.8394590207235	15.5713066690277	43.5057863633541	36.0424902312351	59.2051239099025	82.4212709531413	69.2853850365784	0	72.5150649844176	17.3273073887247	36.5938368779286	0	11.153118177462	41.581979672883	9.48731347457552	21.710957250424	40.7629513077217	20.0147091991103	16.4483832241529	21.6820094795711	35.3584712795833	21.2453536812272	11.5445481731976	38.9632941710885	23.2751142671394	15.5187588992176	21.0837216032773	3.50134384273082	11.7954897169357	11.2963208861806	12.670010732334	24.0324363423822	8.0532686948624	10.5897221847623	6.49663826620623	19.1988127185872	12.576835771182	13.1449782500826	35.0485123209405	18.429785113631	21.4746124018443	14.8034840151853	15.6289566610622	5.20523229447173
