"symbol"	"baseMean"	"FoldChange"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"description"
"0610005C13Rik"	6853.10007215664	1.01106026179842	0.0158689881477298	0.125526452986915	0.886947551107959	0.962903705794904	"RIKEN cDNA 0610005C13 gene"
"0610009E02Rik"	89.7065105050646	1.07587344847346	0.105508388306056	0.26631631089364	0.328195273650203	0.652432328706215	"RIKEN cDNA 0610009E02 gene"
"0610009L18Rik"	36.9340042414072	0.996316723729551	-0.00532365468482151	0.244459457302477	0.962544125811322	0.988454409594383	"RIKEN cDNA 0610009L18 gene"
"0610010K14Rik"	702.840055946244	1.20462128251114	0.268579652911215	0.16431324270094	0.0448536908309898	0.235900572211594	"RIKEN cDNA 0610010K14 gene"
"0610025J13Rik"	3.53570497851549	1.02340389307237	0.0333756265449319	0.265226518760522	0.146300485466814	NA	"RIKEN cDNA 0610025J13 gene"
"0610030E20Rik"	1530.22254870433	0.952674278425027	-0.0699450572732533	0.139059082994907	0.562046952130131	0.817414142781481	"RIKEN cDNA 0610030E20 gene"
"0610031O16Rik"	5559.43193264053	1.30659127965764	0.385807916169109	0.242344941646436	0.0244511245069409	0.166525592576062	"RIKEN cDNA 0610031O16 gene"
"0610038B21Rik"	1.48724996511745	0.995262404375347	-0.00685114754157148	0.262832173867112	0.947279653781692	NA	"RIKEN cDNA 0610038B21 gene"
"0610039H22Rik"	1.87243457128231	1.00147364601572	0.00212445683440951	0.262220755170537	0.957240682974823	NA	"RIKEN cDNA 0610039H22 gene"
"0610039K10Rik"	5.90300886678951	0.986278902705025	-0.0199324212535555	0.259096789858302	0.687905952559933	NA	"RIKEN cDNA 0610039K10 gene"
"0610040B10Rik"	99.9959986777909	1.03745324371549	0.0530463180693775	0.228739357138439	0.654269667998445	0.866030605068757	"RIKEN cDNA 0610040B10 gene"
"0610040F04Rik"	32.2031057254264	0.97101209771765	-0.0424388247747851	0.253097602235425	0.607840787042921	0.842462219737277	"RIKEN cDNA 0610040F04 gene"
"0610040J01Rik"	1437.52373381498	1.15057540960812	0.20235554201694	0.161287857047926	0.120988827910454	0.407530023334912	"RIKEN cDNA 0610040J01 gene"
"0610042G04Rik"	56.2547701925414	1.15854645021137	0.212315888092393	0.355528557795323	0.067556500522275	0.298806856720562	"RIKEN cDNA 0610042G04 gene"
"0610043K17Rik"	257.571489198319	0.977408241493473	-0.0329668254658249	0.228476133882878	0.770812371176942	0.919203347142792	"RIKEN cDNA 0610043K17 gene"
"1110002E22Rik"	16.216168677638	1.00864659608702	0.0124207796155712	0.262474137045857	0.55742789841109	NA	"RIKEN cDNA 1110002E22 gene"
"1110002J07Rik"	36.5250798585323	0.994874347733715	-0.00741376958145869	0.250991878848181	0.913652188090078	0.972328250722417	"RIKEN cDNA 1110002J07 gene"
"1110002L01Rik"	329.657961584717	1.03213596357341	0.0456330299208741	0.189906019266512	0.731474884116005	0.901672221607743	"RIKEN cDNA 1110002L01 gene"
"1110004F10Rik"	1494.72719758557	1.01138299159606	0.0163294220133196	0.159077169683309	0.899686862730393	0.967456611322694	"RIKEN cDNA 1110004F10 gene"
"1110006O24Rik"	28.4136773210072	1.04050212361544	0.0572799095483372	0.252813556616829	0.524681264494595	0.79375168265644	"RIKEN cDNA 1110006O24 gene"
"1110018N20Rik"	59.3523359584947	0.924840079863742	-0.112724173511031	0.268965605833944	0.257996094499907	0.585481413431397	"RIKEN cDNA 1110018N20 gene"
"1110019D14Rik"	111.986818517567	1.09828019806673	0.135246167996266	0.275664249549034	0.229429314019647	0.55819680867571	"RIKEN cDNA 1110019D14 gene"
"1110020A21Rik"	238.37804538455	1.3877445065556	0.472741982142419	0.369015418917925	0.0224355772421192	0.157751961584735	"RIKEN cDNA 1110020A21 gene"
