"symbol"	"baseMean"	"FoldChange"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"description"
"0610005C13Rik"	6853.10007215664	1.08113461072109	0.112546162415148	0.142744555518263	0.788444518997773	0.430436738994942	1	"RIKEN cDNA 0610005C13 gene"
"0610009E02Rik"	89.7065105050646	1.06310510721143	0.0882842404780257	0.603272182755039	0.14634230286377	0.883651172450892	1	"RIKEN cDNA 0610009E02 gene"
"0610009L18Rik"	36.9340042414072	0.686277228380372	-0.543136610011708	0.654149191965984	-0.830294704453217	0.406372181389705	1	"RIKEN cDNA 0610009L18 gene"
"0610010K14Rik"	702.840055946244	1.01945345589296	0.0277959092581323	0.171563274792867	0.162015497149324	0.87129365014172	1	"RIKEN cDNA 0610010K14 gene"
"0610025J13Rik"	3.53570497851549	0.271554327893679	-1.88068723850799	2.52911452674366	-0.743614897079987	0.457109488165935	1	"RIKEN cDNA 0610025J13 gene"
"0610030E20Rik"	1530.22254870433	1.04625019186217	0.0652278873381777	0.160541012725804	0.406300460117213	0.684521847361807	1	"RIKEN cDNA 0610030E20 gene"
"0610031O16Rik"	5559.43193264053	1.10173717457664	0.139780102167994	0.240331290591821	0.581614245168754	0.560826545519109	1	"RIKEN cDNA 0610031O16 gene"
"0610038B21Rik"	1.48724996511745	0.299180577143216	-1.74091157664281	4.56380634014852	-0.381460440450275	0.702861620022893	1	"RIKEN cDNA 0610038B21 gene"
"0610039H22Rik"	1.87243457128231	0.47257838969833	-1.08137443634979	3.95118594605724	-0.273683509486274	0.784327851599535	1	"RIKEN cDNA 0610039H22 gene"
"0610039K10Rik"	5.90300886678951	0.930834664463397	-0.103403156900621	1.30118748954939	-0.0794682993274324	0.936660145319016	1	"RIKEN cDNA 0610039K10 gene"
"0610040B10Rik"	99.9959986777909	0.816549639168462	-0.292387503031356	0.424811530168939	-0.688275817078411	0.491279107426613	1	"RIKEN cDNA 0610040B10 gene"
"0610040F04Rik"	32.2031057254264	1.44671476974682	0.532780512170794	0.764224601264318	0.697151742157178	0.485707835873811	1	"RIKEN cDNA 0610040F04 gene"
"0610040J01Rik"	1437.52373381498	1.06284179707684	0.087926869156515	0.175815694833662	0.500108191363132	0.616998898657384	1	"RIKEN cDNA 0610040J01 gene"
"0610042G04Rik"	56.2547701925414	0.612134140756813	-0.708080260598511	0.627075269194564	-1.12917905614105	0.25882230696066	1	"RIKEN cDNA 0610042G04 gene"
"0610043K17Rik"	257.571489198319	1.03774572500789	0.0534529887734936	0.445637768552412	0.11994716908113	0.904524998654544	1	"RIKEN cDNA 0610043K17 gene"
"1110002E22Rik"	16.216168677638	0.155345298290706	-2.68644951763959	2.98728858343343	-0.899293604420341	0.36849629307387	1	"RIKEN cDNA 1110002E22 gene"
"1110002J07Rik"	36.5250798585323	1.03538160885031	0.0501625974122091	0.840482047060475	0.0596831277808362	0.952408009858016	1	"RIKEN cDNA 1110002J07 gene"
"1110002L01Rik"	329.657961584717	1.04631440991411	0.0653164361600595	0.268096860097525	0.243629993041693	0.807517397008898	1	"RIKEN cDNA 1110002L01 gene"
"1110004F10Rik"	1494.72719758557	1.02448196735194	0.0348945906538071	0.199420906679631	0.174979600859328	0.861095662442421	1	"RIKEN cDNA 1110004F10 gene"
"1110006O24Rik"	28.4136773210072	0.57596565912487	-0.795945298648918	0.667139255261806	-1.19307219950138	0.232841098156652	1	"RIKEN cDNA 1110006O24 gene"
"1110018N20Rik"	59.3523359584947	2.09024520497719	1.06367219362404	0.590785085169968	1.800438467938	0.071791431315942	1	"RIKEN cDNA 1110018N20 gene"
"1110019D14Rik"	111.986818517567	0.840876119775492	-0.250034820625472	0.538779330105041	-0.464076490419046	0.642592944634101	1	"RIKEN cDNA 1110019D14 gene"
"1110020A21Rik"	238.37804538455	0.931721325800878	-0.102029579925919	0.33965755491212	-0.30038954956358	0.763880034077348	1	"RIKEN cDNA 1110020A21 gene"
"1110025M09Rik"	48.3789623042933	0.641286250626989	-0.640959619202227	0.49729690009208	-1.28888722025725	0.197437297588648	1	"RIKEN cDNA 1110025M09 gene"
"1110036E04Rik"	3.47084217056473	1.28795089246605	0.365077586817184	1.93742012546503	0.18843490991896	0.85053573567504	1	"RIKEN cDNA 1110036E04 gene"
"1110038B12Rik"	518.726103064878	0.803572183424521	-0.315500470500177	0.198551108680541	-1.58901389469349	0.112057255780756	1	"RIKEN cDNA 1110038B12 gene"
"1110038F14Rik"	334.607747076086	0.792191973379961	-0.336078011195436	0.227420868160446	-1.47778000283743	0.139466672516838	1	"RIKEN cDNA 1110038F14 gene"
"1110046J04Rik"	23.7514445284745	0.959861369478483	-0.0591020390619975	0.78176971577747	-0.075600317931503	0.939737083517198	1	"RIKEN cDNA 1110046J04 gene"
"1110059E24Rik"	283.802322921599	0.971362228527408	-0.0419187067094398	0.207664049683002	-0.201858274330238	0.840027522792492	1	"RIKEN cDNA 1110059E24 gene"
"1110059G10Rik"	423.971423318229	0.950997237300933	-0.0724869449035564	0.235639548983344	-0.307617907164981	0.758373092595716	1	"RIKEN cDNA 1110059G10 gene"
"1110065P20Rik"	326.391561268687	0.946977667993855	-0.0785976910040582	0.240253191709961	-0.327145252242655	0.743558026817165	1	"RIKEN cDNA 1110065P20 gene"
"1300002E11Rik"	612.696043808334	1.11696629444623	0.159585651739804	0.166463240510091	0.958684038895241	0.337717941603359	1	"RIKEN cDNA 1300002E11 gene"
"1500002C15Rik"	8.79509950082192	0.461101414862165	-1.11684400230712	1.24843452490253	-0.894595575522326	0.371003317860718	1	"RIKEN cDNA 1500002C15 gene"
"1500002F19Rik"	77.9967200201343	1.07763397511634	0.107867241212753	0.357090845102448	0.302072267301634	0.762596972989803	1	"RIKEN cDNA 1500002F19 gene"
"1500004A13Rik"	23.7299980144225	0.850992942598368	-0.232780927395109	0.540926870813693	-0.430337148984569	0.666950407630164	1	"RIKEN cDNA 1500004A13 gene"
"1500011B03Rik"	44.4858937550622	1.02310527858719	0.0329546075278386	0.511558035703976	0.0644200759792355	0.948635744907413	1	"RIKEN cDNA 1500011B03 gene"
"1500015A07Rik"	100.885315491237	0.724451059592712	-0.465039863307701	0.477394101826079	-0.974121509940903	0.329996210547888	1	"RIKEN cDNA 1500015A07 gene"
"1500026H17Rik"	89.8515411915134	1.82594306735395	0.868641782996499	0.386052006624634	2.25006415739499	0.0244448729372722	1	"RIKEN cDNA 1500026H17 gene"
"1600002D24Rik"	1.62299322085476	0.943442209379969	-0.0839939467430655	2.46384934027778	-0.034090536856282	0.972804954595201	1	"RIKEN cDNA 1600002D24 gene"
"1600010M07Rik"	15.1366092802466	1.3010618734097	0.379689572615871	0.958389431454636	0.396174623962184	0.691976210172651	1	"RIKEN cDNA 1600010M07 gene"
"1600012H06Rik"	952.903372216467	1.07516946813173	0.104564075223027	0.156297170248286	0.669008114842524	0.503490301509052	1	"RIKEN cDNA 1600012H06 gene"
"1600014C10Rik"	5426.33237832216	0.969185692657641	-0.0451549873372929	0.201940428685134	-0.223605484207913	0.823064295936638	1	"RIKEN cDNA 1600014C10 gene"
"1600020E01Rik"	670.728938304306	0.84526525173254	-0.24252395194335	0.303599477649071	-0.798828620593617	0.424389792544559	1	"RIKEN cDNA 1600020E01 gene"
"1600023N17Rik"	17.296109382886	0.69099830074725	-0.533245932040152	1.07351037253197	-0.496731047677207	0.619378725001887	1	"RIKEN cDNA 1600023N17 gene"
"1700001G17Rik"	2.24784140159886	0.309531408885292	-1.69184228433654	2.70090376962368	-0.626398579380809	0.531053541132946	1	"RIKEN cDNA 1700001G17 gene"
"1700001J03Rik"	6.18996796402912	2.39957368942866	1.26277811800968	1.6252737805653	0.776963323416478	0.437180409323065	1	"RIKEN cDNA 1700001J03 gene"
"1700001L05Rik"	197.994805581564	1.69979608198648	0.765361682155527	0.498919472391144	1.53403850622911	0.125020180014066	1	"RIKEN cDNA 1700001L05 gene"
"1700003E16Rik"	17.3600528116567	0.598226032714755	-0.741237401997325	0.893017922213041	-0.830036423188933	0.406518190698358	1	"RIKEN cDNA 1700003E16 gene"
"1700003F12Rik"	7.03182656578227	0.89435221729855	-0.16108498374999	1.58180826153791	-0.101835973212945	0.918886871573228	1	"RIKEN cDNA 1700003F12 gene"
"1700003G18Rik"	4.56134149074976	1.42277464107216	0.508707165761016	1.49937249644809	0.339280043462253	0.734398775028166	1	"RIKEN cDNA 1700003G18 gene"
"1700006J14Rik"	4.75575608473424	1.13639930316532	0.184469851986581	1.26709155966293	0.145585258286823	0.884248806165789	1	"RIKEN cDNA 1700006J14 gene"
"1700007J10Rik"	10.683401669539	0.495977089690966	-1.01165461409901	0.775478725355662	-1.30455495556636	0.192044434929012	1	"RIKEN cDNA 1700007J10 gene"
"1700007L15Rik"	31.8144274232073	1.33957102301575	0.421771073779227	0.782126423497258	0.539262018400157	0.589706072487965	1	"RIKEN cDNA 1700007L15 gene"
"1700008J07Rik"	93.6047723604634	0.989895656198889	-0.0146516345618455	0.376222507593714	-0.0389440670510546	0.968934982773312	1	"RIKEN cDNA 1700008J07 gene"
"1700008O03Rik"	7.02557553898788	0.474663475686747	-1.07502305306793	1.49503477560646	-0.719062238958185	0.472102572275826	1	"RIKEN cDNA 1700008O03 gene"
"1700010G06Rik"	2.30844346780017	0.736625742935067	-0.440996278757778	1.85835200281189	-0.237305030527318	0.812420159758937	1	"RIKEN cDNA 1700010G06 gene"
"1700010I14Rik"	50.0720202758817	0.341779324015955	-1.54886297125508	0.684630340973416	-2.26233469152548	0.023676732593756	1	"RIKEN cDNA 1700010I14 gene"
"1700011L22Rik"	4.84029282505279	6.10081790326117	2.60900266986868	1.95462605809258	1.33478353011146	0.18194720545791	1	"RIKEN cDNA 1700011L22 gene"
"1700012D01Rik"	129.334178852847	1.02610793184108	0.0371824897580529	0.408401965849635	0.0910438559733641	0.927457743707905	1	"RIKEN cDNA 1700012D01 gene"
"1700012I11Rik"	3.49750128898303	0.258593064066923	-1.95124451490721	1.22019857371801	-1.59912046853297	0.109793837456298	1	"RIKEN cDNA 1700012I11 gene"
"1700013H16Rik"	0.929319891007666	0.540776010888738	-0.886896940566597	7.69994321359953	-0.115182270305601	0.908300651384349	1	"RIKEN cDNA 1700013H16 gene"
"1700016L04Rik"	277.82208416075	0.682443246395348	-0.551219021819678	0.32047536181818	-1.72000436692668	0.0854316477920912	1	"RIKEN cDNA 1700016L04 gene"
"1700017B05Rik"	355.33371277174	1.08952432443589	0.123698406046567	0.249779632736058	0.495230154242716	0.620437667484382	1	"RIKEN cDNA 1700017B05 gene"
"1700018A23Rik"	32.8613022092503	1.03038385042392	0.0431818868649414	0.60087073410834	0.0718655185112669	0.942708931310837	1	"RIKEN cDNA 1700018A23 gene"
"1700018L02Rik"	93.1189715049586	0.843368300927221	-0.24576529778364	0.550322011181318	-0.446584531947181	0.655175065961714	1	"RIKEN cDNA 1700018L02 gene"
"1700019A02Rik"	15.7367165911337	0.760373638780417	-0.395219578497958	1.22686401386197	-0.322138047927472	0.747348115245072	1	"RIKEN cDNA 1700019A02 gene"
"1700019D03Rik"	1.41817969258125	0.334831680198337	-1.57849205952366	2.65357338885931	-0.59485524920877	0.551940232833206	1	"RIKEN cDNA 1700019D03 gene"
"1700020L13Rik"	4.64922784889401	3.11040481942605	1.63710235944621	2.15014159317789	0.761392814613007	0.446422477922503	1	"RIKEN cDNA 1700020L13 gene"
"1700020L24Rik"	2.81121958509782	8.8250016181306	3.14159654291286	3.31814966717306	0.946791693573419	0.343744935280936	1	"RIKEN cDNA 1700020L24 gene"
"1700022N22Rik"	22.1227706192252	1.11813481613584	0.16109414779163	0.62444029152635	0.257981667707348	0.796421055505738	1	"RIKEN cDNA 1700022N22 gene"
"1700023D09Rik"	66.3968995298534	0.944678289503519	-0.0821049921766566	0.500179526818156	-0.164151045323586	0.869612238412557	1	"RIKEN cDNA 1700023D09 gene"
"1700025G04Rik"	123.758387885128	1.10568866918584	0.144945220427515	0.467944794210019	0.309748547736726	0.756752181361781	1	"RIKEN cDNA 1700025G04 gene"
"1700028E10Rik"	47.0808075396034	0.998963119974361	-0.00149667774277579	0.618884577838069	-0.00241834713025827	0.998070440042913	1	"RIKEN cDNA 1700028E10 gene"
"1700028J19Rik"	9.02515333797533	1.95409978712449	0.966504141161889	0.95760910527112	1.00928879627586	0.312836151687923	1	"RIKEN cDNA 1700028J19 gene"
"1700028K03Rik"	2.40567848455685	1.12659837772604	0.17197329924621	1.81062626700081	0.0949800090612146	0.924330705583853	1	"RIKEN cDNA 1700028K03 gene"
"1700030C10Rik"	114.867461200587	1.78245374285704	0.833864637220813	0.448206976994131	1.86044546386374	0.0628225274883045	1	"RIKEN cDNA 1700030C10 gene"
"1700030C14Rik"	2.24309434134986	0.533570254758573	-0.906249852855928	3.69901683033181	-0.244997493773132	0.806458371915546	1	"RIKEN cDNA 1700030C14 gene"
"1700030J22Rik"	7.0859558461614	1.49548101827468	0.580609598845906	1.24091484622227	0.467888349159059	0.639864435667102	1	"RIKEN cDNA 1700030J22 gene"
"1700030K09Rik"	324.444054760706	0.886563235698087	-0.1737045573061	0.299879772376828	-0.579247329452495	0.562422299380909	1	"RIKEN cDNA 1700030K09 gene"
