"symbol"	"baseMean"	"FoldChange"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"description"
"0610005C13Rik"	6853.10007215664	1.00000399114795	5.75799785930011e-06	0.00144262719978459	0.430436738994942	1	"RIKEN cDNA 0610005C13 gene"
"0610009E02Rik"	89.7065105050646	1.00000018518382	2.67163760072863e-07	0.00144269091747515	0.883651172450892	1	"RIKEN cDNA 0610009E02 gene"
"0610009L18Rik"	36.9340042414072	0.9999990920307	-1.30992340104929e-06	0.0014426919177711	0.406372181389705	1	"RIKEN cDNA 0610009L18 gene"
"0610010K14Rik"	702.840055946244	1.00000079849574	1.15198538480591e-06	0.00144264426332054	0.87129365014172	1	"RIKEN cDNA 0610010K14 gene"
"0610025J13Rik"	3.53570497851549	0.999999797736649	-2.91804363141786e-07	0.0014426948638652	0.457109488165935	1	"RIKEN cDNA 0610025J13 gene"
"0610030E20Rik"	1530.22254870433	1.00000183475388	2.64698789561395e-06	0.0014426380139598	0.684521847361807	1	"RIKEN cDNA 0610030E20 gene"
"0610031O16Rik"	5559.43193264053	1.00000172709028	2.4916624257121e-06	0.00144267016951517	0.560826545519109	1	"RIKEN cDNA 0610031O16 gene"
"0610038B21Rik"	1.48724996511745	0.999999945932304	-7.80031989809134e-08	0.00144269498468549	0.702861620022893	1	"RIKEN cDNA 0610038B21 gene"
"0610039H22Rik"	1.87243457128231	0.999999963250459	-5.30183811444166e-08	0.00144269494215318	0.784327851599535	1	"RIKEN cDNA 0610039H22 gene"
"0610039K10Rik"	5.90300886678951	0.999999958564966	-5.97781188272025e-08	0.00144269414868993	0.936660145319016	1	"RIKEN cDNA 0610039K10 gene"
"0610040B10Rik"	99.9959986777909	0.999998836936856	-1.67794640558169e-06	0.00144268727472278	0.491279107426613	1	"RIKEN cDNA 0610040B10 gene"
"0610040F04Rik"	32.2031057254264	1.00000065695208	9.4778119308819e-07	0.00144269268223971	0.485707835873811	1	"RIKEN cDNA 0610040F04 gene"
"0610040J01Rik"	1437.52373381498	1.00000202377938	2.91969352021967e-06	0.00144264797232549	0.616998898657384	1	"RIKEN cDNA 0610040J01 gene"
"0610042G04Rik"	56.2547701925414	0.999998716505725	-1.85169201427796e-06	0.0014426919843128	0.25882230696066	1	"RIKEN cDNA 0610042G04 gene"
"0610043K17Rik"	257.571489198319	1.00000019736254	2.84733923223359e-07	0.00144268748600686	0.904524998654544	1	"RIKEN cDNA 0610043K17 gene"
"1110002E22Rik"	16.216168677638	0.999999813867754	-2.685320925825e-07	0.00144269495738208	0.36849629307387	1	"RIKEN cDNA 1110002E22 gene"
"1110002J07Rik"	36.5250798585323	1.00000005818294	8.39402306829942e-08	0.00144269289938407	0.952408009858016	1	"RIKEN cDNA 1110002J07 gene"
"1110002L01Rik"	329.657961584717	1.00000064769906	9.34431925933968e-07	0.00144267429736858	0.807517397008898	1	"RIKEN cDNA 1110002L01 gene"
"1110004F10Rik"	1494.72719758557	1.00000064306174	9.27741690979058e-07	0.00144265742582854	0.861095662442421	1	"RIKEN cDNA 1110004F10 gene"
"1110006O24Rik"	28.4136773210072	0.999998727530555	-1.83578652615715e-06	0.0014426924005362	0.232841098156652	1	"RIKEN cDNA 1110006O24 gene"
"1110018N20Rik"	59.3523359584947	1.0000021248936	3.06557019847094e-06	0.00144269278001528	0.071791431315942	1	"RIKEN cDNA 1110018N20 gene"
"1110019D14Rik"	111.986818517567	0.99999938665568	-8.84869080228735e-07	0.00144269002860723	0.642592944634101	1	"RIKEN cDNA 1110019D14 gene"
"1110020A21Rik"	238.37804538455	0.999999363602122	-9.18128355283966e-07	0.00144268218150518	0.763880034077348	1	"RIKEN cDNA 1110020A21 gene"
"1110025M09Rik"	48.3789623042933	0.999998131651473	-2.6954596726819e-06	0.00144269043727363	0.197437297588648	1	"RIKEN cDNA 1110025M09 gene"
"1110036E04Rik"	3.47084217056473	1.00000008418751	1.21456892833265e-07	0.00144269462889982	0.85053573567504	1	"RIKEN cDNA 1110036E04 gene"
"1110038B12Rik"	518.726103064878	0.999994247837702	-8.29863988922821e-06	0.00144266925369884	0.112057255780756	1	"RIKEN cDNA 1110038B12 gene"
"1110038F14Rik"	334.607747076086	0.999995333244535	-6.73272067614158e-06	0.00144267417356945	0.139466672516838	1	"RIKEN cDNA 1110038F14 gene"
"1110046J04Rik"	23.7514445284745	0.999999931925257	-9.8211098113395e-08	0.0014426925756638	0.939737083517198	1	"RIKEN cDNA 1110046J04 gene"
"1110059E24Rik"	283.802322921599	0.99999930264614	-1.00606930693488e-06	0.00144266040368689	0.840027522792492	1	"RIKEN cDNA 1110059E24 gene"
"1110059G10Rik"	423.971423318229	0.999999064416287	-1.34976261443116e-06	0.00144266831917823	0.758373092595716	1	"RIKEN cDNA 1110059G10 gene"
"1110065P20Rik"	326.391561268687	0.999999020856541	-1.41260610477623e-06	0.00144266937979151	0.743558026817165	1	"RIKEN cDNA 1110065P20 gene"
"1300002E11Rik"	612.696043808334	1.00000416089402	6.00288868465379e-06	0.00144264722638555	0.337717941603359	1	"RIKEN cDNA 1300002E11 gene"
"1500002C15Rik"	8.79509950082192	0.999999505570157	-7.13311658409372e-07	0.00144269426575044	0.371003317860718	1	"RIKEN cDNA 1500002C15 gene"
"1500002F19Rik"	77.9967200201343	1.0000006131479	8.84585163403413e-07	0.00144268340130151	0.762596972989803	1	"RIKEN cDNA 1500002F19 gene"
