ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	55	-0.711472655463989	-2.77354960923899	1e-10	8.33038532617046e-09	6.9690866606743e-09	261	tags=65%, list=19%, signal=55%	Atp5me/Ndufa13/Ndufa6/Ndufb3/Ndufs7/Sdhb/Sdhd/Ndufb11/Atp5f1e/Ndufs4/Atp5f1b/Sdha/Atp5f1a/Atp5pf/Dnajc30/Ndufa8/Ndufb10/Ndufb2/Ndufv2/Ndufc1/Sdhc/Ndufs5/Ndufa9/Ndufc2/Ndufs6/Ndufb8/Atp5pb/Ndufa7/Atp5f1d/Ndufb9/Ndufa1/Ndufb5/Atp5f1c/Ndufb6/Atp5mf/Atp5po
CC	GO:0098800	inner mitochondrial membrane protein complex	127	-0.617816956799123	-2.7378093102115	1e-10	8.33038532617046e-09	6.9690866606743e-09	303	tags=57%, list=22%, signal=49%	Cox5b/Atp5mc1/Ndufv3/Chchd3/Uqcrb/Micu1/Chchd10/Atp5me/Apoo/Ndufa13/Ndufa6/Ndufb3/Dnajc19/Micos10/Ndufs7/Sdhb/Sdhd/Ndufb11/Atp5f1e/Ndufs4/Atp5f1b/Sdha/Atp5f1a/Cox6c/Atp5pf/Uqcrc1/Cox6b1/Ndufa8/Ndufb10/Uqcr11/Uqcrc2/Dmac1/Uqcr10/Ndufb2/Atp5mk/Uqcrfs1/Cox7b/Apool/Ndufv2/Ndufc1/Timm22/Sdhc/Timm17b/Cox4i1/Cox6a1/Ndufs5/Cox5a/Ndufa9/Uqcrh/Ndufc2/Grpel1/Ndufs6/Ndufb8/Cox6a2/Atp5pb/Ndufa7/Atp5f1d/Ndufb9/Atp5mj/Atp5mc3/Ndufa1/Smdt1/Ndufb5/Cox8a/Dnajc15/Atp5f1c/Ndufb6/Atp5mf/Micos13/Ndufa4/Atp5po/Cox7a2
BP	GO:0006119	oxidative phosphorylation	109	-0.617269374575182	-2.71578168705222	1e-10	8.33038532617046e-09	6.9690866606743e-09	265	tags=52%, list=19%, signal=46%	Chchd10/Atp5me/Ndufa13/Ndufa6/Ndufb3/Ndufs7/Sdhb/Sdhd/Ndufb11/Atp5f1e/Ndufs4/Atp5f1b/Sdha/Atp5f1a/Atp5pf/Dnajc30/Ndufaf1/Uqcrc1/Ndufa8/Ndufb10/Uqcr11/Uqcrc2/Uqcr10/Ndufb2/Uqcrfs1/Coq7/Cox7b/Ndufv2/Ndufc1/Sdhc/Cox4i1/Cox6a1/Ndufs5/Cox5a/Ndufa9/Uqcrh/Ndufc2/Ndufs6/Ndufb8/Cox6a2/Atp5pb/Coa6/Ndufa7/Atp5f1d/Park7/Ndufb9/Pink1/Ndufa1/Ndufb5/Chchd2/Cox8a/Dnajc15/Atp5f1c/Ndufb6/Atp5mf/Atp5po/Cox7a2
CC	GO:0098803	respiratory chain complex	73	-0.661276734280699	-2.71106599723428	1e-10	8.33038532617046e-09	6.9690866606743e-09	246	tags=64%, list=18%, signal=56%	Cox5b/Ndufv3/Uqcrb/Cox6b2/Ndufa13/Ndufa6/Ndufb3/Ndufs7/Sdhb/Sdhd/Ndufb11/Ndufs4/Sdha/Cox6c/Uqcrc1/Cox6b1/Ndufa8/Ndufb10/Uqcr11/Uqcrc2/Dmac1/Uqcr10/Ndufb2/Uqcrfs1/Cox7b/Ndufv2/Ndufc1/Sdhc/Cox4i1/Cox6a1/Ndufs5/Cox5a/Ndufa9/Uqcrh/Ndufc2/Ndufs6/Ndufb8/Cox6a2/Coa6/Ndufa7/Ndufb9/Ndufa1/Ndufb5/Cox8a/Ndufb6/Ndufa4/Cox7a2
BP	GO:0042773	ATP synthesis coupled electron transport	61	-0.644682755117528	-2.57120447435102	1.10432364352511e-10	8.33038532617046e-09	6.9690866606743e-09	238	tags=54%, list=17%, signal=47%	Ndufs7/Sdhb/Sdhd/Sdha/Ndufaf1/Uqcrc1/Ndufa8/Uqcr11/Uqcrc2/Uqcr10/Uqcrfs1/Coq7/Cox7b/Ndufv2/Sdhc/Cox4i1/Cox6a1/Cox5a/Uqcrh/Ndufc2/Ndufs6/Ndufb8/Cox6a2/Coa6/Ndufa7/Park7/Ndufb9/Pink1/Chchd2/Cox8a/Dnajc15/Ndufb6/Cox7a2
CC	GO:0098798	mitochondrial protein-containing complex	272	-0.501566755478246	-2.44975114208509	1e-10	8.33038532617046e-09	6.9690866606743e-09	282	tags=41%, list=20%, signal=40%	Mrpl46/Uqcrb/Mrps24/Micu1/Mrpl12/Timm8a1/Chchd10/Atp5me/Mrpl54/Apoo/Mrpl58/Mrps31/Mrpl40/Ndufa13/Ndufa6/Ndufb3/Dnajc19/Micos10/Etfa/Ndufs7/Hadhb/Sdhb/Sdhd/Ndufb11/Mrpl36/Atp5f1e/Etfdh/Ndufs4/Mterf4/Atp5f1b/Mrps33/Sdha/Atp5f1a/Mrps25/Mrpl11/Mrpl51/Cox6c/Mrpl45/Atp5pf/Uqcrc1/Cox6b1/Mrps35/Mrps16/Ndufa8/Ndufb10/Mrpl57/Uqcr11/Uqcrc2/Dmac1/Mrpl30/Tomm6/Mrpl32/Uqcr10/Ndufb2/Atp5mk/Uqcrfs1/Hsd17b10/Mrpl13/Cox7b/Apool/Mrps14/Mrpl17/Ndufv2/Etfb/Slc25a5/Ndufc1/Timm22/Mrpl16/Sdhc/Timm17b/Mrps30/Cox4i1/Mrps34/Cox6a1/Ndufs5/Cox5a/Mrpl50/Mrpl34/Mrpl27/Ndufa9/Uqcrh/Ndufc2/Grpel1/Ndufs6/Ndufb8/Cox6a2/Atp5pb/Ndufa7/Atp5f1d/Tomm22/Ndufb9/Mrpl1/Atp5mj/Atp5mc3/Ndufa1/Smdt1/Ndufb5/Cox8a/Dnajc15/Atp5f1c/Mrpl20/Mrpl35/Tomm7/Ndufb6/Suclg1/Atp5mf/Micos13/Ndufa4/Atp5po/Cox7a2/Mrpl49
CC	GO:0005743	mitochondrial inner membrane	453	-0.41759627914574	-2.11594907466631	1e-10	8.33038532617046e-09	6.9690866606743e-09	279	tags=33%, list=20%, signal=39%	Glud1/Uqcrb/Mrps24/Micu1/Bok/Mrpl12/Timm8a1/Slc25a24/Sod2/Chchd10/Cox6b2/Atp5me/Slc25a39/Mrpl54/Slc3a1/Apoo/Mrpl58/Mrps31/Mrpl40/Ndufa13/Ndufa6/Ndufb3/Dnajc19/Micos10/Ndufs7/Nipsnap1/Mdh2/Hadhb/Sdhb/Sdhd/Acadvl/Ndufb11/Pisd/Mrpl36/Atp5f1e/Etfdh/Ndufs4/Atp5f1b/Eci1/Mrps33/Sdha/Atp5f1a/Hadh/Cpt2/Crat/Sqor/Mrps25/Mrpl11/Vdac2/Mrpl51/Cox6c/Mrpl45/Tmem70/Atp5pf/Dnajc30/Uqcrc1/Cox6b1/Gstk1/Mrps35/Mrps16/Ndufa8/Ndufb10/Mgst1/Crls1/Mrpl57/Uqcr11/Uqcrc2/Dmac1/Mrpl30/Timm8b/Tufm/Mrpl32/Vdac3/Uqcr10/Ndufb2/Atp5mk/Mtarc2/Uqcrfs1/Coq7/Hsd17b10/Mrpl13/Cox7b/Pdk4/Apool/Coa3/Maip1/Mrps14/Acat1/Mrpl17/Ndufv2/Gcat/Slc25a5/Ndufc1/Timm22/Mrpl16/Slc25a35/Tst/Sdhc/Timm17b/Mrps30/Cox4i1/Mrps34/Cox6a1/Ndufs5/Cox5a/Ghitm/Mrpl50/Mrpl34/Fdx1/Mrpl27/Mpc1/Ndufa9/Uqcrh/Ndufc2/Grpel1/Acaa2/Ndufs6/Ndufb8/Cox6a2/Atp5pb/Ndufa7/Atp5f1d/Tomm22/Ndufb9/Mrpl1/Pink1/Atp5mj/Atp5mc3/Ndufa1/Smdt1/Ndufb5/Cox8a/Dnajc15/Got2/Atp5f1c/Mrpl20/Tmem242/Mrpl35/Mpst/Ndufb6/Suclg1/Atp5mf/Tmem177/Micos13/Ndufa4/Higd2a/Atp5po/Mpc2/Cox7a2/Mrpl49
CC	GO:0032991	protein-containing complex	467	-0.379949283108316	-1.92955683066141	1.12682756642497e-10	8.33038532617046e-09	6.9690866606743e-09	282	tags=31%, list=20%, signal=37%	Mrpl46/Wdr77/Uqcrb/Mrps24/Micu1/Mrpl12/Timm8a1/Chchd10/Cox6b2/Tfam/Atp5me/Slirp/Mrpl54/Prelid1/Apoo/Mrpl58/Cbr4/Mrps31/Mrpl40/Ndufa13/Ndufa6/Ndufb3/Dnajc19/Micos10/Etfa/Ndufs7/Hadhb/Sdhb/Sdhd/Ndufb11/Mrpl36/Atp5f1e/Etfdh/Ndufs4/Mterf4/Atp5f1b/Mrps33/Mxd3/Sdha/Atp5f1a/Cat/Mrps25/Kars1/Mrpl11/Pyurf/Vdac2/Mrpl51/Pccb/Cox6c/Apex1/Mrpl45/Atp5pf/Uqcrc1/Rpl18/Prdx3/Cox6b1/Mrps35/Mrps16/Ndufa8/Ndufb10/Sod1/Mrpl57/Uqcr11/Uqcrc2/Fabp1/Dmac1/Mrpl30/Gcsh/Decr1/Tomm6/Mrpl32/Vdac3/Uqcr10/Ndufb2/Atp5mk/Uqcrfs1/Coq7/Hsd17b10/Mrpl13/Cox7b/Apool/Bud31/Mrps14/Mrpl17/Ndufv2/Etfb/Slc25a5/Grhpr/Ndufc1/Timm22/Mrpl16/Sdhc/Timm17b/Mrps30/Cox4i1/Mrps34/Cox6a1/Ndufs5/Gldc/Cox5a/Mrpl50/Mrpl34/Mrpl27/Bola3/Pxmp2/Ndufa9/Uqcrh/Ndufc2/Grpel1/Ndufs6/Ndufb8/Cox6a2/Atp5pb/Coa6/Ndufa7/Atp5f1d/Tomm22/Park7/Ndufb9/Mrpl1/Pink1/Atp5mj/Atp5mc3/Ndufa1/Smdt1/Ndufb5/Cox8a/Dnajc15/Got2/Atp5f1c/Mrpl20/Mrpl35/Tomm7/Ndufb6/Suclg1/Atp5mf/Micos13/Hint1/Ndufa4/Dbi/Atp5po/Cox7a2/Mrpl49
BP	GO:0009165	nucleotide biosynthetic process	118	-0.492720715840625	-2.17133506714402	1.11834066392673e-08	6.24673142279071e-07	5.2259302453418e-07	397	tags=55%, list=29%, signal=43%	Stoml2/Ndufa2/Idh2/Pdk2/Atp5pd/Gars1/Pdha1/Vdac1/Uqcc3/Nadk2/Ndufs8/Acsl6/Kmo/Coasy/Dut/Atp5mc1/Rfk/Ndufv3/Mlycd/Atp5me/Ndufa13/Acsl1/Ndufa6/Ndufb3/Ndufs7/Sdhb/Sdhd/Ndufb11/Atp5f1e/Ndufs4/Atp5f1b/Sdha/Atp5f1a/Kars1/Atp5pf/Dnajc30/Ndufa8/Ndufb10/Guk1/Ak3/Ndufb2/Mmut/Pdk4/Acat1/Ndufv2/Ndufc1/Sdhc/Ndufs5/Mpc1/Ndufa9/Ndufc2/Ndufs6/Ndufb8/Atp5pb/Ndufa7/Atp5f1d/Ndufb9/Atp5mc3/Ndufa1/Ndufb5/Atp5f1c/Ndufb6/Atp5mf/Atp5po/Mpc2
CC	GO:1902495	transmembrane transporter complex	63	-0.595530009172086	-2.37160157525661	1.8401221491162e-08	8.72106376126588e-07	7.29592290702214e-07	300	tags=56%, list=22%, signal=46%	Atp5mc1/Ndufv3/Uqcrb/Micu1/Ndufa13/Ndufa6/Ndufb3/Ndufs7/Ndufb11/Ndufs4/Uqcrc1/Ndufa8/Ndufb10/Uqcr11/Uqcrc2/Dmac1/Uqcr10/Ndufb2/Uqcrfs1/Ndufv2/Ndufc1/Ndufs5/Ndufa9/Uqcrh/Ndufc2/Ndufs6/Ndufb8/Ndufa7/Ndufb9/Atp5mc3/Ndufa1/Smdt1/Ndufb5/Ndufb6/Ndufa4
