ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0042773	ATP synthesis coupled electron transport	61	-0.646368254561089	-2.64322423296435	1e-10	1.73777777777778e-08	1.40701754385965e-08	184	tags=56%, list=13%, signal=51%	Uqcrfs1/Ndufa8/Cox7a2l/Iscu/Cox6a2/Pink1/Ndufv2/Cox7b/Sdhd/Cycs/Cox4i1/Ndufaf1/Ndufa7/Uqcr10/Uqcrc1/Mtch2/Uqcrc2/Sdha/Coq7/Coa6/Uqcrh/Ndufb8/Sdhc/Cox6a1/Park7/Dnajc15/Ndufc2/Ndufb9/Ndufs6/Cox5a/Cox8a/Ndufb6/Chchd2/Cox7a2
CC	GO:0098800	inner mitochondrial membrane protein complex	127	-0.571187487819537	-2.62866815905089	1e-10	1.73777777777778e-08	1.40701754385965e-08	184	tags=39%, list=13%, signal=38%	Cox6a2/Ndufb3/Ndufv2/Ndufc1/Timm29/Cox7b/Apool/Sdhd/Cox4i1/Ndufa7/Atp5f1b/Timm10/Ndufa9/Ndufs4/Ndufs5/Atp5mk/Uqcr10/Uqcrc1/Uqcrc2/Sdha/Atp5f1a/Timm22/Timm17b/Dmac1/Uqcrh/Ndufb8/Sdhc/Atp5f1d/Cox6a1/Atp5mf/Ndufa1/Ndufb5/Apoo/Smdt1/Dnajc15/Ndufc2/Grpel1/Ndufb9/Atp5mj/Ndufs6/Cox5a/Cox8a/Atp5f1c/Ndufb6/Atp5pb/Micos13/Atp5mc3/Atp5po/Ndufa4/Cox7a2
BP	GO:0006119	oxidative phosphorylation	109	-0.575160830939181	-2.61588977506833	1e-10	1.73777777777778e-08	1.40701754385965e-08	268	tags=47%, list=19%, signal=41%	Uqcrfs1/Ndufa8/1700066M21Rik/Ndufb2/Cox7a2l/Iscu/Ndufb10/Cox6a2/Ndufb3/Pink1/Ndufv2/Ndufc1/Cox7b/Sdhd/Cycs/Cox4i1/Ndufaf1/Ndufa7/Atp5f1b/Ndufa9/Ndufs4/Ndufs5/Uqcr10/Uqcrc1/Mtch2/Uqcrc2/Sdha/Coq7/Atp5f1a/Coa6/Uqcrh/Ndufb8/Sdhc/Atp5f1d/Cox6a1/Atp5mf/Ndufa1/Park7/Ndufb5/Dnajc15/Ndufc2/Ndufb9/Ndufs6/Cox5a/Cox8a/Atp5f1c/Ndufb6/Atp5pb/Chchd2/Atp5po/Cox7a2
CC	GO:0098798	mitochondrial protein-containing complex	272	-0.470323751174256	-2.38913613812653	1e-10	1.73777777777778e-08	1.40701754385965e-08	368	tags=46%, list=27%, signal=42%	Cox6b1/Dld/Idh3b/Chchd1/Timm8a1/Uqcr11/Mrpl28/Timm17a/Etfa/Mrpl43/Cyc1/Mrps18a/Mrps7/Mterf4/Mrpl45/Mrpl44/Atp5pf/Cox6c/Sdhb/Atp5me/Tomm5/Clpx/Mrpl40/Mrps2/Mrpl21/Vdac1/Ndufb11/Mrpl12/Mrps25/Mrpl27/Mrpl42/Nsun3/Micos10/Dnajc19/Mrpl11/Uqcrfs1/Mrpl57/Ndufa8/Ndufb2/Mrpl22/Mrps33/Mrps22/Mrps16/Mrps24/Cox7a2l/Mrpl32/Iscu/Pdha1/Mrpl46/Ndufb10/Tomm20/Mrpl17/Mrps10/Cox6a2/Ndufb3/Mtx2/Etfdh/Ndufv2/Mrps31/Mrps30/Ndufc1/Mrpl36/Timm29/Cox7b/Tomm6/Mrps18b/Apool/Mrpl30/Sdhd/Cox4i1/Tomm22/Ndufa7/Atp5f1b/Timm10/Ndufa9/Mrpl13/Ndufs4/Mrps14/Ndufs5/Atp5mk/Uqcr10/Uqcrc1/Uqcrc2/Sdha/Atp5f1a/Mrpl1/Timm22/Timm17b/Dmac1/Uqcrh/Mrpl50/Ndufb8/Mrps34/Sdhc/Mrpl16/Tomm7/Atp5f1d/Cox6a1/Atp5mf/Ndufa1/Ndufb5/Apoo/Smdt1/Dnajc15/Ndufc2/Grpel1/Ndufb9/Atp5mj/Slc25a5/Ndufs6/Cox5a/Cox8a/Mrpl34/Hsd17b10/Atp5f1c/Ndufb6/Mrpl35/Suclg1/Atp5pb/Micos13/Atp5mc3/Atp5po/Mrpl20/Mrpl49/Ndufa4/Cox7a2
CC	GO:0005743	mitochondrial inner membrane	453	-0.384573351020983	-2.04281522105204	1e-10	1.73777777777778e-08	1.40701754385965e-08	361	tags=41%, list=26%, signal=45%	Ndufv1/Dnajc30/Acadvl/Aifm1/Coq5/Chchd3/Cox6b1/Gcat/Chchd1/Timm8a1/Uqcr11/Slc3a1/Mrpl28/Timm17a/Rab5if/Slc25a30/Hmgcl/Mtfp1/Mrpl43/Cyc1/Cpox/Mrps18a/Sco1/Mrps7/Maob/Stoml2/Mrpl45/Mrpl44/Atp5pf/Cox6c/Sdhb/Atp5me/Clpx/Mrpl40/Mrps2/Bok/Mrpl21/Vdac1/Ndufb11/Eci1/Cps1/Mrpl12/Vdac2/Mrps25/Glud1/Mrpl27/Mrpl42/Micos10/Hadh/Letm1/Dnajc19/Mrpl11/Uqcrfs1/Mrpl57/Ndufa8/Ndufb2/Acat1/Sqor/Mpc1/Mrpl22/Nipsnap1/Otc/Mrps33/Mrps22/Mrps16/Mrps24/Cox7a2l/Pdk4/Mrpl32/Maip1/Pisd/Abcd3/Dhrs1/Slc25a15/Mrpl46/Ndufb10/Cyb5r3/Mrpl17/Yme1l1/Mrps10/Cyb5b/Opa1/Slc25a39/Mcur1/Cox6a2/Ndufb3/Mtarc2/Pink1/Etfdh/Ndufv2/Mrps31/Mrps30/Hspd1/Ndufc1/Mrpl36/Timm29/Cox7b/Tmem14c/Mrps18b/Apool/Mrpl30/Sdhd/Cox4i1/Tomm22/Mpc2/Ndufa7/Atp5f1b/Timm10/Ndufa9/Mrpl13/Ndufs4/Kmo/Tmem70/Mrps14/Ociad2/Mdh2/Ndufs5/Atp5mk/Uqcr10/Uqcrc1/Slc25a35/Gstk1/Tst/Timm8b/Mtch2/Uqcrc2/Sdha/Coq7/Atp5f1a/Mrpl1/Timm22/Timm17b/Dmac1/Uqcrh/Mrpl50/Vdac3/Ndufb8/Mrps34/Sdhc/Tufm/Mrpl16/Higd1a/Atp5f1d/Alas2/Cox6a1/Atp5mf/Ndufa1/Ndufb5/Apoo/Smdt1/Dnajc15/Coa3/Sod2/Tmem242/Fdx1/Ndufc2/Grpel1/Ndufb9/Tmem177/Got2/Atp5mj/Acaa2/Slc25a5/Ndufs6/Cox5a/Cox8a/Mrpl34/Hsd17b10/Mgst1/Ghitm/Atp5f1c/Ndufb6/Mrpl35/Suclg1/Atp5pb/Micos13/Atp5mc3/Atp5po/Mrpl20/Mrpl49/Higd2a/Ndufa4/Mpst/Cox7a2
BP	GO:0009060	aerobic respiration	143	-0.491485107211289	-2.3021650767395	3.55699165057419e-10	4.85773085812172e-08	3.93313381499558e-08	326	tags=45%, list=24%, signal=38%	Stoml2/Fh1/Atp5pf/Sucla2/Sdhb/Atp5me/Mtfr1/Ndufb11/Uqcrfs1/Ndufa8/1700066M21Rik/Ndufb2/Cox7a2l/Iscu/Pdha1/Ndufb10/Cox6a2/Ndufb3/Pink1/Ndufv2/Ndufc1/Cox7b/Sdhd/Cycs/Cox4i1/Ndufaf1/Ndufa7/Atp5f1b/Ndufa9/Ndufs4/Mdh2/Ndufs5/Uqcr10/Uqcrc1/Mtch2/Uqcrc2/Sdha/Coq7/Atp5f1a/Coa6/Uqcrh/Ndufb8/Sdhc/Ide/Atp5f1d/Cox6a1/Atp5mf/Ndufa1/Park7/Ndufb5/Dnajc15/Ndufc2/Cat/Ndufb9/Ndufs6/Cox5a/Cox8a/Atp5f1c/Ndufb6/Suclg1/Atp5pb/Chchd2/Atp5po/Cox7a2
CC	GO:0098803	respiratory chain complex	73	-0.590202957674389	-2.50777776570048	5.4453463919967e-10	6.08322982648774e-08	4.92537722524212e-08	268	tags=49%, list=19%, signal=42%	Uqcrfs1/Ndufa8/Ndufb2/Cox7a2l/Ndufb10/Cox6a2/Ndufb3/Ndufv2/Ndufc1/Cox7b/Sdhd/Cox4i1/Ndufa7/Ndufa9/Ndufs4/Ndufs5/Uqcr10/Uqcrc1/Uqcrc2/Sdha/Coa6/Dmac1/Uqcrh/Ndufb8/Sdhc/Cox6a1/Ndufa1/Ndufb5/Ndufc2/Ndufb9/Ndufs6/Cox5a/Cox8a/Ndufb6/Ndufa4/Cox7a2
BP	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	55	-0.632021534814057	-2.52924472291316	1.7364274271571e-09	1.81051499738247e-07	1.46591031218947e-07	326	tags=58%, list=24%, signal=46%	Stoml2/Atp5pf/Sdhb/Atp5me/Ndufb11/Ndufa8/Ndufb2/Ndufb10/Ndufb3/Ndufv2/Ndufc1/Sdhd/Ndufa7/Atp5f1b/Ndufa9/Ndufs4/Ndufs5/Sdha/Atp5f1a/Ndufb8/Sdhc/Atp5f1d/Atp5mf/Ndufa1/Ndufb5/Ndufc2/Ndufb9/Ndufs6/Atp5f1c/Ndufb6/Atp5pb/Atp5po
CC	GO:0032991	protein-containing complex	467	-0.34770526280788	-1.853003435001	2.68733967843797e-09	2.47235250416293e-07	2.00177686263831e-07	373	tags=38%, list=27%, signal=42%	Coq5/Chchd3/Sod1/Cox6b1/Dld/Slirp/Idh3b/Chchd1/Timm8a1/Uqcr11/Snd1/Mrpl28/Timm17a/Rab5if/Etfa/Hmgcl/Mrpl43/Cyc1/Tada2b/Pex11b/Mrps18a/Mrps7/Mterf4/Fh1/Mrpl45/Mrpl44/Atp5pf/Sucla2/Cox6c/Sdhb/Atp5me/Tomm5/Clpx/Mrpl40/Mrps2/Mrpl21/Gatc/Vdac1/Prelid1/Ndufb11/Cps1/Mrpl12/Vdac2/Mrps25/Mrpl27/Mrpl42/Nsun3/Tfam/Triap1/Micos10/Dnajc19/Abat/Mrpl11/Uqcrfs1/Mrpl57/Ndufa8/Ndufb2/Mrpl22/Kars1/Mrps33/Mrps22/Mrps16/Mrps24/Cox7a2l/Mrpl32/Iscu/Cbr4/Pdha1/Prkaca/Mrpl46/Ndufb10/Fabp1/Tomm20/Wdr77/Cyb5r3/Decr1/Snap29/Mrpl17/Mrps10/Cyb5b/Cox6a2/Ndufb3/Mtx2/Pink1/Etfdh/Ndufv2/Mrps31/Mrps30/Hspd1/Ndufc1/Mrpl36/Timm29/Gcsh/Cox7b/Tomm6/Mrps18b/Apool/Mrpl30/Sdhd/Cycs/Cox4i1/Tomm22/Apex1/Pccb/Ndufa7/Atp5f1b/Timm10/Ndufa9/Mrpl13/Ndufs4/Mrps14/Ndufs5/Atp5mk/Uqcr10/Uqcrc1/Pxmp2/Grsf1/Glrx5/Uqcrc2/Sdha/Coq7/Atp5f1a/Coa6/Pyurf/Mrpl1/Timm22/Timm17b/Dmac1/Uqcrh/Prdx3/Mrpl50/Vdac3/Ndufb8/Mrps34/Sdhc/Mrpl16/Higd1a/Ide/Tomm7/Atp5f1d/Cox6a1/Atp5mf/Scp2/Ndufa1/Grhpr/Park7/Ndufb5/Apoo/Smdt1/Dnajc15/Bud31/Gldc/Ndufc2/Cat/Grpel1/Ndufb9/Bola3/Got2/Atp5mj/Hint1/Slc25a5/Ndufs6/Cox5a/Cox8a/Mrpl34/Hsd17b10/Atp5f1c/Ndufb6/Mrpl35/Dbi/Suclg1/Atp5pb/Micos13/Atp5mc3/Atp5po/Mrpl20/Mrpl49/Ndufa4/Cox7a2
CC	GO:0005746	mitochondrial respirasome	72	-0.58356475876478	-2.47534127999376	4.57611498793507e-09	3.76686517954234e-07	3.04989824403651e-07	387	tags=61%, list=28%, signal=46%	Uqcrb/Ndufv1/Cox6b1/Uqcr11/Rab5if/Cyc1/Cox6c/Sdhb/Ndufb11/Uqcrfs1/Ndufa8/Ndufb2/Cox7a2l/Ndufb10/Cox6a2/Ndufb3/Ndufv2/Ndufc1/Cox7b/Sdhd/Cox4i1/Ndufa7/Ndufa9/Ndufs4/Ndufs5/Uqcr10/Uqcrc1/Uqcrc2/Sdha/Dmac1/Uqcrh/Ndufb8/Sdhc/Cox6a1/Ndufa1/Ndufb5/Ndufc2/Ndufb9/Ndufs6/Cox5a/Cox8a/Ndufb6/Ndufa4/Cox7a2
