representative	grouped_terms	genes
proton motive force-driven ATP synthesis	proton motive force-driven ATP synthesis;proton motive force-driven mitochondrial ATP synthesis;purine nucleoside triphosphate biosynthetic process;ribonucleoside triphosphate biosynthetic process;purine ribonucleoside triphosphate biosynthetic process;nucleoside triphosphate biosynthetic process;ATP biosynthetic process;ribonucleoside triphosphate metabolic process;purine ribonucleoside triphosphate metabolic process;nucleoside triphosphate metabolic process;purine nucleoside triphosphate metabolic process;ATP metabolic process;purine ribonucleotide biosynthetic process;purine nucleotide biosynthetic process;purine-containing compound biosynthetic process;ribonucleotide biosynthetic process;ribose phosphate biosynthetic process;nucleotide biosynthetic process;nucleoside phosphate biosynthetic process;carbohydrate derivative biosynthetic process;organophosphate biosynthetic process;ribose phosphate metabolic process;purine ribonucleotide metabolic process;purine-containing compound metabolic process;purine nucleotide metabolic process;ribonucleotide metabolic process	Ndufa6;Atp5mf;Atp5pd;Ndufa5;Ndufa12;Ndufs5;Ndufa13;Ndufb5;Ndufa2;Antkmt;Ndufc1;Ndufb9;Ndufb10;Ndufa8;Ndufs6;Atp5mc1;Ndufb3;Atp5f1e;Ndufs7;Ndufa3;Atp5pf;Ndufa11;Ndufab1;Atp5mg;Ndufb7;Ndufv3;Ndufv2;Ndufs3;Ndufb2;Atp5me;Ndufb11;Atp5po;Ndufb6;Atp5f1d;Sdhb;Ndufa1;Ndufs8;Ndufb8;Ndufb4;Uqcc3;Nme3;Nme6;Prkn;Ndufa10;Atp5mc2;Fis1;Atp5mc3;Ndufs4;Ndufa7;Ak2;Atp5f1c;Tspo;Apoa2;Tafazzin;Dhrs7b;Ptpmt1;Tamm41;Nudt19;Rpia;Mcee;Hint1;Prdx5;Fdxr;Fdx1;Macrod1
respiratory chain complex	respiratory chain complex;mitochondrial respirasome;respirasome	Ndufa6;Cox6c;Ndufa5;Ndufa12;Uqcr11;Cox5b;Ndufs5;Ndufa13;Uqcr10;Ndufb5;Ndufa2;Ndufc1;Ndufb9;Ndufb10;Cox6b1;Ndufa8;Ndufs6;Uqcc3;Uqcrq;Ndufb3;Cox4i1;Ndufs7;Ndufa3;Ndufa11;Ndufab1;Ndufb7;Cox7c;Ndufv3;Uqcrb;Ndufv2;Ndufs3;Ndufb2;Ndufb11;Cox7b;Cox7a2;Ndufb6;Sdhb;Ndufa1;Ndufs8;Uqcrh;Ndufb8;Ndufb4;Cox7a1;Cox6a1;Ndufa10;Dmac1;Cox8b;Ndufs4;Ndufa7;AA467197;Uqcc4
inner mitochondrial membrane protein complex	inner mitochondrial membrane protein complex;membrane protein complex	Ndufa6;Atp5mf;Cox6c;Atp5pd;Ndufa5;Ndufa12;Uqcr11;Cox5b;Ndufs5;Ndufa13;Uqcr10;Ndufb5;Ndufa2;Dnajc19;Ndufc1;Ndufb9;Ndufb10;Timm9;Timm10b;Cox6b1;Ndufa8;Ndufs6;Uqcc3;Uqcrq;Atp5mc1;Ndufb3;Romo1;Cox4i1;Atp5f1e;Ndufs7;Timm23;Ndufa3;Atp5pf;Ndufa11;Ndufab1;Atp5mg;Ndufb7;Cox7c;Ndufv3;Uqcrb;Ndufv2;Micos10;Ndufs3;Ndufb2;Atp5me;Ndufb11;Cox7b;Cox7a2;Atp5po;Smdt1;Timm10;Atp5mj;Ndufb6;Atp5f1d;Sdhb;Ndufa1;Pam16;Ndufs8;Uqcrh;Ndufb8;Ndufb4;Cox7a1;Immp2l;Timm50;Dnajc15;Phb2;Cox6a1;Ndufa10;Immp1l;Dmac1;Atp5mc2;Chchd3;Cox8b;Atp5mc3;Ndufs4;Ndufa7;AA467197;Atp5f1c;Foxred1;Bax;Tomm5;Tomm40;Tomm6;Tomm40l;Pyurf;Syvn1;Tomm7;Tomm22
fatty acid oxidation	fatty acid oxidation;lipid oxidation;lipid modification;fatty acid catabolic process;cellular lipid catabolic process;lipid catabolic process;monocarboxylic acid catabolic process;fatty acid beta-oxidation	Hadhb;Gcdh;Decr1;Ehhadh;Pdk4;Acads;Mlycd;Acadvl;Abcd3;Hadh;Hsd17b4;Etfdh;Cpt1a;Eci2;Crat;Acadm;Crot;Abcd2;Acad11;Acadl;Hadha;Acat1;Cpt2;Hao2;Agk;Cps1;Amacr;Acot2;Pnpla8;Hexb;Pcca
mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I;NADH dehydrogenase complex;respiratory chain complex I	Ndufa6;Ndufa5;Ndufa12;Ndufs5;Ndufa13;Ndufb5;Ndufa2;Ndufc1;Ndufb9;Ndufb10;Ndufa8;Ndufs6;Ndufb3;Ndufs7;Ndufa3;Ndufa11;Ndufab1;Ndufb7;Ndufv3;Ndufv2;Ndufs3;Ndufb2;Ndufb11;Ndufb6;Ndufa1;Ndufs8;Ndufb8;Ndufb4;Ndufa10;Dmac1;Ndufs4;Ndufa7;Foxred1;Ndufa4;Ndufa9
organic acid catabolic process	organic acid catabolic process;carboxylic acid catabolic process;small molecule catabolic process	Kmo;Gstz1;Ivd;Acaa2;Got2;Eci1;Bckdha;Agxt;Acad10;Acadsb;Mccc2;Echs1;Gcsh;Sardh;Aass;Hibch;Hadhb;Gcdh;Decr1;Ehhadh;Acads;Acot2;Acad8;Gldc;Mlycd;Abat;Acadvl;Abcd3;Dld;Hadh;Hsd17b4;Etfdh;Glud1;Hmgcl;Aldh6a1;Cpt1a;Ppm1k;Eci2;Crat;Acadm;Amt;Crot;Abcd2;Acad11;Acadl;Hadha;Acat1;Cpt2;Hexb;Hao2;Pfkp;Cyp27a1;Pnkd;Cbr3;Nudt5
oxidative phosphorylation	oxidative phosphorylation;aerobic respiration;cellular respiration;energy derivation by oxidation of organic compounds;generation of precursor metabolites and energy	Ndufa6;Atp5mf;Atp5pd;Ndufa5;Ndufa12;Uqcr11;Cox5b;Ndufs5;Ndufa13;Uqcr10;Ndufb5;Ndufa2;Antkmt;Ndufc1;Ndufb9;Ndufb10;Ndufa8;Ndufs6;Uqcc3;Uqcrq;Ndufb3;Cox4i1;Atp5f1e;Ndufs7;Ndufa3;Atp5pf;Ndufa11;Ndufab1;Ndufb7;Cox7c;Ndufv3;Uqcrb;Ndufv2;Gadd45gip1;Ndufs3;Ndufb2;Atp5me;Ndufb11;Cox7b;Cox7a2;Atp5po;Coq7;Ndufb6;Tafazzin;Atp5f1d;Cycs;Sdhb;Ndufa1;Fxn;Park7;Ndufs8;Uqcrh;Ndufb8;Ndufb4;Cox7a1;Bloc1s1;Bax;Immp2l;Rpia;Fdx2;Fdx1;Cox17
organic acid metabolic process	organic acid metabolic process;oxoacid metabolic process;carboxylic acid metabolic process	Agmat;Idh3g;Pdhx;Kmo;Gstz1;Acot11;Ivd;Acaa2;Me2;Got2;Eci1;Acsf2;Slc25a2;Bckdha;Idh2;Csl;Agxt;Pfkp;Ogdh;Acad10;Lias;Acot9;Acadsb;Prkaca;Txnrd1;Mccc2;Sco1;Cyp27a1;Dlst;Pdha1;Sucla2;Echs1;Ptges2;Gcsh;Kyat3;Sardh;Fpgs;Aass;Pnkd;Sdha;Hibch;Grhpr;Lypla1;Cps1;Acsm3;Hadhb;Ucp2;Gcdh;Decr1;Ehhadh;Ncor1;Amacr;Pdk4;Pcx;Acads;Acot2;Acad8;Gldc;Mlycd;Ech1;Abat;Acadvl;Aadat;Abcd3;Dld;Hadh;Hsd17b4;Etfdh;Glud1;Hmgcl;Mmut;Aldh6a1;Cpt1a;Ppm1k;Mtarc1;Eci2;Crat;Acsl1;Acadm;Amt;Pnpla8;Crot;Abcd2;Acad11;Acadl;Hadha;Acad9;Aldh3a2;Acat1;Cpt2;Hexb;Hao2
heterocyclic compound binding	heterocyclic compound binding;anion binding;nucleotide binding;nucleoside phosphate binding	Etfa;Shmt2;Vdac1;Hint3;Acsm1;Acsf3;Pde2a;Idh3g;Kmo;Rhot1;Sqor;Dhodh;Ivd;Me2;Aifm2;Got2;Hspa9;Adck2;Acsf2;Tufm;Idh2;Agxt;Map3k15;Pfkp;Ogdh;Mccc1;Acad10;Trap1;Mmab;Atp5f1b;Gatb;Acadsb;Prkaca;Txnrd1;Septin4;Grpel1;Kars1;Mccc2;Lig3;Afg3l2;Mto1;Mrpl39;Alas1;Sucla2;Aldh2;Adck1;Pccb;Kyat3;Sardh;Fpgs;Hspd1;Gfm2;Sdha;Nnt;Grhpr;Cps1;Ide;Cbr3;Acsm3;Afg3l1;Gcdh;Atad1;Nubpl;Decr1;Dnaja3;Ehhadh;Pcca;Abcb6;Iars2;Gfm1;Cryz;Nadk2;Pdk4;Abcb7;Aifm1;Dars2;Pcx;Acads;Opa1;Acad8;Gldc;Dmgdh;Lonp1;Abat;Acadvl;Aadat;Abcd3;Dld;Vwa8;Hadh;Yme1l1;Clpx;Agk;Glud1;Hmgcl;Mmut;Rfk;Maob;Mtarc1;Cdc42bpa;Nfs1;Eci2;Acsl1;Acadm;Aldh9a1;Acss3;Grpel2;Gatc;Abcd2;Acad11;Acadl;Hadha;Acad9;Maoa;Acat1;Hao2
organic substance catabolic process	organic substance catabolic process;catabolic process	Acadsb;Prkaca;Mccc2;Sco1;Lrpprc;Cyp27a1;Echs1;Aldh2;Bnip3;Gcsh;Sardh;Aass;Bnip3l;Fbxl4;Pnkd;Hibch;Lyplal1;Lypla1;Cps1;Ide;Cbr3;Hadhb;Nudt5;Pisd;Ucp2;Gcdh;Casp8;Decr1;Ehhadh;Pcca;Ncor1;Amacr;Ngly1;Snd1;Aifm1;Acads;Acot2;Acad8;Gldc;Mlycd;Dmgdh;Lonp1;Abat;Acadvl;Nln;Abcd3;Dld;Hadh;Yme1l1;Hsd17b4;Clpx;Etfdh;Glud1;Hmgcl;Aldh6a1;Maob;Cpt1a;Ppm1k;Eci2;Crat;Acadm;Crbn;Amt;Pnpla8;Crot;Abcd2;Acad11;Acadl;Hadha;Maoa;Acat1;Cpt2;Hexb;Hao2;Txnrd1;Rab3gap2;Nnt;Cryz;Slc25a46;Nbr1;Snap29;Acsl1
