ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0006119	oxidative phosphorylation	109	-0.719505142288265	-3.00768051290792	1e-10	3.81463414634146e-09	3.26315789473684e-09	256	tags=63%, list=19%, signal=56%	Cox4i2/Atp5pb/Uqcrfs1/Ndufs3/Sdhc/Ndufa9/Uqcc2/Gadd45gip1/Chchd10/Park7/Ndufb2/Cox7a1/Ndufa7/Fxn/Ndufa1/Ndufa3/Uqcc3/Sdhb/Cox8a/Cox7c/Atp5pf/Antkmt/Ndufb8/Cox5a/Ndufa6/Coa6/Ndufs6/Ndufb11/Atp5f1d/Cox6a1/Ndufb7/Ndufa10/Uqcrb/Cox4i1/Atp5me/Ndufb9/Ndufa2/Ndufb6/Ndufc2/Cox7b/Ndufa13/Uqcrq/Ndufab1/Ndufs4/Atp5pd/Ndufb3/Ndufa8/Ndufs5/Ppif/Coq7/Ndufb10/Atp5f1e/Mtch2/Dnajc15/Ndufs7/Atp5po/Ndufa11/Uqcrh/Cox7a2/Ndufb5/Ndufa12/Cox5b/Ndufv2/Ndufc1/Atp5mf/Uqcr11/Ndufa5/Uqcr10/Cycs
CC	GO:0098803	respiratory chain complex	73	-0.762792546446146	-2.9865308574749	1e-10	3.81463414634146e-09	3.26315789473684e-09	256	tags=75%, list=19%, signal=65%	Cox4i2/Uqcrfs1/Ndufs3/Sdhc/Ndufa4/Ndufa9/Ndufb2/Cox7a1/Ndufa7/Ndufa1/Ndufa3/Dmac1/Uqcc3/Sdhb/Cox8a/Cox7c/Ndufb8/Cox5a/Ndufa6/AA467197/Coa6/Ndufs6/Ndufb11/Cox6a1/Ndufb7/Ndufa10/Uqcrb/Cox4i1/Ndufb9/Ndufa2/Ndufb6/Ndufc2/Cox7b/Ndufa13/Uqcrq/Ndufab1/Ndufs4/Cox6c/Ndufb3/Ndufa8/Ndufs5/Ndufb10/Ndufs7/Ndufa11/Uqcrh/Cox6b1/Cox7a2/Ndufb5/Ndufa12/Cox5b/Ndufv2/Ndufc1/Uqcr11/Ndufa5/Uqcr10
CC	GO:0098800	inner mitochondrial membrane protein complex	127	-0.70432446531914	-2.97136551461723	1e-10	3.81463414634146e-09	3.26315789473684e-09	256	tags=61%, list=19%, signal=55%	Cox4i2/Atp5pb/Uqcrfs1/Timm10/Ndufs3/Sdhc/Atp5mk/Ndufa4/Ndufa9/Phb2/Chchd10/Ndufb2/Cox7a1/Ndufa7/Ndufa1/Ndufa3/Dmac1/Immp2l/Uqcc3/Sdhb/Cox8a/Cox7c/Atp5pf/Ndufb8/Cox5a/Atp5mc3/Ndufa6/AA467197/Ndufs6/Ndufb11/Atp5f1d/Cox6a1/Ndufb7/Phb1/Ndufa10/Smdt1/Uqcrb/Cox4i1/Atp5me/Timm50/Ndufb9/Micos10/Ndufa2/Ndufb6/Ndufc2/Cox7b/Ndufa13/Uqcrq/Ndufab1/Ndufs4/Cox6c/Atp5pd/Atp5mj/Ndufb3/Ndufa8/Dnajc19/Ndufs5/Ndufb10/Atp5f1e/Romo1/Dnajc15/Ndufs7/Atp5po/Ndufa11/Uqcrh/Cox6b1/Cox7a2/Chchd3/Ndufb5/Ndufa12/Cox5b/Ndufv2/Ndufc1/Atp5mf/Uqcr11/Ndufa5/Uqcr10/Atp5mc1
BP	GO:0015986	proton motive force-driven ATP synthesis	59	-0.766124384790157	-2.90100315085849	1e-10	3.81463414634146e-09	3.26315789473684e-09	252	tags=73%, list=18%, signal=62%	Atp5pb/Ndufs3/Sdhc/Ndufa9/Ndufb2/Ndufa7/Ndufa1/Ndufa3/Sdhb/Atp5pf/Antkmt/Ndufb8/Atp5mc3/Ndufa6/Ndufs6/Ndufb11/Atp5f1d/Ndufb7/Ndufa10/Atp5me/Ndufb9/Ndufa2/Ndufb6/Ndufc2/Ndufa13/Ndufab1/Ndufs4/Atp5pd/Ndufb3/Ndufa8/Ndufs5/Ndufb10/Atp5f1e/Ndufs7/Atp5po/Ndufa11/Ndufb5/Ndufa12/Ndufv2/Ndufc1/Atp5mf/Ndufa5/Atp5mc1
CC	GO:1902495	transmembrane transporter complex	63	-0.742290426023325	-2.84515797024324	1e-10	3.81463414634146e-09	3.26315789473684e-09	251	tags=68%, list=18%, signal=59%	Uqcrfs1/Ndufs3/Ndufa4/Ndufa9/Ndufb2/Ndufa7/Ndufa1/Ndufa3/Dmac1/Cacna1d/Uqcc3/Ndufb8/Atp5mc3/Ndufa6/Ndufs6/Ndufb11/Ndufb7/Ndufa10/Smdt1/Uqcrb/Ndufb9/Ndufa2/Ndufb6/Ndufc2/Ndufa13/Uqcrq/Ndufab1/Ndufs4/Ndufb3/Ndufa8/Ndufs5/Ndufb10/Ndufs7/Ndufa11/Uqcrh/Ndufb5/Ndufa12/Ndufv2/Ndufc1/Uqcr11/Ndufa5/Uqcr10/Atp5mc1
CC	GO:0005747	mitochondrial respiratory chain complex I	40	-0.758621104190393	-2.64003550340697	1e-10	3.81463414634146e-09	3.26315789473684e-09	240	tags=80%, list=17%, signal=68%	Ndufs3/Ndufa4/Ndufa9/Ndufb2/Ndufa7/Ndufa1/Ndufa3/Dmac1/Ndufb8/Ndufa6/Ndufs6/Ndufb11/Ndufb7/Ndufa10/Ndufb9/Ndufa2/Ndufb6/Ndufc2/Ndufa13/Ndufab1/Ndufs4/Ndufb3/Ndufa8/Ndufs5/Ndufb10/Ndufs7/Ndufa11/Ndufb5/Ndufa12/Ndufv2/Ndufc1/Ndufa5
BP	GO:0042773	ATP synthesis coupled electron transport	61	-0.686666778608454	-2.62426453781382	1e-10	3.81463414634146e-09	3.26315789473684e-09	256	tags=70%, list=19%, signal=60%	Cyc1/Ndufs8/Chchd2/Ndufs2/Afg1l/Ndufv3/Cox4i2/Uqcrfs1/Ndufs3/Sdhc/Park7/Cox7a1/Ndufa7/Uqcc3/Sdhb/Cox8a/Cox7c/Ndufb8/Cox5a/Coa6/Ndufs6/Cox6a1/Ndufa10/Uqcrb/Cox4i1/Ndufb9/Ndufb6/Ndufc2/Cox7b/Uqcrq/Ndufa8/Coq7/Mtch2/Dnajc15/Ndufs7/Uqcrh/Cox7a2/Ndufa12/Cox5b/Ndufv2/Uqcr11/Uqcr10/Cycs
CC	GO:0098798	mitochondrial protein-containing complex	272	-0.5426142043953	-2.50349796730846	1e-10	3.81463414634146e-09	3.26315789473684e-09	298	tags=43%, list=22%, signal=42%	Tomm40/Immp1l/Mrpl21/Mrpl42/Ndufv3/Slc25a31/Dbt/Atp5f1c/Timm8a1/Mrpl12/Mrpl51/Mrpl52/Cox4i2/Atp5pb/Uqcrfs1/Mrpl34/Timm10/Ndufs3/Sdhc/Atp5mk/Mrps15/Mrpl55/Ndufa4/Mtx1/Ndufa9/Phb2/Gadd45gip1/Mrpl49/Chchd10/Ndufb2/Mrps33/Cox7a1/Tomm22/Tomm7/Ndufa7/Dap3/Fxn/Ndufa1/Ndufa3/Dmac1/Immp2l/Bax/Uqcc3/Sdhb/Cox8a/Cox7c/Atp5pf/Mrps6/Mrps25/Ndufb8/Cox5a/Mrpl23/Atp5mc3/Mrpl36/Ndufa6/AA467197/Ndufs6/Timm13/Ndufb11/Atp5f1d/Mrpl57/Mrps21/Cox6a1/Ndufb7/Phb1/Tomm5/Ndufa10/Smdt1/Aurkaip1/Uqcrb/Mrpl54/Cox4i1/Atp5me/Timm50/Ndufb9/Micos10/Ndufa2/Ndufb6/Ndufc2/Cox7b/Ndufa13/Uqcrq/Ndufab1/Ndufs4/Cox6c/Atp5pd/Atp5mj/Ndufb3/Ndufa8/Dnajc19/Ndufs5/Mrps28/Ppif/Ndufb10/Atp5f1e/Tomm6/Romo1/Dnajc15/Ndufs7/Atp5po/Acacb/Ndufa11/Uqcrh/Cox6b1/Cox7a2/Chchd3/Ndufb5/Ndufa12/Cox5b/Mrpl13/Ndufv2/Ndufc1/Atp5mf/Uqcr11/Ndufa5/Mrpl15/Uqcr10/Atp5mc1
CC	GO:1902494	catalytic complex	201	-0.514336189808001	-2.29911485361301	1e-10	3.81463414634146e-09	3.26315789473684e-09	256	tags=39%, list=19%, signal=37%	Cox4i2/Hsd17b8/Rad23a/Atp5pb/Uqcrfs1/Ndufs3/Cdk5/Sdhc/Atp5mk/Ndufa4/Ndufa9/Ndufb2/Cox7a1/Ndufa7/Fxn/Ndufa1/Ndufa3/Dmac1/Immp2l/Cyb5r3/Uqcc3/Fanci/Clpp/Sdhb/Cox8a/Cox7c/Atp5pf/Ndufb8/Cox5a/Atp5mc3/Ndufa6/AA467197/Coa6/Ndufs6/Ndufb11/Atp5f1d/Pyurf/Cox6a1/Ndufb7/Ndufa10/Uqcrb/Cox4i1/Atp5me/Ndufb9/Ndufa2/Ndufb6/Ndufc2/Cox7b/Ndufa13/Uqcrq/Ndufab1/Ndufs4/Cox6c/Atp5pd/Atp5mj/Primpol/Ndufb3/Ndufa8/Ndufs5/Ndufb10/Atp5f1e/Ndufs7/Hint1/Atp5po/Acacb/Ndufa11/Uqcrh/Cox6b1/Cox7a2/Ndufb5/Ndufa12/Cox5b/Ndufv2/Ndufc1/Atp5mf/Uqcr11/Ndufa5/Uqcr10/Atp5mc1
CC	GO:0032991	protein-containing complex	467	-0.438847856785956	-2.10209900707713	1e-10	3.81463414634146e-09	3.26315789473684e-09	356	tags=38%, list=26%, signal=43%	Mrpl58/Higd1a/Mrpl20/Mrpl30/Fis1/Cyc1/Mrps2/Ndufs8/Exog/Cenpq/Samm50/Dnah17/Ndufs2/Sphk2/Timm21/Hsd17b10/Mrpl53/Hnrnpu/Vdac1/Mrpl24/Casp3/Tomm40/Immp1l/Mrpl21/Bud31/Aldh1l1/Mrpl42/Ndufv3/Slc25a31/Pfdn4/Dbt/Atp5f1c/Timm8a1/Etfbkmt/Hexb/Mrpl12/Mrpl51/Mrpl52/Cox4i2/Hsd17b8/Rad23a/Atp5pb/Uqcrfs1/Dbi/Cenpu/Mrpl34/Timm10/Gpx4/Ndufs3/Cdk5/Sdhc/Atp5mk/Glrx5/Mrps15/Mrpl55/Itgad/Ndufa4/Mtx1/Ndufa9/Bola3/Dnm1l/Mxd3/Phb2/Gadd45gip1/Mrpl49/Chchd10/Park7/Ndufb2/Mrps33/Cox7a1/Tomm22/Bcl2/Fkbp8/Tomm7/Slirp/Ndufa7/Dap3/Pxmp2/Fxn/Ndufa1/Ndufa3/Ska3/Dmac1/Immp2l/Cyb5r3/Bax/Cacna1d/Uqcc3/Fanci/Clpp/Sdhb/Cox8a/Cox7c/Atp5pf/Mrps6/Mrps25/Ndufb8/Cox5a/Mrpl23/Atp5mc3/Haus1/Mrpl36/Ndufa6/Bola1/AA467197/Coa6/Ndufs6/Timm13/Ndufb11/Atp5f1d/Fdx2/Rpl18/Pyurf/Mrpl57/Mrps21/Cox6a1/Ndufb7/Phb1/Tomm5/Dhrs7b/Ndufa10/Smdt1/Aurkaip1/Uqcrb/Mrpl54/Cox4i1/Atp5me/Timm50/Ndufb9/Micos10/Ndufa2/Ndufb6/Ndufc2/Cox7b/Ndufa13/Uqcrq/Bik/Ndufab1/Ndufs4/Cox6c/Atp5pd/Atp5mj/Primpol/Ndufb3/Ndufa8/Dnajc19/Ndufs5/Mrps28/Ppif/Coq7/Ndufb10/Atp5f1e/Tomm6/Romo1/Dnajc15/Ndufs7/Hint1/Atp5po/Acacb/Ndufa11/Uqcrh/Cox6b1/Cox7a2/Chchd3/Ndufb5/Ndufa12/Cox5b/Mrpl13/Ndufv2/Ndufc1/Bcl2l1/Atp5mf/Uqcr11/Ndufa5/Mrpl15/Uqcr10/Cycs/Atp5mc1
