representative	grouped_terms	genes
organic acid metabolic process	organic acid metabolic process;oxoacid metabolic process;carboxylic acid metabolic process	Dhtkd1;Cbr4;Otc;Aco2;Nudt19;Pycr1;Pcx;Crat;Echdc1;Idh3g;Ech1;Acadvl;Got2;Amt;Acsf3;Eci1;Acad10;Suclg1;Acot2;Aldh4a1;Acly;Echs1;Glyat;Aldh5a1;Hadh;Fh1;Comt;Idh3b;Hibch;Acoxl;Acaa2;Dbt;Acsm3;Ogdh;Prkaca;Dlst;Mccc2;Dlat;Mtarc2;Star;Fabp1;Etfa;Vdac1;Sucla2;Acat1;Pdk2;Acot7;Oat;Kmo;Mthfd1l;Sco1;Cyp27a1;Pdk4;Sdha;Pdk1;Aass;Gpt2;Acaa1a;Decr1;Abat;Aldh3a2;Hadha;Etfdh;Scp2;Pdha1;Adhfe1;Acsm2;Lypla1;Dld;Cps1;Acadm;Hsd17b4;Crot;Acsf2;Aldh6a1;Aadat;Acad8;Acad11;Mmut;Acsm5;Acadl;Mtch2;Eci2;Cpt2;Acadsb;Pdhb;Auh;Oxsm;Acsl6;Hadhb;Ehhadh;Phyh;Ephx2;Ppm1k;Acaa1b;Amacr;Cpt1a;Acsl1;Pnpla8;Abcd3;Them4
lipid catabolic process	lipid catabolic process;fatty acid catabolic process;fatty acid beta-oxidation;cellular lipid catabolic process;fatty acid oxidation;lipid oxidation;lipid modification;monocarboxylic acid catabolic process	Nudt19;Crat;Echdc1;Acadvl;Eci1;Acad10;Acot2;Echs1;Hadh;Acoxl;Acaa2;Fabp1;Etfa;Acat1;Acot7;Cyp27a1;Acaa1a;Prdx6;Decr1;Hadha;Etfdh;Scp2;Cps1;Acadm;Hsd17b4;Crot;Acad11;Acadl;Eci2;Cpt2;Auh;Hadhb;Ehhadh;Phyh;Acaa1b;Amacr;Cpt1a;Pnpla8;Abcd3;Etfbkmt;Pdk4;Agk;Ephx2
peroxisome	peroxisome;microbody	Nbr1;Pex11b;Atad1;Mtarc2;Fabp1;Ptgr3;Dhrs4;Vwa8;Mgst1;Acaa1a;Hsdl2;Aldh3a2;Scp2;Hsd17b4;Crot;Hspd1;Acad11;Pxmp4;Cat;Eci2;Acsl6;Ehhadh;Phyh;Ephx2;Acaa1b;Amacr;Acsl1;Pnpla8;Abcd3
lipid metabolic process	lipid metabolic process;cellular lipid metabolic process	Agk;Ptgr3;Acat1;Pdk2;Acot7;Pigw;Sco1;Dhrs4;Cyp27a1;Pdk4;Pdk1;Sphk2;Acaa1a;Prdx6;Decr1;Aldh3a2;Hadha;Etfdh;Scp2;Adhfe1;Acsm2;Lypla1;Dld;Cps1;Acadm;Hsd17b4;Hmgcs2;Crot;Acsf2;Acad8;Acad11;Fdx1;Pxmp4;Mmut;Bdh1;Cat;Ccnc;Acsm5;Acadl;Lactb;Ptpmt1;Eci2;Cpt2;Acadsb;Auh;Oxsm;Fech;Acsl6;Hadhb;Ehhadh;Phyh;Ephx2;Acaa1b;Chpt1;Amacr;Cpt1a;Acsl1;Pnpla8;Abcd3;Them4;Star;Fabp1;Etfa
nucleoside bisphosphate metabolic process	nucleoside bisphosphate metabolic process;ribonucleoside bisphosphate metabolic process;purine nucleoside bisphosphate metabolic process;acyl-CoA metabolic process;thioester metabolic process	Suclg1;Acot2;Acly;Glyat;Acaa2;Acsm3;Ogdh;Mccc2;Dlat;Vdac1;Slc25a42;Sucla2;Acat1;Pdk2;Acot7;Pdk4;Slc25a16;Pdk1;Pdha1;Acsm2;Dld;Hsd17b4;Hmgcs2;Crot;Mmut;Acsm5;Acadsb;Pdhb;Oxsm;Acsl6;Ehhadh;Acsl1
organic acid catabolic process	organic acid catabolic process;carboxylic acid catabolic process;small molecule catabolic process	Otc;Nudt19;Crat;Echdc1;Acadvl;Got2;Amt;Acsf3;Eci1;Acad10;Acot2;Aldh4a1;Echs1;Aldh5a1;Hadh;Hibch;Acoxl;Acaa2;Dbt;Mccc2;Fabp1;Etfa;Acat1;Acot7;Oat;Kmo;Aass;Acaa1a;Decr1;Abat;Hadha;Etfdh;Scp2;Adhfe1;Dld;Acadm;Hsd17b4;Crot;Aldh6a1;Acad8;Acad11;Acadl;Eci2;Cpt2;Acadsb;Auh;Hadhb;Ehhadh;Phyh;Ppm1k;Acaa1b;Cpt1a;Abcd3;Aldh1a7;Cyp27a1
thioester biosynthetic process	thioester biosynthetic process;acyl-CoA biosynthetic process	Dlat;Vdac1;Acat1;Pdk2;Pdk4;Pdk1;Pdha1;Dld;Mmut;Pdhb;Acsl6;Acsl1
cellular catabolic process	cellular catabolic process;catabolic process;organic substance catabolic process	Dhtkd1;Otc;Nudt19;Mul1;Phb2;Crat;Echdc1;Acadvl;Got2;Amt;Acsf3;Eci1;Acad10;Acot2;Aldh4a1;Echs1;Aldh5a1;Hadh;Comt;Hibch;Acoxl;Acaa2;Slc25a5;Dbt;Bcl2l11;Ogdh;Nbr1;Prkaca;Nsun2;Mccc2;Hnrnpu;Fabp1;Etfa;Parl;Vdac1;Aifm1;Prdx3;Snap29;Acat1;Fastkd2;Fastkd3;Acot7;Oat;Kmo;Maoa;Cryz;Aass;Acaa1a;Prdx6;Decr1;Apex1;Abat;Hadha;Etfdh;Grsf1;Scp2;Adhfe1;Slc25a46;Cpeb3;Dld;Poldip2;Cps1;Aldh2;Acadm;Hsd17b4;Crot;Aldh6a1;Acad8;Lrpprc;Acad11;Cat;Bnip3l;Acadl;Mtch2;Eci2;Cpt2;Acadsb;Auh;Hadhb;Ehhadh;Phyh;Ephx2;Ppm1k;Acaa1b;Dnase1;Amacr;Cpt1a;Snd1;Acsl1;Pnpla8;Abcd3;Clpx;Cops3;Bcap31;Aldh1a7;Casp3;Ngly1;Sco1;Cyp27a1;Yme1l1;Lypla1
nucleoside bisphosphate biosynthetic process	nucleoside bisphosphate biosynthetic process;ribonucleoside bisphosphate biosynthetic process;purine nucleoside bisphosphate biosynthetic process	Dlat;Vdac1;Slc25a42;Acat1;Pdk2;Acot7;Pdk4;Slc25a16;Pdk1;Pdha1;Dld;Mmut;Pdhb;Acsl6;Acsl1
fatty-acyl-CoA binding	fatty-acyl-CoA binding;acyl-CoA binding;fatty acid derivative binding	Acot7;Hadha;Scp2;Acadm;Acadl;Eci2
