representative	grouped_terms	genes
respirasome	respirasome;mitochondrial respirasome;respiratory chain complex	Sdhb;Cox7b;Cox4i2;Ndufb10;Coa6;Ndufa4;Ndufa12;Uqcrh;Ndufb11;Ndufa13;Ndufa3;Cox6c;Cox5a;Ndufb2;Ndufa5;Uqcrq;Uqcr11;Ndufa9;Ndufb6;Ndufv3;Cox4i1;Ndufc1;Ndufv1;Ndufs4;Cyc1;Uqcrfs1;Ndufs2;Ndufa1;Uqcrc1;Ndufs7;Cox6b1;Cox5b;Ndufv2;Rab5if;Ndufb3;Ttc19;Uqcr10;Ndufs3;Ndufs5;Ndufa11;Cox7a2;Ndufb5;Ndufa10;Dmac1;1700066M21Rik;Ndufb9;Ndufs6;Ndufa8;Cox6a1;Higd1a
mitochondrial inner membrane	mitochondrial inner membrane;organelle inner membrane	Fahd1;Mrpl39;Mrpl24;Atp5f1a;Cox11;Atp5me;Timm22;Timm8b;Spg7;Ndufa4;Pgam5;Ndufa12;Sfxn1;Mrps11;Uqcrh;Mrps15;Mrpl52;Ndufb11;Opa1;Mrpl41;Cyb5b;Mrps31;Slc25a16;Ndufa13;Ndufa3;Tmem126a;Cox6c;Coq4;Mrpl4;Cox5a;Ndufb2;Slc3a1;Slc25a10;Slc25a26;Mrpl28;Slc25a25;Mrpl22;Ckmt1;Ndufa5;Tomm40;Uqcrq;Slc25a1;Mrps12;Dhrs1;Mrps18b;Micos13;Uqcr11;Mrps33;Chchd1;Mrpl47;Slc25a15;Mrpl54;Pet100;Ndufa9;Coq7;Ndufb6;Maip1;Ndufv3;Mrpl46;Slc25a42;Cox4i1;Tufm;Ndufc1;Ndufv1;Phb1;Uqcc2;Ndufs4;Coa3;Cyc1;Uqcrfs1;Ndufs2;Alas2;Chchd10;Gadd45gip1;Atp5f1e;Kmo;Ghitm;Ociad2;Mrpl21;Mrpl2;Mrps34;Ndufa1;Dnajc15;Uqcrc1;Mrpl12;Ndufs7;Mrpl17;Aurkaip1;Cox6b1;Slc25a20;Stoml2;Cox5b;Mdh2;Ndufv2;Rab5if;Abcb8;Mcur1;Ndufb3;Ttc19;Mrpl53;Mrpl19;Sod2;Uqcr10;Chchd6;Mrpl58;Slc25a35;Micos10;Mrps24;Ndufs3;Mrpl36;Timm10;Ndufs5;Ndufa11;Acadvl;Timm23;Cox7a2;Ndufb5;Slc25a33;Dnajc19;Ndufa10;Dmac1;Fpgs;Romo1;Mrps7;Mrpl49;Gstk1;Mrpl43;Slc25a30;Higd2a;Mrps28;Ndufb9;Atp5f1d;Mtarc1;Slc25a39;Mgst1;Ndufs6;Mrpl20;Ndufa8;Cox6a1;Mrpl57;Mrpl55;Timm9;Mrpl10;Mrpl34;Hsd17b10;Abcb10;Abcd3;Mrpl38;Cpt2;Mrpl16;Timm13;Mpst;Ldhd;Bok;Higd1a;Letm1
oxidative phosphorylation	oxidative phosphorylation;aerobic respiration;cellular respiration;energy derivation by oxidation of organic compounds;generation of precursor metabolites and energy	Sdhb;Cox7b;Cox4i2;Ndufb10;Fxn;Coa6;Atp5f1a;Atp5me;Ndufa12;Uqcrh;Ndufb11;Ndufa13;Ndufa3;Cox5a;Ndufb2;Ndufa5;Uqcrq;Uqcr11;Ndufa9;Coq7;Ndufb6;Ndufv3;Cox4i1;Ndufc1;Ndufv1;Uqcc2;Ndufs4;Cyc1;Uqcrfs1;Ndufs2;Chchd10;Gadd45gip1;Atp5f1e;Ndufa1;Dnajc15;Uqcrc1;Ndufs7;Stoml2;Cox5b;Ndufv2;Ndufb3;Uqcr10;Ndufs3;Ndufs5;Ndufa11;Cox7a2;Ndufb5;Slc25a33;Ndufa10;1700066M21Rik;Park7;Ndufb9;Atp5f1d;Ndufs6;Chchd2;Ndufa8;Cox6a1;Iscu;Cycs;Trap1;Cox10;Prelid1;Csl;Cat;Dlst;Etfb;Slc25a25;Pdha1;Lyrm7;Mdh2;Sod2;Mtfr1l;Ogdh;Ide;Fh1;Comt;Ndufa4;Etfbkmt
mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I;NADH dehydrogenase complex;respiratory chain complex I	Ndufa4;Ndufa12;Ndufb11;Ndufa13;Ndufa3;Ndufb2;Ndufa5;Ndufa9;Ndufb6;Ndufv3;Ndufc1;Ndufv1;Ndufs4;Ndufs2;Ndufa1;Ndufs7;Ndufv2;Ndufb3;Ndufs3;Ndufs5;Ndufa11;Ndufb5;Ndufa10;Dmac1;Ndufb9;Ndufs6;Ndufa8
ATP synthesis coupled electron transport	ATP synthesis coupled electron transport;mitochondrial ATP synthesis coupled electron transport;respiratory electron transport chain	Sdhb;Cox7b;Cox4i2;Coa6;Ndufa12;Uqcrh;Cox5a;Uqcrq;Uqcr11;Coq7;Ndufb6;Ndufv3;Cox4i1;Ndufv1;Cyc1;Uqcrfs1;Ndufs2;Dnajc15;Uqcrc1;Ndufs7;Cox5b;Ndufv2;Uqcr10;Ndufs3;Cox7a2;Ndufa10;Park7;Ndufb9;Ndufs6;Chchd2;Ndufa8;Cox6a1;Iscu;Cycs;Etfb;Ndufa5;Ndufs4;Sod2
proton motive force-driven mitochondrial ATP synthesis	proton motive force-driven mitochondrial ATP synthesis;proton motive force-driven ATP synthesis;ATP biosynthetic process;purine nucleoside triphosphate biosynthetic process;ribonucleoside triphosphate biosynthetic process;purine ribonucleoside triphosphate biosynthetic process;nucleoside triphosphate biosynthetic process;ATP metabolic process	Ndufs8;Atp5pd;Ndufb7;Sdha;Ndufa2;Atp5mf;Atp5po;Ndufb8;Atp5pf;Sdhb;Ndufb10;Atp5f1a;Atp5me;Ndufa12;Ndufb11;Ndufa13;Ndufa3;Ndufb2;Ndufa5;Ndufa9;Ndufb6;Ndufv3;Ndufc1;Ndufv1;Ndufs4;Ndufs2;Atp5f1e;Ndufa1;Ndufs7;Stoml2;Ndufv2;Ndufb3;Ndufs3;Ndufs5;Ndufa11;Ndufb5;Ndufa10;Ndufb9;Atp5f1d;Ndufs6;Ndufa8;Atp5mc1;Atp5mc3;Sphk2;Cox11;Ldhd;Nme4;Ak4;Clpx;Bad;Tspo;Slc25a25;Ogdh
electron transport chain	electron transport chain;respiratory electron transport chain	Etfb;Cox5a;Ndufa5;Uqcrq;Uqcr11;Coq7;Ndufb6;Ndufv3;Cox4i1;Ndufv1;Ndufs4;Cyc1;Uqcrfs1;Ndufs2;Dnajc15;Uqcrc1;Ndufs7;Cox5b;Ndufv2;Ndufb3;Sod2;Uqcr10;Ndufs3;Cox7a2;Ndufa10;Park7;Ndufb9;Ndufs6;Chchd2;Ndufa8;Cox6a1;Iscu;Cycs;Sdhb;Cox7b;Cox4i2;Coa6;Ndufa12;Uqcrh
transporter complex	transporter complex;transmembrane transporter complex	Cacna1d;Ndufa4;Ndufa12;Uqcrh;Ndufb11;Ndufa13;Ndufa3;Ndufb2;Ndufa5;Uqcrq;Uqcr11;Ndufa9;Ndufb6;Ndufv3;Ndufc1;Ndufv1;Ndufs4;Cyc1;Uqcrfs1;Ndufs2;Ndufa1;Uqcrc1;Ndufs7;Ndufv2;Abcb8;Ndufb3;Uqcr10;Ndufs3;Timm10;Ndufs5;Ndufa11;Ndufb5;Ndufa10;Dmac1;Ndufb9;Ndufs6;Ndufa8;Timm9;Timm13;Atp5mc1;Atp5mc3;Ndufb10
ribosomal subunit	ribosomal subunit;organellar ribosome;mitochondrial ribosome;ribosome;ribonucleoprotein complex;structural constituent of ribosome	Mrpl39;Mrpl24;Mrps11;Mrps15;Mrpl52;Mrpl41;Mrps31;Mrpl4;Mrpl28;Mrpl22;Mrps12;Mrps18b;Mrps33;Chchd1;Mrpl47;Mrpl54;Mrpl46;Gadd45gip1;Mrpl21;Mrpl2;Mrps34;Mrpl12;Mrpl17;Aurkaip1;Mrpl53;Mrpl19;Rpl18;Mrpl58;Mrps24;Mrpl36;Mrps7;Mrpl49;Mrpl43;Mrps28;Mrpl20;Mrpl57;Mrpl55;Mrpl10;Mrpl34;Mrpl38;Mrpl16;Grsf1;Mrpl45;Snd1;Lrpprc;Slirp;Hsd17b10
inner mitochondrial membrane protein complex	inner mitochondrial membrane protein complex;membrane protein complex	Uqcrc2;Sdha;Timm10b;Atp5mj;Ndufa2;Atp5mf;Atp5po;Ndufb8;Atp5pf;Timm29;Cox8a;Phb2;Atp5mc1;Atp5mc3;Sdhb;Cox7b;Cox4i2;Ndufb10;Apoo;Atp5f1a;Atp5me;Timm22;Spg7;Ndufa4;Ndufa12;Uqcrh;Ndufb11;Ndufa13;Ndufa3;Cox6c;Cox5a;Ndufb2;Ndufa5;Uqcrq;Micos13;Uqcr11;Ndufa9;Ndufb6;Ndufv3;Cox4i1;Ndufc1;Ndufv1;Phb1;Ndufs4;Cyc1;Uqcrfs1;Ndufs2;Chchd10;Atp5f1e;Ndufa1;Dnajc15;Uqcrc1;Ndufs7;Cox6b1;Cox5b;Ndufv2;Ndufb3;Uqcr10;Chchd6;Micos10;Ndufs3;Timm10;Ndufs5;Ndufa11;Timm23;Cox7a2;Ndufb5;Dnajc19;Ndufa10;Dmac1;Romo1;Ndufb9;Atp5f1d;Ndufs6;Ndufa8;Cox6a1;Timm9;Slc25a5;Ccdc51;Tomm22;Hspd1;Tomm5;Coa6;Cacna1d;Tomm40;Tomm7;Abcb8;Tomm40l;Tomm6;Pyurf
