representative	grouped_terms	genes
organellar ribosome	organellar ribosome;mitochondrial ribosome	Mrps23;Mrpl38;Mtg2;Mrpl43;Mrpl20;Mrpl16;Mrpl4;Mrpl47;Mrpl17;Mrpl12;Mpv17l2;Mrps12;Mrps7;Mrpl9;Mterf4;Mrpl37;Mrpl28;Mrps30;Mrpl30;Mrpl10;Mrpl13;Mrps18c;Mrpl24;Dap3;Ndufa7;Mrpl58;Mrps18a;Mrps9;Mrps17;Mrpl50;Mrps16;Mrps22;Mrpl19;Mrps2;Mtg1;Mrps14;Mrps24;Mrps27;Mrpl46;Mrpl32;Mrpl40;Mrpl42;Mrpl35;Mrps26;Chchd1;Mrps34;Mrpl15;Mrpl11
ribosomal subunit	ribosomal subunit;ribosome	Mrps10;Rpl37rt;Rps9;Rpl39;Imp3;Mrps15;Mrpl27;Rps25;Rpl31;Rpl9-ps6;Mrpl41;Rplp1;Rpl6l;Rps5;Mrpl44;Mrpl45;Uba52-ps;Rpl41;Mcts1;Ptcd3;Rps6-ps4;Rpl13-ps6;Ddx3x;Rpl22;Mrpl21;Rpl7;Rpl18;Rps17;Mrpl22;Mrpl53;Rps3a1;Mrpl36;Mrps18b;Rpl8;Rps11;Rplp0;Rack1;Rpl19;Mrps23;Mrpl38;Mrpl43;Mrpl20;Mrpl16;Mrpl4;Rps7;Rps26;Mrpl47;Rpl5;Mrpl17;Mrpl12;Rps4x;Mpv17l2;Rpl23a;Mrps12;Rpl6;Rpl10a;Mrps7;Mrpl9;Dhx29;Rpl30;Snu13;Mterf4;Mrpl37;Mrpl28;Mrps30;Mrpl30;Rps2;Rpl29;Mrpl10;Mrpl13;Mrps18c;Uba52rt;Mrpl24;Dap3;Nhp2;Rpl7l1;Mrpl58;Rpl32;Mrps18a;Mrps9;Mrps17;Mrpl50;Mrps16;Mrps22;Zcchc17;Mrpl19;Mrps2;Rpl11;Mrps14;Rpl3;Ubb;Mrps24;Mrps27;Rpl4;Mrpl46;Mrpl32;Mrpl40;Mrpl42;Mrpl35;Eif2d;Mrps26;Chchd1;Mrps34;Mrpl15;Mrpl11;Rpl3l;Rps24;Mrpl2;Rnf25;Canx;Gspt1;Nck1;Rsl24d1;Mtg2;Etf1;Eef2;Oas1g;Ndufa7;Oas1a;Mtg1;Rnf10;Rnf14;Psma6
organic acid catabolic process	organic acid catabolic process;carboxylic acid catabolic process	Ahcy;Akr1a1;Acot4;Etfb;Bckdk;Got2;Pck2;Gldc;Hexa;Etfdh;Glud1;Pex2;Hibch;Nagk;Acot7;Aasdhppt;Sardh;Bckdhb;Cyp4f14;Mlycd;Abat;Acsl5;Atp2b4;Kynu;Hadha;Gstz1;Abcd2;Mat1a;Lonp2;Ldha;Acox2;Abcd1;Pah;Aig1;Aldh4a1;Hsd17b10;Slc25a44;Hao2;Tat;Oat;Acaa2;Qdpr;Gnpda1;Acadvl;Adipoq;Ivd;Oaz1;Decr1;Pon1;Gcat;Agxt;Qprt;Ldhd;Cbs;Echs1;Aldh1l1;Plin5;Acsf3;Idnk;Abhd2;Hexb;Hmgcl;Acads;Fah;Gcdh;Hgd;Akt1;Mtln;Sesn2;Hacl1;Got1;Thnsl2;Gcsh;Shmt1;Hpd;Mccc2;Dcxr;Nos1;Eci3
proteasome complex	proteasome complex;endopeptidase complex	Txnl1;Ide;Rad23a;Psmd12;Psmf1;Psmc5;Psmd5;Psma3;Psmd9;Psmd8;Psma7;Adrm1;Psmb7;Ubqln1;Vcp;Psmb10;Psmd14;Psme1;Psma1;Psmd6;Psmd2;Psmd7;Psmb1;Psmd13;Usp14;Psmb2;Psma5;Psmc2;Psmb9;Psma4;Adrm1b;Psmb4;Psmb8;Psmc4;Psmc3;Psmc1;Psmd3;Psma6;Plaur;Pigt;Mbl2
alpha-amino acid catabolic process	alpha-amino acid catabolic process;amino acid catabolic process	Ahcy;Bckdk;Got2;Gldc;Glud1;Hibch;Sardh;Atp2b4;Kynu;Gstz1;Mat1a;Pah;Aldh4a1;Hsd17b10;Tat;Oat;Qdpr;Ivd;Oaz1;Gcat;Agxt;Cbs;Hmgcl;Fah;Hgd;Got1;Thnsl2;Gcsh;Shmt1;Hpd;Mccc2;Nos1;Etfb;Bckdhb;Abat;Slc25a44
response to interferon-beta	response to interferon-beta;cellular response to interferon-beta	Ifitm6;Gm4841;Gm12185;Bst2;Xaf1;Acod1;Ube2k;Camk2a;Gm5431;9930111J21Rik1;Ube2g2;Ifi204;Gbp2b;Oas1g;Mavs;Gm11772;Ifi213;Trim6;Ifi209;Ifi214;Ifi205;Ifit3;Gbp7;Oas1a;Tgtp2;Irgm1;Gbp6;Tgtp1;Ifi211;Ifitm3;Ifi47;Igtp;Irgm2;Stat1;Ifitm1;Ifitm2;Gbp2
L-amino acid metabolic process	L-amino acid metabolic process;proteinogenic amino acid metabolic process	Glul;Gamt;Pycr1;Ahcy;Ass1;Mpst;Got2;Gldc;Glud1;Egln2;Pcbd1;Aasdhppt;Nat8l;Bhmt;Adss1;Nit2;Aadat;Bhmt1b;Baat;Cps1;Atp2b4;Aldh18a1;Gstz1;Mat1a;Asl;Pah;Slc38a1;Aldh4a1;Pemt;Tat;Oat;Spr;Mthfr;Qdpr;Gcat;Agxt;Prdx4;Cbs;Ctps2;Bhmt2;Mthfd1;Ucp2;Fah;Cad;Hgd;Got1;Shmt2;Thnsl2;Gcsh;Shmt1;Hpd;Nags;Gnmt;Nos1
proteinogenic amino acid catabolic process	proteinogenic amino acid catabolic process;L-amino acid catabolic process	Got2;Gldc;Glud1;Atp2b4;Gstz1;Mat1a;Pah;Aldh4a1;Tat;Oat;Qdpr;Gcat;Agxt;Cbs;Fah;Hgd;Got1;Thnsl2;Gcsh;Shmt1;Hpd;Nos1;Ahcy
organellar large ribosomal subunit	organellar large ribosomal subunit;mitochondrial large ribosomal subunit	Mrpl27;Mrpl41;Mrpl44;Mrpl45;Mrpl21;Mrpl22;Mrpl53;Mrpl36;Mrpl38;Mrpl43;Mrpl20;Mrpl16;Mrpl4;Mrpl47;Mrpl17;Mrpl12;Mpv17l2;Mrpl9;Mterf4;Mrpl37;Mrpl28;Mrps30;Mrpl30;Mrpl10;Mrpl13;Mrpl24;Mrpl58;Mrps18a;Mrpl50;Mrpl19;Mrpl46;Mrpl32;Mrpl40;Mrpl42;Mrpl35;Mrpl15;Mrpl11
extracellular matrix organization	extracellular matrix organization;external encapsulating structure organization;extracellular structure organization	Tgfbr1;Sfrp2;Aplp2;Col27a1;Col5a3;Adamts7;Adamts10;Lemd3;Ltbp4;Cyp2j6;Adamts16;Smad3;Reck;Abl2;Tgfb2;Csgalnact1;Tmem38b;Lox;Smpd3;Lamb2;Large1;Mmp15;Col9a3;Impg1;Antxr1;Papln;Slc2a10;Lama2;Col5a2;Pparg;Phldb2;Tie1;Spint2;Gas2;Loxl2;Ntn4;Adamts1;Ccn1;Adamtsl2;Hspg2;Col3a1;Sema5a;Col7a1;Col24a1;Serac1;Col4a2;Phldb1;Ext1;Abi3bp;Col8a2;Matn2;Has3;Hmcn1;Apbb2;Abl1;Fkbp10;Mfap4;Cav2;Ddr2;Nf1;Dpp4;Spint1;Mmp14;Wt1;Sox9;Fgfr4;Smoc1;Mmp24;Loxl3;Dpt;Itga8;Adamts13;Adamts5;Mmp13;Ero1b
positive regulation of defense response	positive regulation of defense response;positive regulation of innate immune response;positive regulation of response to biotic stimulus;regulation of innate immune response;activation of innate immune response;innate immune response-activating signaling pathway;pattern recognition receptor signaling pathway	Ulbp1;Ppp6c;Cd160;Mmp8;Rnf34;Casp1;Rsad2;Csnk1a1;Clpb;H2-D1;Nlrp3;Dhx58;Nploc4;Banf1;Trim30c;Rftn1;H2-T23;Gbp3;Appl1;Tlr2;Ifi35;Ltf;C3;Gpr108;Vav1;Cd86;Ap1g1;Cd74;Txk;Tnfrsf1a;Syk;Ptpn22;Lilra5;Parp1;Ereg;Polr3b;S100a14;Cd14;Tlr4;Ticam2;Fcgr3;Ccl5;Acod1;Pycard;Nagk;Trim30a;Tlr11;Tifab;Il1b;Lbp;Znfx1;Fcer1g;Sqstm1;Gbp5;Ube2k;Fcgr1;Klrk1;H2-M5;Tomm70a;Rtn4;Nod2;Trim32;Tradd;Oas3;Pik3cg;Flot1;Irak3;S100a9;Mapk3;Polr3c;Slc15a3;Gpsm3;Gsdmd;Fadd;Cd24a;Plcg2;H2-Q6;Lyn;Ddt;Nono;Ddx60;Ifi204;Kcnj8;Npas2;Hspd1;Spi1;Nlrx1;Vamp8;Gbp2b;Oas1g;Irf3;Tnip1;Mavs;Fpr2;Esr1;Treml4;Ubqln1;Ifi213;Lyplal1;Klri2;Trim6;Rnf135;Il18;Cd81;Ifi209;H2-T22;Nop53;Ifi214;Ifi205;Ctss;Sin3a;Gimap3;Tmem126a;Gbp7;Otulin;Brcc3;Pqbp1;Tnfaip3;Cyba;Tlr8;Oas1a;Kars1;Nr1h3;Lgals9;Ccl3;Cd47;Nmi;Parp9;Klrc1;Irgm1;Zcchc3;Oasl1;Ifi211;Cd274;Smpdl3b;Emilin2;Nkg7;Xrcc5;Mbl2;Tyro3;Klrb1c;Rigi;Zbp1;S100a8;Csf1r;Igtp;Tyrobp;Akt1;Irgm2;Grn;Phb2;Xrcc6;Gm12250;Ninj1;Gbp2;Bmp6;Ly86;Hrg;Atg5;Tap1;Ceacam1;Parp14;Tap2;Ncf1;Slamf8;Fgr;Cd96;Mul1;Serpinb1a;Eif4e2;Vsig4;Gfer;Serping1;Ptpn2;Samhd1;Cdc37
proteasome accessory complex	proteasome accessory complex;proteasome regulatory particle	Psmd12;Psmc5;Psmd5;Psmd9;Psmd8;Adrm1;Psmd14;Psme1;Psmd6;Psmd2;Psmd7;Psmd13;Psmc2;Adrm1b;Psmc4;Psmc3;Psmc1;Psmd3
