ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
MF	GO:0003735	structural constituent of ribosome	165	-0.719015615766227	-3.06283504934004	1e-10	1.42928571428571e-08	1.26109022556391e-08	3122	tags=62%, list=15%, signal=53%	Mrpl13/mt-Rnr2/Mrpl30/Rpl22l1/Mrpl21/Mrpl47/Rps9/Mrps34/Rsl24d1/Rpl28/Rpl23/Rpl19/mt-Rnr1/Rps27l/Ndufa7/Rps6-ps4/Rps25/Ubb/Mrpl39/Mrps16/Mrps5/Rplp2/Mrps30/Mrpl11/Rps15a/Rpl27a/Rpl34-ps1/Rps5/Rps17/Mrpl55/Rps26/Rps12/Rpl39/Rpl12/Rpl6l/Rpl37rt/Mrpl12/Mrpl28/Rps16/Rps21/Rplp1/Rps24/Rpl15/Rpl34/Rpl36a/Rpl17/Mrpl17/Rpl31/Rps11/Mrps35/Rps28/Rps14/Imp3/Rpl35a/Rpl29/Rps20/Rps8/Uba52/Rpl37/Rpl37a/Rpsa/Rpl26/Rps27rt/Mrpl27/Mrpl36/Mrpl49/Mrpl16/Rpl10/Mrps25/Rps6/Mrpl54/Rpl8/Fau/Rpl36/Mrpl51/Rpl13a/Rps18/Mrpl10/Mrpl24/Mrpl57/Rpl24/Mrps11/Mrps7/Mrpl2/Mrpl14/Mrps21/Rpl13/Mrpl23/Rpl35/Mrpl4/Rps19/Rps10/Rpl18/Rpl38/Mrpl52/Rpl18a/Rps15/Rpl35rt/Mrps15/Rpl21/Rpl14/Rpl36al
CC	GO:0005746	mitochondrial respirasome	90	-0.744929502885633	-2.89672176729624	1e-10	1.42928571428571e-08	1.26109022556391e-08	2931	tags=62%, list=14%, signal=54%	COX3/Ndufs6b/Ndufa1/Cox4i2/Ndufa6/Wdr93/Ndufc1/Ndufa7/Sdhc/Ndufb11/Cox6c2/Cox7a1/Cox7c/Ndufb9/Ndufb5/Ndufs2/Ndufb8/Uqcrfs1/ND3/Uqcrb/Sdhb/Ndufb2/Ndufb3/Cox8a/Ndufa4l2/Ndufs6/Ndufab1/Ndufs5/Ndufb1/Ndufa13/Uqcr10/Ndufa12/Cox6a1/Ndufb10/Ndufb4/Ndufs3/Ndufa9/Uqcc3/Cox4i1/Cox6c/Uqcr11/Cox5b/Ndufs8/Ndufv2/Ndufa2/Ndufs7/Ndufb7/Ndufa3/Ndufa11/Stmp1/Ndufv3/Ndufa5/Uqcrq/Ndufa8/Cox6b1/Ndufa10
CC	GO:0015934	large ribosomal subunit	124	-0.708327248499827	-2.89627573301094	1e-10	1.42928571428571e-08	1.26109022556391e-08	2049	tags=52%, list=10%, signal=47%	Mrpl39/Rplp2/Mrps30/Mrpl11/Rpl27a/Rpl34-ps1/Mrpl55/Rps12/Rpl39/Rpl12/Rpl6l/Rpl37rt/Mrpl12/Rpl10-ps3/Mrpl28/Rplp1/Mterf4/Mrpl58/Mrpl45/Rpl15/Rpl34/Rpl36a/Nhp2/Rpl17/Mrpl17/Rpl31/Rpl35a/Rpl29/Uba52/Rpl37/Rpl37a/Rpl26/Mrpl27/Mrpl36/Mrpl49/Mrpl16/Rpl10/Mrpl54/Rpl8/Rpl36a-ps1/Rpl36/Mrpl51/Rpl13a/Mrpl10/Mrpl24/Mrpl57/Rpl24/Mrpl2/Mrpl14/Mrpl48/Rpl13/Mrpl23/Rpl35/Mrpl4/Rpl18/Rpl38/Mrpl52/Rpl18a/Mrpl38/Rpl35rt/Rpl21/Gadd45gip1/Rpl14/Rpl36al
CC	GO:0098798	mitochondrial protein-containing complex	296	-0.628065479680392	-2.88519753226254	1e-10	1.42928571428571e-08	1.26109022556391e-08	3122	tags=49%, list=15%, signal=43%	Mrpl13/mt-Rnr2/Ndufs4/Mrpl30/Idh3g/Mrpl21/Dnajc19/COX3/Mrpl47/Mrps34/Mrps26/Ndufs6b/Chchd3/Ndufa1/Cox4i2/Spg7/Atp5po/mt-Rnr1/Ndufa6/Wdr93/Pam16/Micos10/Ndufc1/Ndufa7/Sdhc/Ndufb11/Cox6c2/Grpel2/Ppif/Cox7a1/Mrpl39/Mrps16/Mrps5/Cox7c/Ndufb9/Ndufb5/Mrps30/Ndufs2/Mrpl11/Tomm7/Hsd17b10/Tomm40/Ndufb8/Atp5me/Dbt/Mrpl55/Uqcrfs1/Timm9/Tomm22/ND3/Uqcrb/Timm50/Sdhb/Timm23/Polrmt/Mrpl12/Phb2/Atp5pf/Mrpl28/Mrps33/Ndufb2/Ndufb3/Cox8a/Mterf4/Ndufa4l2/Mrpl58/Ndufs6/Ndufab1/Mrpl45/Ndufs5/Mrpl17/Ndufb1/Smdt1/Lyrm4/Ndufa13/Suclg2/Mrps35/Uqcr10/Ndufa12/Mtx1/Iscu/Cox6a1/Pam16l/Atp5mf/Ndufb10/Ndufb4/Ndufs3/Ndufa9/Mrpl27/Mrpl36/Mrpl49/Mrpl16/Atp5f1d/Mrps25/Mrpl54/Tomm6/Fxn/Uqcc3/Cox4i1/Mrpl51/Atp5pd/Pdk2/Cox6c/Mrpl10/Mrps28/Mrpl24/Mrpl57/Timm13/Mrps11/Mrps7/Bax/Uqcr11/Mrpl2/Mrpl14/Mrpl48/Mrps21/Cox5b/Ndufs8/Atp5f1e/Chchd10/Atp5mc1/Mrpl23/Mrpl4/Ndufv2/Ndufa2/Ndufs7/Mrpl52/Ndufb7/Timm10b/Bckdha/Ndufa3/Mrpl38/Aurkaip1/Ndufa11/Ndufv3/Mrps15/Ndufa5/Romo1/Gadd45gip1/Uqcrq/Ndufa8/Cox6b1/Phb1/Etfb/Micu1/Ndufa10
BP	GO:0006119	oxidative phosphorylation	140	-0.688895259461492	-2.86934840428126	1e-10	1.42928571428571e-08	1.26109022556391e-08	2785	tags=56%, list=13%, signal=49%	Ndufs4/Ak4/COX3/Ndufa1/Cox4i2/Atp5po/Ndufa6/Sdhaf2/Ndufc1/Ndufa7/Vcp/Sdhc/Ndufb11/Ppif/Cox7a1/Cox7c/Ndufb9/Ndufb5/Ndufs2/Slc25a23/Ndufb8/Stoml2/Dnajc30/Atp5me/Uqcrfs1/ND3/Uqcrb/Sdhb/Chchd2/Atp5pf/Ndufb2/Ndufb3/Cox8a/Antkmt/Ndufs6/Ndufab1/Ndufs5/Ndufb1/Ndufa13/Uqcr10/Ndufa12/Cycs/Nupr1/Iscu/Cox6a1/Atp5mf/Pink1/Afg1l/Ndufb10/Ndufb4/Shmt2/Ndufs3/Ndufa9/Atp5f1d/Fxn/Uqcc3/Cox4i1/Apoc3/Atp5pd/Park7/Uqcr11/Cox5b/Ndufs8/Atp5f1e/Chchd10/Ndufv2/Ndufa2/Ndufs7/Ndufb7/Ndufa3/Ndufa11/Uqcc2/Ndufv3/Ndufa5/Gadd45gip1/Uqcrq/Ndufa8/Ndufa10
BP	GO:0140236	translation at presynapse	47	-0.813342936251297	-2.85195505501845	1e-10	1.42928571428571e-08	1.26109022556391e-08	1972	tags=68%, list=9%, signal=62%	Rplp2/Rps15a/Rpl27a/Rps5/Rps26/Rps12/Rpl12/Rps16/Rps24/Rpl15/Rpl34/Rpl36a/Rpl17/Rps11/Rps28/Rps14/Rpl35a/Rpl29/Uba52/Rpl37/Rpl37a/Rpl26/Rpl10/Rpl8/Rpl36/Rpl13a/Rpl24/Rpl13/Rpl35/Rps10/Rpl38/Rpl14
CC	GO:0098800	inner mitochondrial membrane protein complex	149	-0.677354592675169	-2.85109947381888	1e-10	1.42928571428571e-08	1.26109022556391e-08	2985	tags=54%, list=14%, signal=46%	Dnajc19/COX3/Ndufs6b/Chchd3/Ndufa1/Cox4i2/Spg7/Atp5po/Ndufa6/Wdr93/Pam16/Micos10/Ndufc1/Ndufa7/Sdhc/Ndufb11/Cox6c2/Grpel2/Cox7a1/Cox7c/Ndufb9/Ndufb5/Ndufs2/Ndufb8/Atp5me/Uqcrfs1/Timm9/ND3/Uqcrb/Timm50/Sdhb/Timm23/Phb2/Atp5pf/Ndufb2/Ndufb3/Cox8a/Ndufa4l2/Ndufs6/Ndufab1/Ndufs5/Ndufb1/Smdt1/Ndufa13/Uqcr10/Ndufa12/Cox6a1/Pam16l/Atp5mf/Ndufb10/Ndufb4/Ndufs3/Ndufa9/Atp5f1d/Uqcc3/Cox4i1/Atp5pd/Cox6c/Uqcr11/Cox5b/Ndufs8/Atp5f1e/Chchd10/Atp5mc1/Ndufv2/Ndufa2/Ndufs7/Ndufb7/Timm10b/Ndufa3/Ndufa11/Ndufv3/Ndufa5/Romo1/Uqcrq/Ndufa8/Cox6b1/Phb1/Micu1/Ndufa10
CC	GO:0022625	cytosolic large ribosomal subunit	66	-0.76174252911838	-2.80605123473712	1e-10	1.42928571428571e-08	1.26109022556391e-08	1972	tags=56%, list=9%, signal=51%	Rplp2/Rpl27a/Rpl34-ps1/Rps12/Rpl39/Rpl12/Rpl6l/Rpl37rt/Rpl10-ps3/Rplp1/Rpl15/Rpl34/Rpl36a/Nhp2/Rpl17/Rpl31/Rpl35a/Rpl29/Uba52/Rpl37/Rpl37a/Rpl26/Rpl10/Rpl8/Rpl36a-ps1/Rpl36/Rpl13a/Rpl24/Rpl13/Rpl35/Rpl18/Rpl38/Rpl18a/Rpl35rt/Rpl21/Rpl14/Rpl36al
BP	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	66	-0.744847705696614	-2.74381532389966	1e-10	1.42928571428571e-08	1.26109022556391e-08	2785	tags=68%, list=13%, signal=59%	Ndufa1/Atp5po/Ndufa6/Ndufc1/Ndufa7/Sdhc/Ndufb11/Ndufb9/Ndufb5/Ndufs2/Ndufb8/Stoml2/Dnajc30/Atp5me/ND3/Sdhb/Atp5pf/Ndufb2/Ndufb3/Antkmt/Ndufs6/Ndufab1/Ndufs5/Ndufb1/Ndufa13/Ndufa12/Atp5mf/Ndufb10/Ndufb4/Ndufs3/Ndufa9/Atp5f1d/Atp5pd/Ndufs8/Atp5f1e/Ndufv2/Ndufa2/Ndufs7/Ndufb7/Ndufa3/Ndufa11/Ndufv3/Ndufa5/Ndufa8/Ndufa10
CC	GO:0005747	mitochondrial respiratory chain complex I	51	-0.760674509354498	-2.71533211549762	1e-10	1.42928571428571e-08	1.26109022556391e-08	2810	tags=69%, list=13%, signal=60%	Ndufs6b/Ndufa1/Ndufa6/Wdr93/Ndufc1/Ndufa7/Ndufb11/Ndufb9/Ndufb5/Ndufs2/Ndufb8/ND3/Ndufb2/Ndufb3/Ndufs6/Ndufab1/Ndufs5/Ndufb1/Ndufa13/Ndufa12/Ndufb10/Ndufb4/Ndufs3/Ndufa9/Ndufs8/Ndufv2/Ndufa2/Ndufs7/Ndufb7/Ndufa3/Ndufa11/Ndufv3/Ndufa5/Ndufa8/Ndufa10
