representative	grouped_terms	genes
ribosomal subunit	ribosomal subunit;structural constituent of ribosome;ribosome	Mrpl9;Rbm3;Rps15;Rpl13a;Mrps27;Rpl34-ps1;Rpl3;Mrps23;Rpl37;Rpl10a;Rps28;Chchd1;Rplp2;Rpl37rt;Larp4;Mpv17l2;Mrpl54;Rpl31;Mrps18c;Rpl15;Mrpl2;Rpl26;Mrps35;Mrpl58;Mrpl39;Mrpl44;Rpl11;Mrpl51;Rpl36a;Rps4l;Mrpl55;Rps8;Mrpl28;Rps21;Mrps18a;Rpl27a;Mrpl43;Mrps22;Rps16;Mrps21;Rpl41;Rpl18a;Mrpl40;Nsun3;Rpl18;Mrpl10;Rps20;Rpl29;Rpl35;Mterf4;Mrpl21;Mrpl12;Mrps2;Mrpl45;Mrpl11;Rps27rt;Rpl8;Rps7;Rplp0;Mrpl42;Mrpl46;Rpl22;Mrps25;Mrps24;Ubb;Rps6;Rack1;Rpl5;Mrpl27;Rps18-ps6;Rps11;Mrpl57;Mrps16;Rpl7a;Rplp1;Rps14;Mrps7;Mrps33;Rpl36al;Mrpl22;Mrpl32;Rps24;Mrps31;Snu13;Mrpl17;Rpl39;Rpl30;Rps25;Rps4x;Rps15a;Rpl35a;Mrps10;Rpl24;Rps3a1;Rpl19;Rpl10-ps3;Rpl23;Mrps14;Rps5;Npm1;Mrps30;Mrpl13;Rps9;Mrpl30;Uba52rt;Rps3;Rpl4;Rpl6l;Mrpl50;Mrps18b;Rpl9-ps6;Rps27l;Mrpl36;Rps17;Nhp2;Rpl6;Rpl32;Mrpl1;Mrps34;Rpl23a;Rps2;Rpl7l1;Mrpl16;Mrpl34;Rpl7;Rps26;Mrpl35;Rps6-ps4;Mrpl20;Mrpl49;Rpl22l1;Rsl24d1;Ndufa7;Rps10;Rnf10;Rps12;Rpl34;Nck1;Zcchc17;Rpl13-ps6;Mrps11;Aurkaip1;Dhx29;Rpl36a-ps1;Mrpl47;Rnf14;Ltn1;Usp10;Mrps12;Etf1;Abce1;Cpeb2;Gspt1;Eef2;Eef1a1;Canx;Calr;Psma6
organellar ribosome	organellar ribosome;mitochondrial ribosome	Mrps11;Aurkaip1;Mrpl47;Mrps12;Mrpl9;Mrps27;Mrps23;Chchd1;Mpv17l2;Mrpl54;Mrps18c;Mrpl2;Mrps35;Mrpl58;Mrpl39;Mrpl44;Mrpl51;Mrpl55;Mrpl28;Mrps18a;Mrpl43;Mrps22;Mrps21;Mrpl40;Nsun3;Mrpl10;Mterf4;Mrpl21;Mrpl12;Mrps2;Mrpl45;Mrpl11;Mrpl42;Mrpl46;Mrps25;Mrps24;Mrpl27;Mrpl57;Mrps16;Mrps7;Mrps33;Mrpl22;Mrpl32;Mrps31;Mrpl17;Mrps10;Mrps14;Mrps30;Mrpl13;Mrpl30;Ndufa7;Mrpl50;Mrps18b;Mrpl36;Mrpl1;Mrps34;Mrpl16;Mrpl34;Mrpl35;Mrpl20;Mrpl49
organellar large ribosomal subunit	organellar large ribosomal subunit;mitochondrial large ribosomal subunit	Mpv17l2;Mrpl54;Mrpl2;Mrpl58;Mrpl39;Mrpl44;Mrpl51;Mrpl55;Mrpl28;Mrps18a;Mrpl43;Mrpl40;Nsun3;Mrpl10;Mterf4;Mrpl21;Mrpl12;Mrpl45;Mrpl11;Mrpl42;Mrpl46;Mrpl27;Mrpl57;Mrpl22;Mrpl32;Mrpl17;Mrps30;Mrpl13;Mrpl30;Mrpl50;Mrpl36;Mrpl1;Mrpl16;Mrpl34;Mrpl35;Mrpl20;Mrpl49
mitochondrial ATP synthesis coupled electron transport	mitochondrial ATP synthesis coupled electron transport;aerobic electron transport chain;ATP synthesis coupled electron transport;respiratory electron transport chain;electron transport chain	Dld;Ndufv1;Ndufs2;Cyc1;Uqcrb;Uqcr11;Sdhaf2;Cox7a2l;Ndufs3;Sdhb;Uqcrfs1;Iscu;Ndufa8;Sdhd;Cox7b;Pink1;Cox6a2;Sdha;Uqcrc1;Coq7;Uqcrc2;Ndufaf1;Ndufa7;Cox4i1;Ndufv2;Uqcrh;Coa6;Uqcr10;Cycs;Ndufb8;Sdhc;Mtch2;Ndufc2;Dnajc15;Cox5a;Cox6a1;Park7;Ndufb9;Cox8a;Ndufb6;Ndufs6;Chchd2;Cox7a2;Etfa;Etfb;Gpd1;Etfrf1;Ndufs4;Sod2;Etfdh;Ndufb3;Fdx1
aerobic respiration	aerobic respiration;cellular respiration;energy derivation by oxidation of organic compounds	Ndufa11;Cox5b;Ndufa10;Ndufa12;Ndufv3;Akt1;Atp5f1e;Mrps36;Suclg2;Ndufs7;Ogdh;Ndufab1;Ndufa13;Oxa1l;Ndufa6;Dld;Macroh2a1;Slc25a23;Ndufv1;Bnip3;Dnajc30;Sucla2;Ndufs2;Idh3b;Cyc1;Cs;Uqcrb;Mtfr1;Fh1;Uqcr11;Sdhaf2;Atp5me;Cox7a2l;Ndufs3;Mup1;Sdhb;Pdha1;Atp5pf;Ndufb2;Ndufb11;Stoml2;Uqcrfs1;1700066M21Rik;Iscu;Ndufa8;Sdhd;Atp5f1b;Cox7b;Ndufb10;Ndufc1;Aco1;Ndufb3;Pink1;Vcp;Cox6a2;Mdh2;Idh1;Sdha;Uqcrc1;Atp5f1a;Rhoa;Ndufs4;Coq7;Uqcrc2;Ndufaf1;Ndufa7;Cox4i1;Ndufv2;Uqcrh;Coa6;Uqcr10;Tmem135;Cycs;Ndufa9;Ndufs5;Ndufb8;Sdhc;Mtch2;Ndufc2;Ndufa1;Dnajc15;Mdh1;Cat;Cox5a;Atp5f1d;Cox6a1;Park7;Ndufb5;Atp5mf;Suclg1;Ndufb9;Cox8a;Ide;Atp5f1c;Atp5pb;Ndufb6;Ndufs6;Chchd2;Atp5po;Cox7a2;Lyrm7;Etfa;Trap1;Etfb;Prkaca;Prelid1;Gpd1;Cyp1a2;Cisd1;Etfrf1;Sdhaf4;Sod2;Acadm;Gnmt;Dyrk2;Ugp2;Ppp1r2;Gfpt1;Ppp1r3c;Nhlrc1;Pgm1;Epm2aip1;Ppp1ca;Hmgb1;Prkag3;Ppp1cb;Ldha;Ptges3
respirasome	respirasome;respiratory chain complex;mitochondrial respirasome	Ndufa11;Cox5b;Ndufa10;Ndufa12;Ndufv3;Uqcrh-ps1;Ndufs7;Ttc19;Ndufab1;Ndufa13;Ndufa6;Ndufv1;Ndufs2;Rab5if;Cyc1;Uqcrb;Uqcr11;Cox6b1;Cox7a2l;Ndufs3;Sdhb;Ndufb2;Cox6c;Ndufb11;Uqcrfs1;1700066M21Rik;Ndufa8;Sdhd;Cox7b;Ndufb10;Ndufc1;Ndufb3;Cox6a2;Sdha;Uqcrc1;Ndufs4;Uqcrc2;Ndufa7;Cox4i1;Ndufab1-ps;Ndufv2;Uqcrh;Coa6;Dmac1;Uqcr10;Ndufa9;Ndufs5;Ndufs6b;Ndufb8;Sdhc;Ndufc2;Ndufa1;Higd1a;Cox5a;Cox6a1;Ndufb5;Ndufb9;Cox8a;Ndufb6;Ndufs6;Ndufa4;Cox7a2
proteasome complex	proteasome complex;endopeptidase complex;peptidase complex	Psmd4;Psmc4;Psmd5;Psmd6;Adrm1;Sem1;Usp14;Psmd12;Psmc5;Psmc1;Adrm1b;Psmc6;Slc10a2;Psmd2;Psma4;Uchl5;Psmd13;Psma5;Psmd14;Hspb1;Psmc2;Psma1;Psma7;Vcp;Psmf1;Psmc3;Psmd11;Psma2;Psmd3;Psmb2;Psmb5;Psmd8;Psmb1;Psme3;Psmb4;Psma6;Ide;Txnl1;Rad23b;Ubqln1;Psmb7;Casp9;Thbd;Cfhr4;Pigk;Mbl2;Taf12;Spcs1;Taf10;Tada2b;Eny2;Sec11c;Sec11a;Sf3b5;Spcs3;Spcs2
proton motive force-driven ATP synthesis	proton motive force-driven ATP synthesis;proton motive force-driven mitochondrial ATP synthesis;purine ribonucleoside triphosphate biosynthetic process;purine nucleoside triphosphate biosynthetic process;ribonucleoside triphosphate biosynthetic process;nucleoside triphosphate biosynthetic process;ATP biosynthetic process	Ndufa11;Ndufa10;Ndufa12;Ndufv3;Atp5f1e;Ndufs7;Ndufab1;Ndufa13;Ndufa6;Atp5mc1;Ndufv1;Dnajc30;Ndufs2;Atp5me;Ndufs3;Sdhb;Atp5pf;Ndufb2;Ndufb11;Stoml2;Ndufa8;Sdhd;Atp5f1b;Ndufb10;Ndufc1;Ndufb3;Sdha;Atp5f1a;Ndufs4;Ndufa7;Ndufv2;Ndufa9;Ndufs5;Ndufb8;Sdhc;Ndufc2;Ndufa1;Atp5f1d;Ndufb5;Atp5mf;Ndufb9;Atp5f1c;Atp5pb;Ndufb6;Atp5mc3;Ndufs6;Atp5po;Nudt2;Map2k1;Ldhd;Eno1;Lipa;Vcp;Nme2;Pnp;Ak3;Nme1
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;oxidoreductase activity, acting on CH-OH group of donors	Dhrs3;Cyp4a12a;Hsd17b2;Dhrs9;Bdh2;Hadha;Rdh9;Dhrs7b;Dhrs7;Hpgd;Hsd17b7;Rdh11;H6pd;Cbr2;Hsd3b2;Adh4;Dhrs4;Ptgr1;Idh3b;Ugdh;Ldhd;Hsd11b1;Hadh;Akr1c14;Cbr4;Akr1b1;Adh1;Cyp4a12b;Dhrs1;Sord;Rdh7;Ptgr2;Hsd3b3;Akr1c19;Rdh10;Ehhadh;Hsd3b5;Gpd1;Akr7a5;Dhrs11;Mdh2;Idh1;Prxl2b;Dhdh;Akr1c13;Adh5;Hsd17b4;Hibadh;Akr1c12;Sdr9c7;Ldha;Spr;Grhpr;Mdh1;Akr1e1;Hsd17b10;Hsd17b11;Akr1a1;Hsd17b12;L2hgdh;Gulo;Hao1
GTPase regulator activity	GTPase regulator activity;nucleoside-triphosphatase regulator activity	Plce1;Arhgap21;Rabgap1l;Dennd1a;Mcf2;Arhgap6;Ankrd27;Arhgef1;Gmip;Srgap2;Wdr41;Fgd5;Dock6;Slc38a9;Ngef;Tbc1d9b;Dock7;Arhgap15;Dock1;Flcn;Arhgap45;Tbc1d24;Farp1;Syde1;Plekhg1;Rap1gap;Rgs16;Arhgap24;Sbf2;Dennd5b;Itsn2;Tbc1d4;Dennd6b;Elmo1;Plcb1;Tbc1d5;Tagap1;Tbc1d8;Cyth1;Stard8;Prex2;Dennd4a;Arhgef11;Gripap1;Spata13;Dock4;Sipa1;Srgap1;Arhgap39;Plekhg2;Vps9d1;Chn2;Rgs12;Ric8a;Ralgapa2;Arhgap28;Asap1;Agap3;Acap1;Tagap;Arap3;Sgsm1;Arhgap18;Ralgapa1;Rasgrp2;Git1;Mycbp2;Dennd1c;Rgl2;Dab2ip;Gapvd1;Arhgap32;Rapgef5;Tbc1d10a;Git2;Dock10;Dennd2d;Arhgef3;Sh2d3c;Rasgrp4;Sipa1l2;Ocrl;Arfgap1;Arhgap31;Dennd1b;Rgl3;Ophn1;Kalrn;Rasa3;Plekhg5;Stxbp5;Plekhg3;Tsc2;Iqsec2;Vav3;Dnmbp;Dennd3;Dock5;Dlc1;Rab3gap2;Als2;Myo9b;Als2cl;Rapgef1;Arap1;Rasgrp1;Sos2;Tbc1d14;Dennd4b;Rabep2;Rtkn;Arhgap27;Arhgap4;Ccdc88a;Sbf1;Rasal1;Arhgap23;Arhgap29;Dock9;Rasa4;Rapgef2;Rabgap1;Arhgap12;Ralgps2;Tbc1d12;Prex1;Arhgef6;Fgd1;Tbc1d1;Arhgef39;Plekhg6;Rapgef4;Gpsm1;Ranbp3;Arhgef15;Arhgap33;Arfgef2;Rabgef1;Arhgap25;Evi5l;Adap2;Rgs18;Arhgef7;Arhgef2;Rgs9;Arhgef17;Egf;Hmgcr;Ranbp10;Plcg1;Tns3;Cyth2;Rasgef1b;Cyth4;Arhgap10;Arhgef10;Tbck;Tbc1d17;Gnaq;Rasgrp3;Arhgef16;Arhgef25;Ralgds;Fam13b;Dock11;Dennd2a;Tbc1d10c;Arhgef10l;Depdc5;Gdi1;Garnl3;Arhgef12;Myo9a;Rgs3;Eps8l1;Akap13;Ranbp3l;Cavin4;Dock2;Nprl3;Rgs1;Arhgap42;Rgs14;Iqsec1;Stard13;Arhgef37;Gpsm3;Slit2;Dgki;Trio;Syngap1;Wnt11;Nrp1;Sergef;Rasal3;Itsn1;Rapgefl1;Rab3il1;Rapgef3;Arhgef28;Fgd2;Rgs20;Rap1gap2;Ralbp1;Rgs11;Ranbp2
