representative	grouped_terms	genes
ribosomal subunit	ribosomal subunit;ribosome	Mrps18b;Rpl3;Rps15a;Rps4x;Mrpl19;Rpl4;Mrps18c;Mrps9;Mrpl43;Mrps12;Rpl30;Rpl8;Rpl5;Mrpl46;Rplp0;Mrpl12;Uba52-ps;Mrpl45;Mrpl16;Chchd1;Zcchc17;Rack1;Mrpl35;Snu13;Rpl22;Rps2;Mrps16;Mrps2;Rpl34-ps1;Mrpl9;Mrps18a;Rpl10a;Rps3;Mrpl44;Rps3a1;Mrpl20;Rps9;Rpl7l1;Mrps23;Mpv17l2;Ddx3x;Mrpl15;Mrps24;Rps5;Rps6-ps4;Rplp2;Mrpl34;Rpl37rt;Rpl7;Rps16;Mrps34;Rpl9-ps6;Mrpl55;Rpl11;Rps21;Mrps22;Fau;Mrpl40;Rpl6;Gm6525;Mrpl27;Rps7;Mrpl49;Mrpl11;Rpl7a;Mrpl53;Rpl41;Rpl23;Rps18-ps6;Dhx29;Rps4l;Mrps31;Mrpl50;Ptcd3;Mrpl17;Rps24;Rplp1;Mrpl13;Rps19;Nhp2;Uba52rt;Mrpl32;Mrpl37;Rpl32;Rps26;Rpl19;Rpl6l;Rpl13-ps6;Rsl1d1;Mrpl41;Mrps14;Rpl24;Mrps27;Mrps7;Mrpl28;Etf1;Eef1a1;Eef2;Canx;Gspt1;Rnf14;Psma6;Eif4g1;Abce1;Rsl24d1
organellar ribosome	organellar ribosome;mitochondrial ribosome	Mrps18b;Mrpl19;Mrps18c;Mrps9;Mrpl43;Mrps12;Mrpl46;Mrpl12;Mrpl45;Mrpl16;Chchd1;Mrpl35;Mrps16;Mrps2;Mrpl9;Mrps18a;Mrpl44;Mrpl20;Mrps23;Mpv17l2;Mrpl15;Mrps24;Mrpl34;Mrps34;Mrpl55;Mrps22;Mrpl40;Mrpl27;Mrpl49;Mrpl11;Mrpl53;Mrps31;Mrpl50;Ptcd3;Mrpl17;Mrpl13;Mrpl32;Mrpl37;Mrpl41;Mrps14;Mrps27;Mrps7;Mrpl28;Mrps30;Mrpl48;Mrpl30;Mtg2;Mrpl58;Mrps26
GTPase regulator activity	GTPase regulator activity;nucleoside-triphosphatase regulator activity	Evi5l;Acap3;Itsn1;Arhgef40;Dennd2a;Nrp1;Rapgef3;Garnl3;Arhgef18;Dennd2d;Arhgap15;Smap1;Rgs20;Rabgef1;Tbc1d17;Abr;Arap1;Tns3;Dennd5a;Sipa1l2;Arhgef10l;C9orf72;Arhgef2;Plekhg5;Cyth4;Arhgap12;Arhgap22;Tbc1d22b;Tbc1d10b;Rgl3;Arhgap24;Tbc1d10c;Arhgap33;Dennd4b;Gpsm1;Syngap1;Jun;Syde1;Arhgap17;Nckap1l;Dgki;Sirpa;Arhgef10;Arfgef2;Arhgef17;Rabgap1l;Sipa1l3;Rasa2;Rgs11;Asap1;Vav3;Gpsm3;Gmip;Dock2;Arhgap19;Tbc1d24;Slit2;Tbc1d1;Sbf2;Ric8a;Arfgap3;Sh2d3c;Arhgef6;Ect2;Rap1gap;Ric1;Dennd1c;Tbc1d25;Arhgap45;Dock7;Chn2;Ophn1;Eps8l2;Itsn2;Dock10;Iqgap2;Sh3bp1;Rasa3;Plekhg1;Tbc1d2b;Git1;Rgs1;Syde2;Mtss2;Elmod3;Als2cl;Agap3;Myo9a;Madd;Ralgapa2;Ranbp2;Ngef;Arhgap32;Vps9d1;Cpeb2;Arap3;Plekhg3;Fgd2;Farp1;Rapgef2;Sos2;Lamtor3;Kalrn;Rcc1;Dock5;Tagap;Krit1;Dlc1;Ralgapa1;Rgl2;Rab3gap2;Psd3;Acap2;Tbc1d14;Gapvd1;Rtkn;Spata13;Rapgef5;Dock4;Myo9b;Acap1;Arhgap42;Trio;Arhgef7;Dennd1a;Arhgef25;Arhgap5;Dennd3;Rasal3;Sbf1;Arhgap25;Arhgef1;Ankrd27;Sesn2;Slc38a9;Fam13b;Rasgrp1;Ranbp3;Plcb1;Dennd5b;Akap13;Plekhg2;Arhgap28;Gripap1;Fgd6;Dennd4a;Tbc1d8;Git2;Arhgef11;Arhgap39;Arhgap4;Tagap1;Stard13;Depdc5;Flcn;Nf1;Dennd6b;Arhgap21;Rapgef4;Rabgap1;Arhgap29;Arhgap27;Dnmbp;Sipa1;Gdi1;Mycbp2;Arhgef12;Cyth2;Eps8l1;Rgs16;Rabep2;Dock9;Als2;Cavin4
DNA-binding transcription activator activity, RNA polymerase II-specific	DNA-binding transcription activator activity, RNA polymerase II-specific;DNA-binding transcription activator activity	Foxk2;Zfp60;Notch1;Notch4;Gata3;Mybl2;Pax8;Plagl1;E2f4;Prdm4;Mef2bl;Runx1;Hoxb3;Nfatc1;Csrnp1;Klf6;Zfp619;Spi1;Tfdp2;Klf13;Sox17;Tbx1;Creb3l3;Batf;Mafg;Hivep2;Tef;Grhl3;Cebpb;Hsf4;Zfp131;Fosl2;Arnt2;Zfp51;Pou2f2;Irf4;Dbp;Foxo1;Klf9;Tfdp1;Nfyb;Spic;Hnf1a;Irf3;Onecut2;Zfp948;Nr1h2;Zfp974;Rela;Nr1i2;Meis2;Meis1;Mybl1;Ncoa3;Jun;Zfp143;Zfp945;Nkx2-6;Hoxb2;Tfec;Creb3l4;Zfx;Zfp658;Lef1;Dmtf1;Irf1;Zfp62;Zfp595;Pbx1;Rreb1;Tcf12;Meis3;Foxa2;Zic1;Jund;Bach1;Mlxip;Gata1;Tcf7l2;Hoxd3;Zfp715;Gmeb2;Zfp445;Nfat5;Carf;Zfp639;Zfp52;Trp53;Maff;Erg;Hand2;Tbx3;Hsf2;Ubp1;Myc;Hsf1;Spib;Tead1;Prdm2;Junb;Tcf21;Creb1;Zfp606;Nfkb1;Fev;Zfp384;Smad1;Zfp292;Rfx5;Plagl2;Nfia;Zfp458;Fli1;Rxrb;Crebrf;Klf7;Ctcf;Mef2a;Six5;Tfeb;Zfp523;Onecut1;Zeb2;Nr1h4;E4f1;Pbx3;Tfcp2;Ppara;Nfe2l2;Zscan2;Foxa1;Kmt2d;Zbed4;Tcf4;Nfya;Dmrt2;Pax5;Mga;Mlxipl;Tcf3;Egr1;Zfp40;Stat6;Klf10;Fos;Nr1i3;Zfp26;Pbx2;Irf2;Rhox5
mitochondrial translation	mitochondrial translation;mitochondrial gene expression	Mrps18b;Tufm;Mrpl19;Mrps18c;Mrps9;Mrpl43;Mrps12;Cdk5rap1;Mrpl46;Mrpl12;Mrpl45;Mrpl16;Chchd1;Mrpl35;Mrps16;Mrps2;Gars1;Mrpl9;Mrps18a;Mrpl44;Mrpl20;Hars1;Mrps23;Mpv17l2;Mrpl15;Mrps24;Iars2;Coa3;Mrpl34;Mrps34;Mrpl55;Mrps22;Mrpl40;Gatb;Gfm1;Mrpl27;Mrpl49;Fastkd2;Mrpl11;Mrpl53;Trub2;Mrps31;Ears2;Mrpl50;Ptcd3;Mrpl17;Mrpl13;Gatc;Yars2;Mrpl32;Mrpl37;Rpusd4;Tsfm;Mrpl41;Mrps14;Mrps27;Mrps7;Mrpl28;Mrps30;Mrpl48;Mrpl30;Mtg2;Mrpl58;Mrps26;Prorp;Elac2;Trnt1;Mtpap;Hsd17b10
DNA-binding transcription repressor activity, RNA polymerase II-specific	DNA-binding transcription repressor activity, RNA polymerase II-specific;DNA-binding transcription repressor activity	Zbtb5;Sp3;Zfp422;Gtf2ird1;Rorc;Mzf1;Mypop;Satb1;Kcnip3;Myef2;Foxk2;Lrrfip1;Zfp950;Cc2d1b;Gata3;Zfp3;Irf8;Hey2;Zbtb1;Nfatc1;Zbtb34;Foxs1;Zfp354c;Zbtb46;Trps1;Spi1;Zbtb37;Cebpb;Hsf4;Zfp131;Zfp263;Ski;Foxo1;Zbtb12;Zfp148;Mxi1;Zfp13;Dlx4;Foxp2;Rela;Hivep1;Zbtb2;Jun;Bhlhe41;Tfec;Foxp1;Zfp219;Zbtb18;Klf12;Zfp442;Zfp90;Mnt;Zfp658;Lef1;Zbtb7a;Zfp595;Pou6f1;Max;Zfp217;Bach1;Zfp715;Sox6;Trp53;Zbtb32;Tbx3;Bcl11a;Bach2;Zbtb20;Myc;Hsf1;Tgif1;Prdm2;Zfp958;Zfp281;Nfil3;Zfp692;Tcf21;Nfkb1;Zbtb39;Foxk1;Dach1;Zfhx3;Snai1;Zeb1;Mxd1;Deaf1;Zfp970;Ctcf;Zeb2;Zbtb16;E4f1;Zfp433;Ppara;Cc2d1a;Mlxipl;Tcf3;Zkscan3;Nfx1;Foxp4;Sall1;E2f8;Foxq1;Samd11;Smad3;Rara
proteasome regulatory particle	proteasome regulatory particle;proteasome accessory complex	Psmc3;Psmc1;Psmd13;Psmd3;Psmd11;Psmd7;Psmd2;Psmd5;Adrm1;Psmd8;Psmc2;Psmc6;Psmd14;Adrm1b;Psmc5;Psmd6;Psmc4;Psme3
organic acid catabolic process	organic acid catabolic process;carboxylic acid catabolic process	Eci3;Nudt19;Qdpr;Abat;Oaz1;Mccc2;Aldh1l1;Acsf3;Gcat;Qprt;Aldh4a1;Gcsh;Akr1a1;Gcdh;Arsb;Slc27a4;Hmgcll1;Gstz1;Echs1;Ddah1;Hgd;Bdh2;Aig1;Hmgcl;Acmsd;Hal;Acadvl;Pon3;Dcxr;Abcd3;Ldha;Blmh;Oat;Dbi;Abhd2;Tdo2;Gls2;Ahcyl;Mat1a;Ilvbl;Glud1;Adipoq;Plin5;Aldh1l2;Cbs;Ehhadh;Acot8;Got2;Agxt;Acads;Pex7;Sardh;Acad8;Ldhd;Acadsb;Acot7;Thnsl2;Acaa2;Etfdh;Ppat;Kynu;Pgd;Decr1;Aldh5a1;Gldc;Dld;Pex5;Got1;Acox2;Echdc1;Kmo;Acsl5;Nos2;Acad11;Shmt1;Tysnd1;Cryl1;Acad12;Acat2;Lonp2;Hadh;Abcd2
amino acid catabolic process	amino acid catabolic process;alpha-amino acid catabolic process	Qdpr;Abat;Oaz1;Mccc2;Gcat;Aldh4a1;Gcsh;Hmgcll1;Gstz1;Ddah1;Hgd;Hmgcl;Acmsd;Hal;Blmh;Oat;Tdo2;Gls2;Ahcyl;Mat1a;Glud1;Cbs;Got2;Agxt;Sardh;Acad8;Acadsb;Thnsl2;Ppat;Kynu;Aldh5a1;Gldc;Dld;Got1;Kmo;Nos2;Shmt1
proteasome complex	proteasome complex;endopeptidase complex;peptidase complex	Psmc3;Psmc1;Psmb4;Psmd13;Psmd3;Vcp;Psmd11;Dnajb2;Psmd7;Psmd2;Psma5;Psma6;Psmd5;Adrm1;Psmd8;Ubqln1;Psmc2;Rad23a;Psmb2;Ide;Psmb1;Psmc6;Psmd14;Psma1;Adrm1b;Psme3;Psmc5;Psma4;Psmd6;Uchl5;Psmc4;Psma8;Slc10a2;Psmf1;Psmb7;Rad23b;Pigt;Spcs1;Taf6l;Spcs3;Afg3l1;Tada2b;Sec11c;Taf5l
