ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0098798	mitochondrial protein-containing complex	296	-0.618279989590114	-3.20990168256528	1e-10	5.88529411764706e-09	4.02399380804954e-09	4213	tags=60%, list=20%, signal=49%	Slc25a5/Mrps23/Clpx/Sdha/Mrps17/Mrpl42/Mrps14/Ndufc2/Mrpl32/Ndufab1/Cox7c/Mtx2/Micu2/Timm17b/Ndufab1-ps/Ndufs6b/Mrps26/Mrps18a/Mrpl9/Atp5f1c/Mrps10/Mrps2/Atp5mj/Uqcrc2/Mrpl1/Foxred1/Ndufb7/Dnajc11/Mrpl51/Ndufa2/Ndufs8/Uqcrb/Timm29/Atp5mg/Atp5mc3/Mccc2/Atp5po/Mrps16/Mrps18c/Atp5pd/Smdt1/Atp5f1a/Tomm5/Cox7b/Cox8a/Ndufa4/Ndufb8/Tomm22/Mrps21/Afg3l1/Timm22/Cox6c2/Apoo/Mrps25/Polrmt/Mrpl11/Mrpl27/Atp5mf/Uqcrh/Atp5pf/Timm10b/Cox5a/Mrps31/Sdhb/Mrps30/Atp5mc1/Mrpl41/Chchd1/Atp5me/Mtx1/Pdha1/Pdhx/Mrps5/Mrps12/Mrpl45/Ndufb10/Mrpl39/Micos13/Ndufa12/Mrpl28/Fxn/Ndufb2/Ndufb11/Ndufa13/Mrpl46/Ndufa3/Mrps11/Pam16l/Ndufa5/Mrpl52/Mrpl54/Dbt/Uqcrq/Mrps15/Ndufc1/Phb2/Cox6c/Ndufb6/Mrps33/Uqcr11/Mrpl22/Ndufs4/Ndufv1/Etfb/Cyc1/Uqcrc1/Ndufv3/Chchd6/Spg7/Cox4i1/Ndufa1/Chchd10/Gadd45gip1/Mrps18b/Dnajc15/Ndufa9/Tomm40/Atp5f1e/Mrpl47/Tomm7/Mrpl24/Mrpl12/Mrpl21/Mrps34/Ndufs2/Nfs1/Mrpl53/Uqcrfs1/Mrpl17/Ndufb3/Mrps24/Mrpl4/Cox5b/Ndufs7/Micos10/Cox7a2/Mrpl2/Bckdha/Uqcr10/Timm10/Cox6b1/Aurkaip1/Phb1/Ndufv2/Tomm40l/Dmac1/Mrpl58/Ndufs5/Mrpl19/Ndufb1/Ndufb5/Ndufs3/Mrpl36/Ndufa11/Timm23/Tomm6/Dnajc19/Mrpl43/Romo1/Ndufa10/Ndufb9/Atp5f1d/Mrpl49/Mrpl20/Mrpl34/Mrps7/Mrps28/Ndufs6/Cox6a1/Mrpl57/Hsd17b10/Ndufa8/Mrpl55/Iscu/Mrpl10/Timm9/Mrpl16/Mrpl38/Timm13
MF	GO:0003735	structural constituent of ribosome	165	-0.640848258259885	-3.1022440555765	1e-10	5.88529411764706e-09	4.02399380804954e-09	4586	tags=61%, list=22%, signal=48%	Rpsa/Rpl35/Rpl35rt/Rps8/Mrpl30/Rpl10/Rps25/Mrps23/Rps15/Rpl19/Rps6-ps4/Mrps17/Rpl39/Rpl6/Imp3/Rpl30/Mrps14/Rps27rt/Rpl37rt/Rpl34/Mrpl32/Rpl13/Rps26/Rpl5/Mrps18a/Mrpl9/Rpl29/Mrps10/Mrps2/Rps14/Rplp2/Rpl11/Mrpl1/Rpl37/Rpl18a/Rps3/Mrpl51/Rpl27a/Rps2/Mrps16/Mrps18c/Rps15a/Mrps21/Mrps25/Rpl24/Mrpl11/Mrpl27/Rps27l/Rpl7l1/Rps21/Rpl22l1/Rps16/Mrps31/Rpl6l/Mrps30/Mrpl41/Rpl13a/Mrps5/Mrps12/Mrpl39/Rplp1/Rps19/Mrpl28/Rsl24d1/Mrpl46/Rpl14/Rpl12/Rps10/Mrps11/Mrpl52/Mrpl54/Mrps15/Mrpl22/Rpl8/Rpl13-ps6/Uba52-ps/Mrps18b/Mrpl47/Mrpl24/Mrpl12/Mrpl21/Mrps34/Mrpl17/Mrps24/Mrpl4/Mrpl2/Mrpl19/Rpl18/Mrpl36/Mrpl43/Rpl34-ps1/Mrpl49/Mrpl20/Mrpl34/Mrps7/Mrpl57/Mrpl55/Rpl36al/Mrpl10/Mrpl16/Rpl35a
CC	GO:0098800	inner mitochondrial membrane protein complex	149	-0.641119640403808	-3.03835282867532	1e-10	5.88529411764706e-09	4.02399380804954e-09	4007	tags=64%, list=19%, signal=52%	Ndufc2/Ndufab1/Cox7c/Micu2/Timm17b/Ndufab1-ps/Ndufs6b/Atp5f1c/Atp5mj/Uqcrc2/Foxred1/Ndufb7/Dnajc11/Ndufa2/Ndufs8/Uqcrb/Timm29/Atp5mg/Atp5mc3/Atp5po/Atp5pd/Smdt1/Atp5f1a/Cox7b/Cox8a/Ndufa4/Ndufb8/Afg3l1/Timm22/Cox6c2/Apoo/Atp5mf/Uqcrh/Atp5pf/Timm10b/Cox5a/Sdhb/Atp5mc1/Atp5me/Ndufb10/Micos13/Ndufa12/Ndufb2/Ndufb11/Ndufa13/Ndufa3/Pam16l/Ndufa5/Uqcrq/Ndufc1/Phb2/Cox6c/Ndufb6/Uqcr11/Ndufs4/Ndufv1/Cyc1/Uqcrc1/Ndufv3/Chchd6/Spg7/Cox4i1/Ndufa1/Chchd10/Dnajc15/Ndufa9/Atp5f1e/Ndufs2/Uqcrfs1/Ndufb3/Cox5b/Ndufs7/Micos10/Cox7a2/Uqcr10/Timm10/Cox6b1/Phb1/Ndufv2/Dmac1/Ndufs5/Ndufb1/Ndufb5/Ndufs3/Ndufa11/Timm23/Dnajc19/Romo1/Ndufa10/Ndufb9/Atp5f1d/Ndufs6/Cox6a1/Ndufa8/Timm9
CC	GO:0070469	respirasome	96	-0.668658130185982	-2.91146322941506	1e-10	5.88529411764706e-09	4.02399380804954e-09	4199	tags=69%, list=20%, signal=55%	Uqcc4/Sdha/Ndufc2/Ndufab1/Cox7c/Ndufab1-ps/Ndufs6b/Uqcrc2/Foxred1/Ndufb7/Ndufa2/Ndufs8/Uqcrb/Cox7b/Cox8a/Ndufa4/Ndufb8/Cox6c2/Coa6/Uqcrh/Cox5a/Sdhb/Ndufb10/Ndufa12/Ndufb2/Ndufb11/Ndufa13/Ndufa3/Ndufa5/Uqcrq/Ndufc1/Cox6c/Ndufb6/Uqcr11/Ndufs4/Ndufv1/Cyc1/Uqcrc1/Ndufv3/Cox4i1/Ndufa1/Ndufa9/Ndufs2/Uqcrfs1/Rab5if/Ttc19/Ndufb3/Cox5b/Ndufs7/Cox7a2/Uqcr10/Cox6b1/Ndufv2/Dmac1/Ndufs5/Ndufb1/Ndufb5/Ndufs3/Ndufa11/Ndufa10/1700066M21Rik/Ndufb9/Ndufs6/Cox6a1/Ndufa8/Higd1a
CC	GO:0000313	organellar ribosome	90	-0.682952817051412	-2.90574991931617	1e-10	5.88529411764706e-09	4.02399380804954e-09	4208	tags=68%, list=20%, signal=54%	Mrps23/Mrps17/Mrpl42/Mrps14/Mrpl32/Mrps26/Mrps18a/Mrpl9/Mrps10/Mrps2/Mrpl1/Mrpl51/Mrps16/Mrps18c/Mrps21/Mrps25/Mrpl11/Mrpl27/Mrps31/Mrps30/Mrpl41/Chchd1/Mrps5/Mrps12/Mrpl45/Mrpl39/Mrpl28/Mrpl46/Mrps11/Mrpl52/Mrpl54/Mrps15/Mrps33/Mrpl22/Gadd45gip1/Mrps18b/Mrpl47/Mrpl24/Mrpl12/Mrpl21/Mrps34/Mrpl53/Mrpl17/Mrps24/Mrpl4/Mrpl2/Aurkaip1/Mrpl58/Mrpl19/Mrpl36/Mrpl43/Mrpl49/Mrpl20/Mrpl34/Mrps7/Mrps28/Mrpl57/Mrpl55/Mrpl10/Mrpl16/Mrpl38
BP	GO:0032543	mitochondrial translation	129	-0.627945931825071	-2.89881186357152	1e-10	5.88529411764706e-09	4.02399380804954e-09	4887	tags=67%, list=23%, signal=51%	Mpv17l2/Hars1/Gfm1/Mrpl40/Yars2/Mrps22/Gars1/Nsun4/Mrpl30/Trub2/Mrps23/Mrps17/Mrpl42/Mrps14/Mrpl32/Mrps26/Mrps18a/Mrpl9/Mrps10/Mrps2/Mrpl1/Mrpl51/Mrps16/Mrps18c/Mtif3/Gfm2/Mrps21/Mrps25/Mrpl11/Mrpl27/Rcc1l/Mrps31/Mrps30/Mrpl41/Shmt2/Chchd1/Gatb/Mrps5/Mrps12/Mrpl45/Mrpl39/Tsfm/Mrpl28/Mrpl46/Tufm/Mrps11/Mrpl52/Mrpl54/C1qbp/Mrps15/Mrps33/Mrpl22/Coa3/Uqcc2/Gadd45gip1/Mrps18b/Mrpl47/Lrpprc/Mrpl24/Mrpl12/Mrpl21/Mrps34/Mrpl53/Mrpl17/Mrps24/Mrpl4/Mrpl2/Aurkaip1/Aars2/Mrpl58/Mrpl19/Mtif2/Mrpl36/Gatc/Mrpl43/Mrpl49/Mrpl20/Mrpl34/Mrps7/Mrps28/Rpusd3/Mrpl57/Mrpl55/Mrpl10/Mrpl16/Mrpl38
MF	GO:0005549	odorant binding	24	-0.87088999088137	-2.88416738955433	1e-10	5.88529411764706e-09	4.02399380804954e-09	930	tags=62%, list=4%, signal=60%	Mup10/Mup3/Mup2/Mup13/Mup18/Mup1/Mup6/Mup11/Mup17/Mup8/Mup21/Mup15/Mup7/Mup14/Mup20
CC	GO:0015934	large ribosomal subunit	124	-0.62080890934649	-2.84883498482356	1e-10	5.88529411764706e-09	4.02399380804954e-09	4578	tags=60%, list=22%, signal=47%	Nsun4/Rpl35/Rpl35rt/Mrpl30/Rpl10/Rpl19/Rpl39/Rpl6/Mrpl42/Rpl30/Rpl37rt/Rpl34/Mrpl32/Rpl13/Rpl5/Mrps18a/Mrpl9/Rpl29/Rplp2/Rpl11/Mrpl1/Rpl37/Rpl18a/Mrpl51/Rpl27a/Rpl24/Mrpl11/Mrpl27/Rpl7l1/Rpl6l/Mrps30/Mrpl41/Rpl13a/Mrpl45/Mrpl39/Rplp1/Mrpl28/Mrpl46/Rpl14/Rpl12/Mrpl52/Mrpl54/Mrpl22/Rpl8/Rpl13-ps6/Uba52-ps/Gadd45gip1/Mrpl47/Mrpl24/Mrpl12/Mrpl21/Mrpl53/Mrpl17/Zcchc17/Mrpl4/Mrpl2/Gm6525/Mrpl58/Mrpl19/Rpl18/Mrpl36/Mrpl43/Rpl34-ps1/Mrpl49/Mrpl20/Mrpl34/Nhp2/Mrpl57/Mrpl55/Rpl36al/Mrpl10/Mrpl16/Rpl35a/Mrpl38
CC	GO:0005747	mitochondrial respiratory chain complex I	51	-0.716884119815054	-2.82702465051695	1e-10	5.88529411764706e-09	4.02399380804954e-09	4007	tags=75%, list=19%, signal=60%	Ndufc2/Ndufab1/Ndufab1-ps/Ndufs6b/Foxred1/Ndufb7/Ndufa2/Ndufs8/Ndufa4/Ndufb8/Ndufb10/Ndufa12/Ndufb2/Ndufb11/Ndufa13/Ndufa3/Ndufa5/Ndufc1/Ndufb6/Ndufs4/Ndufv1/Ndufv3/Ndufa1/Ndufa9/Ndufs2/Ndufb3/Ndufs7/Ndufv2/Dmac1/Ndufs5/Ndufb1/Ndufb5/Ndufs3/Ndufa11/Ndufa10/Ndufb9/Ndufs6/Ndufa8
BP	GO:0006119	oxidative phosphorylation	140	-0.600831623308544	-2.80323847806023	1e-10	5.88529411764706e-09	4.02399380804954e-09	3328	tags=61%, list=16%, signal=52%	Antkmt/Ndufc2/Ndufab1/Cox7c/Atp5f1c/Apoc3/Uqcrc2/Ndufb7/Ndufa2/Ndufs8/Pink1/Uqcrb/Macroh2a1/Afg1l/Ak4/Atp5po/Tmem135/Mtch2/Atp5pd/Atp5f1a/Cox7b/Bdnf/Cox8a/Ndufb8/Coa6/Atp5mf/Ndufaf1/Uqcrh/Atp5pf/Cox5a/Sdhb/Shmt2/Atp5me/Ndufb10/Coq7/Ndufa12/Fxn/Ndufb2/Ndufb11/Ndufa13/Ndufa3/Ndufa5/Uqcrq/Ndufc1/Ndufb6/Uqcr11/Ndufs4/Ndufv1/Cyc1/Vcp/Uqcrc1/Ndufv3/Cox4i1/Ndufa1/Chchd10/Uqcc2/Gadd45gip1/Dnajc15/Ndufa9/Atp5f1e/Ndufs2/Uqcrfs1/Ndufb3/Cox5b/Slc25a33/Ndufs7/Cox7a2/Uqcr10/Stoml2/Ndufv2/Ndufs5/Ndufb1/Ndufb5/Ndufs3/Ndufa11/Park7/Ndufa10/1700066M21Rik/Chchd2/Ndufb9/Atp5f1d/Ndufs6/Cox6a1/Ndufa8/Iscu/Cycs
