Group1	Group2	Z	P.unadj	P.adj	Significant	Direction
G1	G10	-13.5560071209514	3.65016165669759e-42	1.84535950421934e-41	*	G10 > G1
G1	G11	-12.139142531689	3.27544608291225e-34	1.35484360702279e-33	*	G11 > G1
G10	G11	1.41686458926239	0.0782612606405852	0.0989135377540729	 	G10 > G11
G1	G12	-13.5333229266076	4.97128451580837e-42	2.38098363651874e-41	*	G12 > G1
G10	G12	0.0226841943438244	0.490951091839537	0.490951091839537	 	G12 > G10
G11	G12	-1.39418039491857	0.0816315683231426	0.101759900238438	 	G12 > G11
G1	G13	-9.86652320028058	2.90725687746885e-23	1.1502625036942e-22	*	G13 > G1
G10	G13	2.68390066495606	0.0036384361819276	0.00613143875102613	*	G10 > G13
G11	G13	1.37213894956095	0.0850100931477443	0.104539438870875	 	G11 > G13
G12	G13	2.6628991818854	0.00387353106518882	0.00640893321694878	*	G12 > G13
G1	G14	4.58693099345472	2.24904636953958e-06	6.01950645965005e-06	*	G1 > G14
G10	G14	18.1429381144061	7.30062522840922e-74	1.1072614929754e-72	*	G10 > G14
G11	G14	16.7260735251437	4.23186447581706e-63	3.50090606635775e-62	*	G11 > G14
G12	G14	18.1202539200623	1.10287359853495e-73	1.43373567809544e-72	*	G12 > G14
G13	G14	14.1131961102906	1.57486437031322e-45	8.43015633520607e-45	*	G13 > G14
G1	G2	-17.0508300893665	1.72302201469508e-65	1.56795003337252e-64	*	G2 > G1
G10	G2	-3.49482296841512	0.000237188144145414	0.000479647135938505	*	G2 > G10
G11	G2	-4.91168755767751	4.5147928373431e-07	1.28389421311944e-06	*	G2 > G11
G12	G2	-3.51750716275894	0.000217810296812426	0.000450471295680244	*	G2 > G12
G13	G2	-5.91947801426155	1.61482503915183e-09	5.24818137724346e-09	*	G2 > G13
G14	G2	-21.6377610828212	3.96297191247734e-104	3.60630444035438e-102	*	G2 > G14
G1	G3	-12.7424562180965	1.7170514462142e-37	7.44055626692819e-37	*	G3 > G1
G10	G3	0.813550902854926	0.207951137049285	0.233624116931913	 	G10 > G3
G11	G3	-0.603313686407468	0.273150014897072	0.28570863627165	 	G11 > G3
G12	G3	0.790866708511101	0.214510888657186	0.238054766680536	 	G12 > G3
G13	G3	-1.93069888690486	0.0267601503302689	0.0374642104623765	*	G3 > G13
G14	G3	-17.3293872115512	1.4116027316901e-67	1.42728720648665e-66	*	G3 > G14
G2	G3	4.30837387127005	8.22296088944765e-06	2.02240389443172e-05	*	G2 > G3
G1	G4	-16.689140834504	7.86084831276515e-63	5.96114330384691e-62	*	G4 > G1
G10	G4	-3.13313371355257	0.000864753166832562	0.00148476487135402	*	G4 > G10
G11	G4	-4.54999830281496	2.68231741430419e-06	6.9740252771909e-06	*	G4 > G11
G12	G4	-3.15581790789639	0.000800243723176168	0.00140042651555829	*	G4 > G12
G13	G4	-5.58461883223804	1.17106663544302e-08	3.55223546084384e-08	*	G4 > G13
G14	G4	-21.2760718279587	9.45704108845132e-101	4.30295369524535e-99	*	G4 > G14
G2	G4	0.361689254862551	0.358792128792283	0.366854873259526	 	G4 > G2
G3	G4	-3.94668461640749	3.96204128284204e-05	8.58442277949108e-05	*	G4 > G3
G1	G5	-9.57234422525199	5.22543361578897e-22	1.98131024598665e-21	*	G5 > G1
G10	G5	3.9836628956994	3.39305587748133e-05	7.91713038078977e-05	*	G10 > G5
G11	G5	2.56679830643701	0.00513211480206691	0.00791563469471338	*	G11 > G5
G12	G5	3.96097870135558	3.73215956188032e-05	8.28357366173437e-05	*	G12 > G5
G13	G5	1.00425451460058	0.157627975887754	0.188738760602442	 	G13 > G5
G14	G5	-14.1592752187067	8.1836748699176e-46	4.65446508226563e-45	*	G5 > G14
G2	G5	7.47848586411452	3.75918931591821e-14	1.36834491099423e-13	*	G2 > G5
G3	G5	3.17011199284448	0.000761900968863699	0.00135947035620778	*	G3 > G5
G4	G5	7.11679660925197	5.52321538492915e-13	1.9331253847252e-12	*	G4 > G5
G1	G6	-16.1141720151144	1.01431464569853e-58	7.10020251988968e-58	*	G6 > G1
G10	G6	-2.55816489416302	0.00526130915474553	0.00784883824724333	*	G6 > G10
G11	G6	-3.97502948342541	3.51852689298387e-05	8.0046486815383e-05	*	G6 > G11
G12	G6	-2.58084908850684	0.00492788275002209	0.00773167810779327	*	G6 > G12
G13	G6	-5.0523011425047	2.18259368126724e-07	6.40696854823609e-07	*	G6 > G13
G14	G6	-20.7011030085691	1.69266695069406e-95	5.13442308377199e-94	*	G6 > G14
G2	G6	0.936658074252101	0.174467234436645	0.203545106842752	 	G2 > G6
G3	G6	-3.37171579701794	0.000373507453517373	0.000723174005746402	*	G6 > G3
G4	G6	0.57496881938955	0.282656192469734	0.292292199031202	 	G4 > G6
G5	G6	-6.54182778986242	3.03857296498646e-11	1.02411162893988e-10	*	G6 > G5
G1	G7	-15.3816721801573	1.08631618295148e-53	7.06105518918463e-53	*	G7 > G1
G10	G7	-1.82566505920586	0.0339503646877955	0.0461116893520805	*	G7 > G10
