condition	Q1	Q3	lower_whisker	upper_whisker	Mean
G10	4.85798099512757	11.098854525106	0	18.5197398998302	7.92985123453778
G11	4.74127555615787	11.0401181763746	0	18.3746404758993	7.85487770928086
G12	4.8073549220576	11.1484765821783	0	18.8723261868336	7.92985657781891
G13	4.8073549220576	10.9594586123074	0	18.9524796349059	7.76793511429836
G14	4.16992500144231	9.93516504960369	0	17.3070139839782	6.9517885686247
G1	3.70043971814109	10.4452734860805	0	18.9882408761922	7.09678197170267
G2	4.75488750216347	11.6413743712904	0	19.2982863600312	8.0829003424168
G3	4.4594316186373	11.2185632361903	0	19.9983342466601	7.84206291920143
G4	5.16992500144231	11.4093909361377	0	19.5665985295907	8.09476779426187
G5	4.24792751344359	10.8860774338716	0	18.4680353144343	7.67920891741079
G6	4.75488750216347	11.2822196084726	0	18.8948296026029	8.05454737170825
G7	4.70043971814109	11.2679570844028	0	18.8016104836903	8.00213830346924
G8	4.70043971814109	11.0766451062088	0	18.7708187245166	7.86728118971663
G9	4.85798099512757	11.2044180897789	0	18.3930007363658	7.97365431421126
