Group1	Group2	Z	P.unadj	P.adj	Significant	Direction
G1	G10	-52.702296910619	0	0	*	G10 > G1
G1	G11	-54.0500633166548	0	0	*	G11 > G1
G10	G11	-1.34776640603573	0.0888667630106572	0.0918963117496569	 	G10 > G11
G1	G12	-55.6386806818411	0	0	*	G12 > G1
G10	G12	-2.93638377122206	0.00166031615844616	0.00182034663154941	*	G10 > G12
G11	G12	-1.58861736518634	0.0560734026411266	0.0586514901188795	 	G12 > G11
G1	G13	-36.9331737026163	6.78356291441863e-299	5.14420187676746e-298	*	G13 > G1
G10	G13	11.8596720814156	9.58622572646708e-33	1.64593687001605e-32	*	G10 > G13
G11	G13	13.1074613099217	1.4921071133255e-39	2.88897334707704e-39	*	G11 > G13
G12	G13	14.578235197459	1.93188129928736e-48	3.90669329411445e-48	*	G12 > G13
G1	G14	-19.0918694979043	1.47510039518492e-81	3.62794962058994e-81	*	G14 > G1
G10	G14	33.6104274127148	5.90635841007446e-248	3.5831907687785e-247	*	G10 > G14
G11	G14	34.9581938187505	4.86097656181829e-268	3.15963476518189e-267	*	G11 > G14
G12	G14	36.5468111839368	1.00186527220184e-292	7.01305690541289e-292	*	G12 > G14
G13	G14	19.257537179222	6.10235039188939e-83	1.54253857128315e-82	*	G13 > G14
G1	G2	-27.0691219477213	1.13749234437242e-161	4.31299180574544e-161	*	G2 > G1
G10	G2	25.6331749628978	3.25654565320151e-145	1.09757649793088e-144	*	G10 > G2
G11	G2	26.9809413689335	1.23686262529663e-160	4.50217995607974e-160	*	G11 > G2
G12	G2	28.5695587341198	8.02829256402344e-180	3.47892677774349e-179	*	G12 > G2
G13	G2	11.8720365202217	8.26958975916365e-33	1.44717820785364e-32	*	G13 > G2
G14	G2	-7.97725244981698	7.48132970205204e-16	1.06375156701052e-15	*	G2 > G14
G1	G3	-31.0941425148499	1.44513208603985e-212	7.30594554609035e-212	*	G3 > G1
G10	G3	21.6081543957692	7.52734055299956e-104	2.14058746975925e-103	*	G10 > G3
G11	G3	22.9559208018049	6.42953887492001e-117	1.95029345872573e-116	*	G11 > G3
G12	G3	24.5445381669912	2.47331527873285e-133	7.76109277119617e-133	*	G12 > G3
G13	G3	8.14559157717607	1.88716033485707e-16	2.72589826146022e-16	*	G13 > G3
G14	G3	-12.0022730169456	1.72835384978821e-33	3.08392549668092e-33	*	G3 > G14
G2	G3	-4.02502056712861	2.84851680536236e-05	3.36642895179188e-05	*	G2 > G3
G1	G4	-47.1505762527141	0	0	*	G4 > G1
G10	G4	5.55172065790491	1.41435680544558e-08	1.78758985132706e-08	*	G4 > G10
G11	G4	6.89948706394064	2.60953203283915e-12	3.59799113618732e-12	*	G4 > G11
G12	G4	8.48810442912698	1.05017397036798e-17	1.54138437586268e-17	*	G4 > G12
G13	G4	-6.71977750800478	9.10011248304271e-12	1.23598542680132e-11	*	G4 > G13
G14	G4	-28.0587067548099	1.56393490985645e-173	6.46900349076984e-173	*	G4 > G14
G2	G4	-20.0814543049929	5.36048815602725e-90	1.39372692056709e-89	*	G4 > G2
G3	G4	-16.0564337378643	2.57670929942473e-58	5.45303595924768e-58	*	G4 > G3
G1	G5	-40.0620408551238	0	0	*	G5 > G1
