condition	Q1	Q3	lower_whisker	upper_whisker	Mean
G10	0	6.28540221886225	0	15.7126344677601	2.97733273599347
G11	0	6.10852445677817	0	15.268578549671	2.93431782044444
G12	0	6.14974711950468	0	15.3729670570048	2.96340931448732
G13	0	6.22881869049588	0	15.5692325997388	2.89158242983779
G14	0	5.64385618977472	0	14.1092593383838	2.60988694014621
G1	0	5.04439411935845	0	12.6101020629997	2.39951917240907
G2	0	6.08746284125034	0	15.2140914047493	2.81399829028286
G3	0	5.88264304936184	0	14.7039035734447	2.78931961338571
G4	0	6.4262647547021	0	16.0621726547735	2.99052930738512
G5	0	5.64385618977472	0	14.1088511170402	2.77407174909864
G6	0	6.32192809488736	0	15.7993322202081	3.02443593110572
G7	0	6.12928301694497	0	15.3225619524664	2.94591887250771
G8	0	6.18982455888002	0	15.4620868372679	2.95161683864761
G9	0	6.20945336562895	0	15.5143750352106	2.99285311083718
