"symbol"	"baseMean"	"FoldChange"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"description"
"0610005C13Rik"	6853.10007215664	0.785064815647477	-0.349116325783762	0.152172318089999	0.0178682511951814	0.0444206599472514	"RIKEN cDNA 0610005C13 gene"
"0610009E02Rik"	89.7065105050646	1.35594769043147	0.439301523451567	0.540922864249092	0.272206033271877	0.406338909488499	"RIKEN cDNA 0610009E02 gene"
"0610009L18Rik"	36.9340042414072	0.985639882908121	-0.020867460496573	0.510341394551678	0.947696325453658	0.973924715521462	"RIKEN cDNA 0610009L18 gene"
"0610010K14Rik"	702.840055946244	0.518802705465866	-0.946742091874443	0.182591990727932	8.56075697573777e-08	8.49799232359645e-07	"RIKEN cDNA 0610010K14 gene"
"0610025J13Rik"	3.53570497851549	0.93728407718587	-0.09344172082016	0.735367850271633	0.587917226722194	0.712842921928226	"RIKEN cDNA 0610025J13 gene"
"0610030E20Rik"	1530.22254870433	1.02813378069747	0.0400280001265112	0.169399698617799	0.818906475328404	0.888455441536903	"RIKEN cDNA 0610030E20 gene"
"0610031O16Rik"	5559.43193264053	1.11310219969519	0.154586060087307	0.245946232491441	0.507808099232932	0.643792891205366	"RIKEN cDNA 0610031O16 gene"
"0610038B21Rik"	1.48724996511745	0.957209326539222	-0.0630936410883291	0.758427596603223	0.295567105987368	NA	"RIKEN cDNA 0610038B21 gene"
"0610039H22Rik"	1.87243457128231	0.970935607022536	-0.0425524763899163	0.74795414559391	0.63023521856858	NA	"RIKEN cDNA 0610039H22 gene"
"0610039K10Rik"	5.90300886678951	0.72908909123585	-0.455832979058254	0.829468566919103	0.167306647153813	0.278117781533645	"RIKEN cDNA 0610039K10 gene"
"0610040B10Rik"	99.9959986777909	0.926026317618139	-0.110874899503747	0.392856911649146	0.733003463110909	0.827286396118469	"RIKEN cDNA 0610040B10 gene"
"0610040F04Rik"	32.2031057254264	0.695941579490236	-0.522961890131135	0.67625718844456	0.20379848968539	0.325154399539329	"RIKEN cDNA 0610040F04 gene"
"0610040J01Rik"	1437.52373381498	1.21265542733586	0.27816967090874	0.184230163577931	0.124620991016304	0.220473918595333	"RIKEN cDNA 0610040J01 gene"
"0610042G04Rik"	56.2547701925414	0.89108640581984	-0.166362762799219	0.505850349858746	0.658608817147441	0.770849237735108	"RIKEN cDNA 0610042G04 gene"
"0610043K17Rik"	257.571489198319	1.46165217067914	0.547600034040288	0.439087095790674	0.133217104085289	0.232472610654747	"RIKEN cDNA 0610043K17 gene"
"1110002E22Rik"	16.216168677638	0.976735535515606	-0.0339601092026728	0.751168510459744	1	1	"RIKEN cDNA 1110002E22 gene"
"1110002J07Rik"	36.5250798585323	2.66958625812355	1.41661616528135	0.989623105998953	0.0182995410365339	0.0452892023439609	"RIKEN cDNA 1110002J07 gene"
"1110002L01Rik"	329.657961584717	2.18875609942386	1.13011119903407	0.290807232765038	3.23444844653582e-05	0.00017763583728312	"RIKEN cDNA 1110002L01 gene"
"1110004F10Rik"	1494.72719758557	0.780214231593447	-0.358057780628923	0.209870710315584	0.0743984540278032	0.145342798440849	"RIKEN cDNA 1110004F10 gene"
"1110006O24Rik"	28.4136773210072	0.618797434987772	-0.692460878284789	0.635559962264235	0.105109425773733	0.192261088243232	"RIKEN cDNA 1110006O24 gene"
"1110018N20Rik"	59.3523359584947	2.48753969760161	1.31471954920442	0.645144872360642	0.00802872512080575	0.0223803523920724	"RIKEN cDNA 1110018N20 gene"
"1110019D14Rik"	111.986818517567	1.29759395982358	0.375839009075304	0.488880053070002	0.328839732252715	0.468395991628554	"RIKEN cDNA 1110019D14 gene"
"1110020A21Rik"	238.37804538455	0.998720916189197	-0.00184650904254808	0.32791191115471	0.974374869356977	0.990853414306761	"RIKEN cDNA 1110020A21 gene"
"1110025M09Rik"	48.3789623042933	1.29686609095191	0.375029520535441	0.455939900541883	0.309264959197477	0.447235376219385	"RIKEN cDNA 1110025M09 gene"
"1110036E04Rik"	3.47084217056473	1.12437474350077	0.169122952360395	0.730946267676356	0.533759615495123	0.667174378395995	"RIKEN cDNA 1110036E04 gene"
"1110038B12Rik"	518.726103064878	1.39855970479252	0.483941844067575	0.208414005818092	0.0175401558872976	0.0437032702334607	"RIKEN cDNA 1110038B12 gene"
"1110038F14Rik"	334.607747076086	0.957065417610489	-0.0633105552996759	0.232954946210124	0.746451649930984	0.83709733419056	"RIKEN cDNA 1110038F14 gene"
"1110046J04Rik"	23.7514445284745	0.940123755273212	-0.0890774132384669	0.567741762597104	0.817431593896802	0.887556152336046	"RIKEN cDNA 1110046J04 gene"
"1110059E24Rik"	283.802322921599	2.11740994157668	1.08230060965017	0.224333904036143	5.77720177027142e-07	4.74354978686931e-06	"RIKEN cDNA 1110059E24 gene"
"1110059G10Rik"	423.971423318229	1.03942841486725	0.0557904036294512	0.241524212871974	0.808668807983665	0.88181762466025	"RIKEN cDNA 1110059G10 gene"
"1110065P20Rik"	326.391561268687	0.442711110235127	-1.17556251526231	0.261222147306739	1.77147234985958e-06	1.30804443469843e-05	"RIKEN cDNA 1110065P20 gene"
"1300002E11Rik"	612.696043808334	0.709415511015653	-0.495297220463257	0.178627810091193	0.00407040150529096	0.0124597356443873	"RIKEN cDNA 1300002E11 gene"
"1500002C15Rik"	8.79509950082192	1.11352914325263	0.15513931679282	0.669846172351942	0.646890045931603	0.761386906219793	"RIKEN cDNA 1500002C15 gene"
"1500002F19Rik"	77.9967200201343	1.63610971173508	0.710269493554196	0.370006143163081	0.0294365625544724	0.0674158065468933	"RIKEN cDNA 1500002F19 gene"
"1500004A13Rik"	23.7299980144225	1.26475130743014	0.338853730524509	0.489650684883111	0.374345020332924	0.515647376267298	"RIKEN cDNA 1500004A13 gene"
"1500011B03Rik"	44.4858937550622	1.14113054171766	0.190463840808021	0.451523240195774	0.602352011244348	0.724900156053667	"RIKEN cDNA 1500011B03 gene"
"1500015A07Rik"	100.885315491237	1.38456871103747	0.469436651114208	0.455692984092019	0.206199628912772	0.328266774456159	"RIKEN cDNA 1500015A07 gene"
"1500026H17Rik"	89.8515411915134	1.20977784399325	0.274742144363466	0.36288125371407	0.388946457486933	0.530291912821101	"RIKEN cDNA 1500026H17 gene"
"1600002D24Rik"	1.62299322085476	0.950666899711177	-0.072988165280044	0.734669248798786	0.687365711755685	NA	"RIKEN cDNA 1600002D24 gene"
"1600010M07Rik"	15.1366092802466	0.715654455443946	-0.482664926041603	0.732024391590819	0.217278140776723	0.341505712380883	"RIKEN cDNA 1600010M07 gene"
"1600012H06Rik"	952.903372216467	1.23604206195226	0.305727838337291	0.166613014460941	0.0598900728539251	0.121843209650585	"RIKEN cDNA 1600012H06 gene"
"1600014C10Rik"	5426.33237832216	0.854864972961041	-0.226231532460012	0.210752586335304	0.261507594871211	0.394301943994069	"RIKEN cDNA 1600014C10 gene"
"1600020E01Rik"	670.728938304306	1.632921867236	0.707455761843949	0.317312614247741	0.0146468791249684	0.0374507753371332	"RIKEN cDNA 1600020E01 gene"
"1600023N17Rik"	17.296109382886	1.74838311017029	0.806021346499055	0.981235637590645	0.0804869529462572	0.155015659424169	"RIKEN cDNA 1600023N17 gene"
"1700001G17Rik"	2.24784140159886	0.886500794391718	-0.173806170966468	0.776987204327753	0.29741811940073	NA	"RIKEN cDNA 1700001G17 gene"
"1700001J03Rik"	6.18996796402912	1.20366535530969	0.267434347793669	0.745703794228321	0.383916731789903	0.524980742893469	"RIKEN cDNA 1700001J03 gene"
"1700001L05Rik"	197.994805581564	1.46296841490135	0.548898622410722	0.483845657204766	0.155768903640869	0.26275688525843	"RIKEN cDNA 1700001L05 gene"
"1700003E16Rik"	17.3600528116567	0.883085129584318	-0.179375574217253	0.600011850861414	0.623690140219365	0.741978772312374	"RIKEN cDNA 1700003E16 gene"
